Condition,derivative_t0,Dataset,Mean,Std,v0_fmol,base_sample,mean_final,std_final,Cells/PA,std_PA,v0_cell,PI_status,Mean_fmol,Std_fmol,Mean_cell,Std_cell
25,17.513871,NC_SECPI,13.6183892,6.39296078,43.7846775,NC,231.7777778,17.63939194,5794.444444,440.9847986,0.00755632,PI,34.04597301,15.98240195,,
25,6.240283336,NC_SECPI,13.6183892,6.39296078,15.60070834,NC,231.7777778,17.63939194,5794.444444,440.9847986,0.002692356,PI,34.04597301,15.98240195,0.005875623,0.002758
25,17.10101328,NC_SECPI,13.6183892,6.39296078,42.75253319,NC,231.7777778,17.63939194,5794.444444,440.9847986,0.007378194,PI,34.04597301,15.98240195,,
50,8.735760288,NC_SECPI,6.975190508,3.356998263,21.83940072,NC,231.7777778,17.63939194,5794.444444,440.9847986,0.003769024,PI,17.43797627,8.392495658,,
50,3.10413099,NC_SECPI,6.975190508,3.356998263,7.760327474,NC,231.7777778,17.63939194,5794.444444,440.9847986,0.00133927,PI,17.43797627,8.392495658,0.00300943,0.001448
50,9.085680245,NC_SECPI,6.975190508,3.356998263,22.71420061,NC,231.7777778,17.63939194,5794.444444,440.9847986,0.003919996,PI,17.43797627,8.392495658,,
100,21.25203429,NC_SECPI,13.24624759,13.19252007,53.13008572,NC,231.7777778,17.63939194,5794.444444,440.9847986,0.009169142,PI,33.11561896,32.98130017,,
100,-1.980420539,NC_SECPI,13.24624759,13.19252007,-4.951051349,NC,231.7777778,17.63939194,5794.444444,440.9847986,-0.000854448,PI,33.11561896,32.98130017,0.005715064,0.005692
100,20.46712901,NC_SECPI,13.24624759,13.19252007,51.16782253,NC,231.7777778,17.63939194,5794.444444,440.9847986,0.008830497,PI,33.11561896,32.98130017,,
150,11.00569886,NC_SECPI,19.81813731,12.46266998,27.51424714,NC,231.7777778,17.63939194,5794.444444,440.9847986,0.004748384,PI,49.54534328,31.15667496,,
150,28.63057577,NC_SECPI,19.81813731,12.46266998,71.57643943,NC,231.7777778,17.63939194,5794.444444,440.9847986,0.012352597,PI,49.54534328,31.15667496,0.008550491,0.005377
25,17.07651357,PROMM_SEC,17.25877147,0.59432917,42.69128391,PROMM,139.5555556,5.87209345,3488.888889,146.8023362,0.012236355,noPI,43.14692869,1.485822924,,
25,16.77691378,PROMM_SEC,17.25877147,0.59432917,41.94228444,PROMM,139.5555556,5.87209345,3488.888889,146.8023362,0.012021674,noPI,43.14692869,1.485822924,,
25,17.92288708,PROMM_SEC,17.25877147,0.59432917,44.8072177,PROMM,139.5555556,5.87209345,3488.888889,146.8023362,0.012842833,noPI,43.14692869,1.485822924,0.012366954,0.000426
50,4.841457061,PROMM_SEC,5.126857277,0.39345604,12.10364265,PROMM,139.5555556,5.87209345,3488.888889,146.8023362,0.003469197,noPI,12.81714319,0.9836401,,
50,4.963423928,PROMM_SEC,5.126857277,0.39345604,12.40855982,PROMM,139.5555556,5.87209345,3488.888889,146.8023362,0.003556594,noPI,12.81714319,0.9836401,,
50,5.575690841,PROMM_SEC,5.126857277,0.39345604,13.9392271,PROMM,139.5555556,5.87209345,3488.888889,146.8023362,0.00399532,noPI,12.81714319,0.9836401,0.003673703,0.000282
100,11.87670465,PROMM_SEC,10.69830632,1.059918871,29.69176162,PROMM,139.5555556,5.87209345,3488.888889,146.8023362,0.008510378,noPI,26.7457658,2.649797178,,
100,10.39539555,PROMM_SEC,10.69830632,1.059918871,25.98848888,PROMM,139.5555556,5.87209345,3488.888889,146.8023362,0.00744893,noPI,26.7457658,2.649797178,,
100,9.822818757,PROMM_SEC,10.69830632,1.059918871,24.55704689,PROMM,139.5555556,5.87209345,3488.888889,146.8023362,0.007038644,noPI,26.7457658,2.649797178,0.007665984,0.000759
150,13.74147978,PROMM_SEC,13.52140131,0.311237956,34.35369945,PROMM,139.5555556,5.87209345,3488.888889,146.8023362,0.009846602,noPI,33.80350328,0.77809489,,
150,13.30132284,PROMM_SEC,13.52140131,0.311237956,33.25330711,PROMM,139.5555556,5.87209345,3488.888889,146.8023362,0.009531203,noPI,33.80350328,0.77809489,,
