Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250307\250308_-N+C_Sec_ML_I.raw	I:\Fadime\250307\250308_-N+C_Sec_ML_II.raw	I:\Fadime\250307\250308_-N+C_Sec_ML_III.raw
SPO1572	SPO1572				7.43E+07	6.32E+07	6.43E+07
SPO1573	SPO1573						
SPO1574	SPO1574						
SPO1575	SPO1575						
SPO1576	SPO1576						
SPO1579	SPO1579						2.28E+07
SPO1580	SPO1580						
SPO1581	SPO1581						
SPO1582	SPO1582						9.65E+06
SPO1583	SPO1583				7.90E+07	4.70E+07	
SPO1584	SPO1584						
SPO1585	SPO1585						
SPO1586	SPO1586					2.47E+06	
SPO1587	SPO1587						
SPO1588	SPO1588						
SPO1589	SPO1589					2.16E+07	
SPO1590	SPO1590						
SPO1591	SPO1591					4.60E+08	
SPO1592	SPO1592						
SPO1593	SPO1593						
SPO1594	SPO1594						
SPO1595	SPO1595						
SPO1596	SPO1596						
SPO1597	SPO1597						
SPO1598	SPO1598				4.05E+06	2.77E+06	1.99E+06
SPO1599	SPO1599						1.61E+07
SPO1600	SPO1600						
SPO1601	SPO1601						
SPO1602	SPO1602						
SPO1603	SPO1603						
SPO1604	SPO1604						
SPO1605	SPO1605					2.67E+06	2.55E+06
SPO1606	SPO1606				2.28E+07	2.16E+07	2.28E+07
SPO1607	SPO1607						
SPO1608	SPO1608						
SPO1609	SPO1609						
SPO1610	SPO1610						
SPO1612	SPO1612						
SPO1614	SPO1614					1.38E+07	1.08E+07
SPO1615	SPO1615						
SPO1620	SPO1620						
SPO1621	SPO1621						
SPO1622	SPO1622					3.57E+06	
SPO1623	SPO1623						
SPO1624	SPO1624				657311		1.28E+06
SPO1625	SPO1625				2.69E+07	2.39E+07	2.62E+07
SPO1626	SPO1626						
SPO1627	SPO1627						
SPO1628	SPO1628						
SPO1629	SPO1629						
SPO1630	SPO1630						
SPO1631	SPO1631						
SPO1632	SPO1632						
SPO1633	SPO1633				1.76E+06	4.39E+06	983309
SPO1634	SPO1634						
SPO1635	SPO1635						
SPO1636	SPO1636						
SPO1637	SPO1637				5.31E+07	5.01E+07	5.24E+07
SPO1638	SPO1638						
SPO1640	SPO1640						
SPO1641	SPO1641						
SPO1643	SPO1643						
SPO1647	SPO1647						
SPO1649	SPO1649						
SPO1656	SPO1656						
SPO1657	SPO1657						
SPO1658	SPO1658						
SPO1659	SPO1659				1.04E+08	4.80E+07	4.69E+07
SPO1660	SPO1660						
SPO1661	SPO1661						
SPO1662	SPO1662				8.83E+06	8.16E+06	8.63E+06
SPO1663	SPO1663						
SPO1664	SPO1664				4.13E+07	4.90E+07	4.98E+07
SPO1665	SPO1665						
SPO1666	SPO1666						
SPO1667	SPO1667						
SPO1668	SPO1668						
SPO1669	SPO1669						
SPO1670	SPO1670				1.37E+07	1.11E+07	1.63E+07
SPO1671	SPO1671						
SPO1672	SPO1672				2.38E+07	2.32E+07	3.40E+07
SPO1673	SPO1673				1.51E+07	1.51E+07	1.14E+07
SPO1674	SPO1674					2.45E+06	2.69E+06
SPO1675	SPO1675				9.44E+06	2.21E+06	
SPO1676	SPO1676						
SPO1677	SPO1677				2.94E+06		
SPO1678	SPO1678						
SPO1679	SPO1679				1.40E+06		
SPO1680	SPO1680				6.75E+06	6.77E+06	7.22E+06
SPO1681	SPO1681						2.49E+06
SPO1683	SPO1683						
SPO1684	SPO1684					2.39E+06	
SPO1685	SPO1685						
SPO1686	SPO1686				2.25E+06	1.99E+06	2.29E+06
SPO1687	SPO1687				9.57E+06	8.27E+06	7.52E+06
SPO1688	SPO1688						
SPO1689	SPO1689						
SPO1690	SPO1690				1.92E+06		
SPO1691	SPO1691				3.14E+07	2.69E+07	2.44E+07
SPO1692	SPO1692				1.48E+07	3.66E+07	1.57E+07
SPO1693	SPO1693						
SPO1694	SPO1694				6.57E+07		4.80E+06
SPO1695	SPO1695						
SPO1696	SPO1696						
SPO1697	SPO1697						
SPO1698	SPO1698						
SPO1699	SPO1699						
SPO1700	SPO1700						
SPO1701	SPO1701						
SPO1703	SPO1703						
SPO1704	SPO1704						
SPO1707	SPO1707						
SPO1707a	SPO1707a						
SPO1708	SPO1708						
SPO1709	SPO1709						
SPO1710	SPO1710				1.03E+08		
SPO1711	SPO1711						
SPO1712	SPO1712						
SPO1713	SPO1713						
SPO1714	SPO1714						
SPO1715	SPO1715						
SPO1716	SPO1716						
SPO1717	SPO1717						8.89E+07
SPO1719	SPO1719						
SPO1720	SPO1720						
SPO1721	SPO1721				1.30E+07	1.18E+07	1.10E+07
SPO1722	SPO1722						
SPO1723	SPO1723						
SPO1724	SPO1724						
SPO1725	SPO1725				5.83E+06	4.08E+06	
SPO1727	SPO1727				2.69E+06	1.73E+06	1.13E+06
SPO1728	SPO1728						
SPO1729	SPO1729				5.43E+06	7.30E+06	6.94E+06
SPO1732	SPO1732					745311	586739
SPO1733	SPO1733				1.83E+07	2.14E+07	2.36E+07
SPO1734	SPO1734				1.05E+07	1.08E+07	9.01E+06
SPO1735	SPO1735						
SPO1736	SPO1736				1.38E+06	1.39E+06	
SPO1737	SPO1737						
SPO1738	SPO1738						
SPO1739	SPO1739						
SPO1740	SPO1740						
SPO1741	SPO1741						
SPO1742	SPO1742				1.05E+07	1.12E+07	1.04E+07
SPO1743	SPO1743				1.59E+07	1.27E+07	1.30E+07
SPO1744	SPO1744				1.08E+07		
SPO1745	SPO1745						
SPO1746	SPO1746						
SPO1747	SPO1747						
SPO1748	SPO1748				1.90E+07	1.93E+07	1.34E+07
SPO1749	SPO1749						4.54E+06
SPO1750	SPO1750				1.14E+07	1.12E+07	1.09E+07
SPO1751	SPO1751						3.08E+06
SPO1752	SPO1752						
SPO1753	SPO1753						
SPO1754	SPO1754						
SPO1755	SPO1755						
SPO1756	SPO1756				1.28E+07	3.50E+06	5.88E+06
SPO1757	SPO1757						
SPO1759	SPO1759					2.01E+06	
SPO1760	SPO1760						
SPO1761	SPO1761				8.18E+06	8.09E+06	7.62E+06
SPO1762	SPO1762				3.31E+06	3.65E+06	4.39E+06
SPO1763	SPO1763				5.31E+06	5.16E+06	5.56E+06
SPO1764	SPO1764						
SPO1766	SPO1766						
SPO1767	SPO1767						
SPO1769	SPO1769						
SPO1770	SPO1770				7.61E+06	7.53E+06	7.61E+06
SPO1771	SPO1771						
SPO1772	SPO1772						
SPO1773	SPO1773				4.55E+07	4.23E+07	4.78E+07
SPO1774	SPO1774						
SPO1775	SPO1775						
SPO1776	SPO1776					958692	
SPO1777	SPO1777						
SPO1778	SPO1778						
SPO1779	SPO1779						
SPO1780	SPO1780						
SPO1781	SPO1781				7.79E+06		5.26E+06
SPO1782	SPO1782						
SPO1783	SPO1783				7.03E+06	3.50E+06	4.73E+06
SPO1784	SPO1784						
SPO1785	SPO1785						
SPO1786	SPO1786				1.84E+07		
SPO1787	SPO1787						
SPO1788	SPO1788				4.55E+07	4.53E+07	4.23E+07
SPO1789	SPO1789						
SPO1790	SPO1790						
SPO1791	SPO1791				8.14E+07	4.86E+07	5.50E+07
SPO1792	SPO1792						
SPO1794	SPO1794						
SPO1795	SPO1795						
SPO1796	SPO1796						
SPO1797	SPO1797						
SPO1798	SPO1798						
SPO1799	SPO1799						
SPO1800	SPO1800						
SPO1801	SPO1801						1.78E+06
SPO1802	SPO1802				1.39E+07	1.67E+07	1.21E+07
SPO1803	SPO1803				8.66E+06	8.01E+06	6.85E+06
SPO1804	SPO1804						
SPO1805	SPO1805				3.38E+06	1.95E+06	
SPO1806	SPO1806					2.60E+06	
SPO1807	SPO1807						
SPO1808	SPO1808						
SPO1809	SPO1809						
SPO1810	SPO1810						5.49E+06
SPO1811	SPO1811						
SPO1812	SPO1812						
SPO1813	SPO1813				3.03E+06	5.21E+06	6.24E+06
SPO1814	SPO1814				2.69E+07	2.53E+07	2.83E+07
SPO1815	SPO1815						
SPO1816	SPO1816						
SPO1818	SPO1818						
SPO1820	SPO1820						
SPO1825	SPO1825					6.88E+06	
SPO1826	SPO1826						
SPO1827	SPO1827						
SPO1828	SPO1828						
SPO1829	SPO1829				3.72E+07	2.74E+07	3.12E+07
SPO1830	SPO1830				7.10E+06	5.45E+06	5.46E+06
SPO1831	SPO1831						
SPO1832	SPO1832						
SPO1833	SPO1833						
SPO1834	SPO1834					4.41E+06	
SPO1835	SPO1835						
SPO1836	SPO1836						
SPO1837	SPO1837						
SPO1838	SPO1838						
SPO1839	SPO1839				1.16E+07	1.60E+07	1.29E+07
SPO1840	SPO1840						
SPO1841	SPO1841						
SPO1842	SPO1842						
SPO1843	SPO1843						
SPO1844	SPO1844				1.98E+07		
SPO1845	SPO1845						
SPO1846	SPO1846				1.18E+07	6.97E+06	8.37E+06
SPO1847	SPO1847						
SPO1848	SPO1848						
SPO1849	SPO1849						
SPO1850	SPO1850						
SPO1852	SPO1852				2.09E+07	2.19E+07	1.65E+07
SPO1853	SPO1853						
SPO1854	SPO1854						
SPO1855	SPO1855					3.89E+06	3.21E+06
SPO1856	SPO1856						
SPO1857	SPO1857						
SPO1858	SPO1858				2.32E+06	2.94E+06	1.58E+06
SPO1859	SPO1859						
SPO1860	SPO1860				7.54E+06	9.41E+06	5.21E+06
SPO1861	SPO1861				2.29E+06	2.06E+06	1.77E+06
SPO1862	SPO1862						
SPO1863	SPO1863				4.35E+06	4.34E+06	3.86E+06
SPO1865	SPO1865				2.54E+07	2.60E+07	2.33E+07
SPO1866	SPO1866				5.61E+06		4.20E+06
SPO1867	SPO1867						
SPO1868	SPO1868				5.94E+06	1.36E+07	1.29E+07
SPO1869	SPO1869				1.07E+07	1.07E+07	1.35E+07
SPO1870	SPO1870				1.14E+07	1.62E+07	1.38E+07
SPO1871	SPO1871				1.46E+07		
SPO1872	SPO1872						
SPO1873	SPO1873				5.14E+06	4.07E+06	5.40E+06
SPO1874	SPO1874						
SPO1875	SPO1875				2.07E+06	4.75E+06	8.11E+06
SPO1876	SPO1876				2.99E+06	2.60E+06	3.12E+06
SPO1877	SPO1877						
SPO1878	SPO1878						
SPO1880	SPO1880						
SPO1881	SPO1881						
SPO1882	SPO1882				1.46E+07	1.69E+07	1.02E+07
SPO1883	SPO1883						751527
SPO1884	SPO1884				1.09E+07	1.83E+07	1.28E+07
SPO1886	SPO1886				1.50E+07	8.35E+06	5.50E+06
SPO1887	SPO1887				4.37E+06	5.16E+06	6.02E+06
SPO1888	SPO1888				2.84E+07	2.96E+07	3.08E+07
SPO1889	SPO1889						
SPO1890	SPO1890				5.50E+06	5.88E+06	8.23E+06
SPO1891	SPO1891						
SPO1892	SPO1892				1.44E+07	1.83E+07	1.69E+07
SPO1893	SPO1893				5.46E+06	6.99E+06	4.95E+06
SPO1895	SPO1895						
SPO1896	SPO1896						
SPO1897	SPO1897						
SPO1898	SPO1898						
SPO1899	SPO1899				2.49E+07	2.11E+07	2.63E+07
SPO1900	SPO1900				6.90E+06	5.57E+06	7.14E+06
SPO1901	SPO1901				685501		
SPO1902	SPO1902						
SPO1903	SPO1903						
SPO1904	SPO1904						
SPO1905	SPO1905						
SPO1906	SPO1906				4.41E+06	1.08E+07	4.28E+06
SPO1907	SPO1907				1.05E+06	2.50E+06	2.23E+06
SPO1908	SPO1908						
SPO1909	SPO1909						
SPO1911	SPO1911						
SPO1912	SPO1912					1.40E+07	
SPO1913	SPO1913						
SPO1914	SPO1914				6.96E+06	1.09E+07	7.78E+06
SPO1915	SPO1915						
SPO1916	SPO1916				1.37E+07	1.28E+07	1.39E+07
SPO1917	SPO1917				2.16E+06		
SPO1918	SPO1918						1.90E+06
SPO1920	SPO1920						
SPO1921	SPO1921				1.49E+07	1.16E+07	1.36E+07
SPO1922	SPO1922						
SPO1923	SPO1923				3.69E+06	1.84E+06	4.20E+06
SPO1925	SPO1925						
SPO1926	SPO1926						
SPO1927	SPO1927						
SPO1928	SPO1928						
SPO1929	SPO1929						1.67E+06
SPO1930	SPO1930				9.85E+06	7.11E+06	8.62E+06
SPO1932	SPO1932					8.34E+06	7.04E+06
SPO1933	SPO1933				1.17E+07	8.38E+06	1.00E+07
SPO1934	SPO1934				3.67E+06	3.48E+06	4.97E+06
SPO1935	SPO1935						
SPO1936	SPO1936						
SPO1937	SPO1937						
SPO1938	SPO1938						
SPO1939	SPO1939				3.00E+08	2.03E+08	2.07E+08
SPO1940	SPO1940						
SPO1941	SPO1941						
SPO1942	SPO1942				1.77E+07	1.73E+07	1.70E+07
SPO1943	SPO1943						
SPO1944	SPO1944				2.20E+06	3.89E+06	5.47E+06
SPO1945	SPO1945				2.35E+06	2.12E+06	2.17E+06
SPO1946	SPO1946				8.10E+06	8.12E+06	
SPO1947	SPO1947					4.90E+07	
SPO1948	SPO1948				1.63E+07	1.04E+07	9.50E+06
SPO1949	SPO1949						
SPO1950	SPO1950					3.69E+07	3.41E+07
SPO1951	SPO1951						
SPO1952	SPO1952						4.17E+06
SPO1953	SPO1953					1.67E+06	
SPO1954	SPO1954						
SPO1955	SPO1955				7.94E+06	1.19E+07	7.90E+06
SPO1956	SPO1956						
SPO1957	SPO1957				1.22E+06		
SPO1958	SPO1958						
SPO1959	SPO1959						
SPO1960	SPO1960						
SPO1961	SPO1961						
SPO1962	SPO1962					2.45E+06	1.93E+06
SPO1963	SPO1963						
SPO1964	SPO1964						
SPO1965	SPO1965				1.82E+07		
SPO1966	SPO1966				2.38E+06		1.95E+06
SPO1967	SPO1967						
SPO1968	SPO1968						
SPO1969	SPO1969					2.86E+06	
SPO1970	SPO1970						
SPO1971	SPO1971						
SPO1972	SPO1972				4.21E+06	8.53E+06	
SPO1973	SPO1973						
SPO1974	SPO1974						
SPO1975	SPO1975				8.60E+07	8.62E+07	9.41E+07
SPO1976	SPO1976				4.18E+07	5.31E+07	4.41E+07
SPO1977	SPO1977						
SPO1978	SPO1978					3.17E+07	
SPO1979	SPO1979						
SPO1980	SPO1980				2.07E+06	1.82E+06	
SPO1982	SPO1982						
SPO1983	SPO1983				4.71E+06	6.47E+06	3.18E+06
SPO1984	SPO1984				5.75E+06	6.62E+06	6.97E+06
SPO1985	SPO1985				7.71E+06		1.67E+07
SPO1986	SPO1986					1.88E+06	
SPO1987	SPO1987						
SPO1988	SPO1988						
SPO1989	SPO1989				2.37E+07	1.92E+07	5.64E+07
SPO1990	SPO1990				3.18E+07	3.78E+07	3.19E+07
SPO1991	SPO1991						
SPO1992	SPO1992						
SPO1994	SPO1994						
SPO1995	SPO1995						
SPO1996	SPO1996				5.67E+06	6.55E+06	4.77E+06
SPO1997	SPO1997						
SPO1998	SPO1998					3.31E+06	
SPO2000	SPO2000				2.77E+07	1.87E+07	2.76E+07
SPO2001	SPO2001						
SPO2002	SPO2002				4.69E+06		6.97E+06
SPO2003	SPO2003						3.09E+06
SPO2004	SPO2004						
SPO2005	SPO2005				7.31E+06	1.96E+07	3.44E+06
SPO2006	SPO2006						
SPO2007	SPO2007				1.61E+08	1.44E+08	1.58E+08
SPO2009	SPO2009						
SPO2010	SPO2010						
SPO2013	SPO2013						
SPO2014	SPO2014				4.46E+06	7.28E+06	3.95E+06
SPO2015	SPO2015						
SPO2016	SPO2016						
SPO2017	SPO2017				1.29E+07	1.22E+07	1.30E+07
SPO2018	SPO2018				2.21E+07	2.12E+07	2.15E+07
SPO2019	SPO2019				648872	1.20E+06	1.38E+06
SPO2020	SPO2020				3.28E+06	4.77E+06	4.87E+06
SPO2021	SPO2021					3.22E+06	
SPO2022	SPO2022						
SPO2023	SPO2023				1.35E+07	1.16E+07	1.48E+07
SPO2024	SPO2024						8.89E+08
SPO2025	SPO2025						
SPO2026	SPO2026				1.07E+07	1.69E+07	
SPO2027	SPO2027						
SPO2028	SPO2028						
SPO2029	SPO2029				5.23E+06	1.16E+07	7.48E+06
SPO2031	SPO2031				1.39E+07	1.50E+07	5.26E+06
SPO2032	SPO2032				2.78E+07	2.76E+07	2.90E+07
SPO2033	SPO2033				1.41E+07	1.35E+07	1.56E+07
SPO2034	SPO2034				7.80E+06	4.78E+06	8.89E+06
SPO2035	SPO2035						
SPO2036	SPO2036						
SPO2037	SPO2037						
SPO2038	SPO2038				6.27E+06	3.33E+06	4.87E+06
SPO2039	SPO2039				8.71E+06	1.03E+07	1.17E+07
SPO2040	SPO2040					734652	
SPO2041	SPO2041				5.71E+06	3.27E+06	
SPO2042	SPO2042						
SPO2044	SPO2044						
SPO2045	SPO2045				8.46E+06	8.15E+06	9.40E+06
SPO2046	SPO2046				7.24E+06	6.02E+06	5.29E+06
SPO2047	SPO2047				1.02E+07	8.78E+06	1.10E+07
SPO2048	SPO2048					2.54E+06	
SPO2049	SPO2049						
SPO2050	SPO2050						
SPO2051	SPO2051				5.17E+06	5.13E+06	5.50E+06
SPO2052	SPO2052						
SPO2053	SPO2053				7.52E+06	4.75E+06	5.47E+06
SPO2054	SPO2054						
SPO2055	SPO2055				5.33E+06	5.42E+06	5.98E+06
SPO2056	SPO2056				1.10E+07	1.22E+07	8.17E+06
SPO2057	SPO2057						
SPO2058	SPO2058				4.04E+06	2.16E+06	
SPO2059	SPO2059						1.90E+06
SPO2060	SPO2060						
SPO2061	SPO2061					3.66E+06	2.18E+06
SPO2062	SPO2062						
SPO2063	SPO2063						
SPO2064	SPO2064						
SPO2065	SPO2065				2.90E+07	2.96E+07	3.20E+07
SPO2066	SPO2066				2.44E+06	2.46E+06	
SPO2067	SPO2067						
SPO2068	SPO2068						
SPO2069	SPO2069				1.31E+06		
SPO2070	SPO2070				3.13E+06	3.52E+06	3.13E+06
SPO2071	SPO2071						
SPO2072	SPO2072				6.15E+06		
SPO2073	SPO2073						
SPO2074	SPO2074				1.18E+07	7.32E+06	6.97E+06
SPO2075	SPO2075						
SPO2076	SPO2076				9.75E+07	1.15E+08	1.13E+08
SPO2077	SPO2077				9.19E+06	1.43E+07	7.28E+06
SPO2078	SPO2078				6.83E+08	8.59E+08	9.38E+08
SPO2079	SPO2079						
SPO2080	SPO2080						
SPO2081	SPO2081				2.30E+06	1.84E+06	3.00E+06
SPO2082	SPO2082						
SPO2083	SPO2083						
SPO2084	SPO2084						
SPO2085	SPO2085						
SPO2086	SPO2086				2.97E+08	3.99E+08	
SPO2087	SPO2087						
SPO2088	SPO2088						
SPO2089	SPO2089						
SPO2090	SPO2090				8.63E+06	3.17E+06	4.45E+06
SPO2091	SPO2091						
SPO2092	SPO2092				3.54E+06	4.46E+06	5.74E+06
SPO2093	SPO2093						
SPO2094	SPO2094						
SPO2095	SPO2095						
SPO2096	SPO2096				2.08E+06	1.52E+06	
SPO2097	SPO2097				3.34E+06		
SPO2098	SPO2098						
SPO2099	SPO2099				8.18E+06	9.87E+06	1.12E+07
SPO2100	SPO2100						
SPO2101	SPO2101				1.45E+07		1.02E+06
SPO2102	SPO2102				1.88E+06	6.16E+06	3.09E+06
SPO2103	SPO2103				1.27E+07	1.20E+07	1.59E+07
SPO2104	SPO2104						
SPO2105	SPO2105						
SPO2106	SPO2106						
SPO2107	SPO2107						
SPO2108	SPO2108						
SPO2109	SPO2109				8.29E+06	1.06E+07	7.84E+06
SPO2110	SPO2110						
SPO2111	SPO2111						
SPO2113	SPO2113						
SPO2116	SPO2116						
SPO2117	SPO2117						
SPO2118	SPO2118						
SPO2119	SPO2119					2.61E+06	
SPO2120	SPO2120						
SPO2121	SPO2121				2.53E+06	2.62E+06	5.25E+06
SPO2122	SPO2122						
SPO2123	SPO2123						
SPO2124	SPO2124						
SPO2125	SPO2125						
SPO2126	SPO2126				5.74E+06	7.74E+06	3.42E+06
SPO2127	SPO2127						
SPO2128	SPO2128						
SPO2129	SPO2129				1.58E+07		
SPO2130	SPO2130				2.31E+06	2.50E+06	1.18E+06
SPO2131	SPO2131				5.64E+06	4.69E+06	5.19E+06
SPO2132	SPO2132				2.72E+07	2.97E+07	2.09E+07
SPO2133	SPO2133				1.93E+07	9.81E+06	2.00E+07
SPO2134	SPO2134						
SPO2135	SPO2135						
SPO2136	SPO2136				2.02E+06		8.51E+06
SPO2137	SPO2137						
SPO2139	SPO2139				7.80E+06	9.80E+06	9.16E+06
SPO2140	SPO2140				7.42E+06		5.28E+06
SPO2141	SPO2141				1.59E+06		
SPO2142	SPO2142				3.37E+07	3.41E+07	3.11E+07
SPO2143	SPO2143				1.04E+07	8.13E+06	9.05E+06
SPO2144	SPO2144				2.64E+08		
SPO2145	SPO2145						
SPO2146	SPO2146				4.93E+06	4.19E+06	4.13E+06
SPO2147	SPO2147						
SPO2148	SPO2148				8.37E+06	6.75E+06	8.81E+06
SPO2149	SPO2149				6.12E+06	5.46E+06	4.43E+06
SPO2150	SPO2150				3.48E+06		
SPO2151	SPO2151				2.11E+07	2.19E+07	2.08E+07
SPO2152	SPO2152				3.85E+06	4.76E+06	4.36E+06
SPO2153	SPO2153						
SPO2154	SPO2154					4.95E+06	
SPO2155	SPO2155					3.86E+07	
SPO2156	SPO2156				1.08E+07	1.14E+07	9.23E+06
SPO2157	SPO2157				8.34E+07	7.38E+07	7.33E+07
SPO2158	SPO2158				1.29E+07	1.56E+07	1.46E+07
SPO2159	SPO2159						
SPO2160	SPO2160				4.97E+06	3.72E+06	7.63E+06
SPO2161	SPO2161						
SPO2162	SPO2162						
SPO2163	SPO2163						
SPO2164	SPO2164						
SPO2165	SPO2165				3.13E+06	4.78E+06	3.77E+06
SPO2166	SPO2166						
SPO2167	SPO2167				9.03E+06	2.63E+06	9.37E+06
SPO2168	SPO2168					2.78E+06	2.38E+06
SPO2169	SPO2169				1.04E+07	6.19E+06	6.03E+06
SPO2170	SPO2170						
SPO2171	SPO2171						
SPO2173	SPO2173						
SPO2174	SPO2174						
SPO2176	SPO2176						
SPO2177	SPO2177						
SPO2178	SPO2178						
SPO2180	SPO2180				1.38E+07	9.36E+06	1.10E+07
SPO2181	SPO2181						
SPO2182	SPO2182						
SPO2183	SPO2183						
SPO2184	SPO2184						
SPO2185	SPO2185						1.11E+06
SPO2186	SPO2186						
SPO2187	SPO2187				4.33E+08	3.75E+08	4.55E+08
SPO2188	SPO2188						
SPO2189	SPO2189						
SPO2190	SPO2190					1.23E+07	
SPO2191	SPO2191						
SPO2192	SPO2192						
SPO2192a	SPO2192a						
SPO2193	SPO2193				1.52E+07	9.61E+06	4.59E+07
SPO2194	SPO2194						
SPO2195	SPO2195						
SPO2196	SPO2196				4.02E+06	4.42E+06	3.31E+06
SPO2197	SPO2197					3.12E+06	
SPO2198	SPO2198				3.45E+07	1.27E+07	1.04E+07
SPO2200	SPO2200				2.32E+06		2.35E+06
SPO2201	SPO2201				6.64E+06	4.12E+06	7.12E+06
SPO2202	SPO2202						
SPO2203	SPO2203				1.74E+07	1.67E+07	1.76E+07
SPO2205	SPO2205				5.96E+06	1.10E+07	3.35E+06
SPO2206	SPO2206						
SPO2208	SPO2208						
SPO2209	SPO2209						
SPO2210	SPO2210				1.48E+07	1.16E+07	1.02E+07
SPO2211	SPO2211				4.20E+06	3.32E+06	3.66E+06
SPO2212	SPO2212				7.01E+06	6.20E+06	5.68E+06
SPO2213	SPO2213				1.13E+07	8.80E+06	9.60E+06
SPO2213a	SPO2213a				1.16E+08	9.10E+07	1.31E+08
SPO2214	SPO2214						
SPO2215	SPO2215						
SPO2216	SPO2216						
SPO2218	SPO2218				4.78E+06	5.04E+06	4.20E+06
SPO2219	SPO2219						
SPO2220	SPO2220						
SPO2221	SPO2221				8.27E+06	9.77E+06	8.82E+06
SPO2222	SPO2222				1.25E+07	9.29E+06	8.76E+06
SPO2223	SPO2223						
SPO2224	SPO2224				1.59E+06	3.36E+06	1.78E+06
SPO2226	SPO2226				3.50E+06	1.28E+07	4.15E+06
SPO2227	SPO2227						
SPO2228	SPO2228				8.79E+06	6.66E+06	8.38E+06
SPO2229	SPO2229				2.17E+06	1.58E+06	
SPO2230	SPO2230				2.70E+07	8.53E+07	
SPO2231	SPO2231				2.28E+07	2.70E+07	3.06E+07
SPO2232	SPO2232						
SPO2233	SPO2233				1.73E+08	1.47E+08	1.53E+08
SPO2234	SPO2234				6.89E+07	7.17E+07	6.83E+07
SPO2235	SPO2235				1.05E+07	1.08E+07	1.14E+07
SPO2237	SPO2237						
SPO2238	SPO2238						
SPO2239	SPO2239						
SPO2240	SPO2240				6.59E+06	5.79E+06	6.04E+06
SPO2241	SPO2241				6.35E+06	9.84E+06	6.37E+06
SPO2242	SPO2242				7.32E+06	8.57E+06	4.04E+06
SPO2243	SPO2243					1.72E+06	3.57E+07
SPO2245	SPO2245						
SPO2246	SPO2246				1.79E+07	1.73E+07	1.80E+07
SPO2247	SPO2247				9.82E+06	8.06E+06	8.91E+06
SPO2248	SPO2248						
SPO2250	SPO2250						
SPO2252	SPO2252						
SPO2253	SPO2253						
SPO2257	SPO2257						
SPO2258	SPO2258						
SPO2259	SPO2259						
SPO2260	SPO2260						
SPO2261	SPO2261				8.73E+06	5.68E+06	9.56E+06
SPO2262	SPO2262						
SPO2263	SPO2263						
SPO2264	SPO2264				1.72E+06	3.70E+06	2.44E+06
SPO2266	SPO2266						
SPO2267	SPO2267						
SPO2268	SPO2268						
SPO2269	SPO2269						
SPO2270	SPO2270					2.59E+07	
SPO2271	SPO2271				3.99E+07	2.93E+07	3.02E+07
SPO2272	SPO2272						
SPO2273	SPO2273						
SPO2274	SPO2274				3.25E+07		
SPO2275	SPO2275				3.47E+07	3.23E+07	3.38E+07
SPO2276	SPO2276				3.06E+07	2.10E+07	2.74E+07
SPO2277	SPO2277				7.19E+07		
SPO2278	SPO2278						
SPO2279	SPO2279				4.78E+07	4.80E+07	4.90E+07
SPO2280	SPO2280						
SPO2281	SPO2281				2.23E+07	2.28E+07	2.08E+07
SPO2282	SPO2282				1.69E+07	2.10E+07	2.20E+07
SPO2283	SPO2283				4.94E+07	5.33E+07	5.03E+07
SPO2284	SPO2284				5.72E+06	3.68E+06	5.87E+06
SPO2285	SPO2285						
SPO2286	SPO2286						
SPO2287	SPO2287						
SPO2288	SPO2288				3.31E+07	4.04E+07	3.62E+07
SPO2289	SPO2289						3.29E+06
SPO2290	SPO2290				4.60E+06	1.47E+06	2.79E+06
SPO2293	SPO2293						
SPO2294	SPO2294				7.44E+07	6.65E+07	5.89E+07
SPO2295	SPO2295				2.97E+07	3.14E+07	2.78E+07
SPO2296	SPO2296				2.12E+07	1.59E+07	1.95E+07
SPO2297	SPO2297						
SPO2298	SPO2298						
SPO2299	SPO2299						
SPO2301	SPO2301						
SPO2302	SPO2302						
SPO2303	SPO2303						
SPO2304	SPO2304				1.52E+07	1.42E+07	1.37E+07
SPO2305	SPO2305				1.59E+07	1.79E+07	1.63E+07
SPO2307	SPO2307						
SPO2308	SPO2308						
SPO2309	SPO2309						
SPO2310	SPO2310						
SPO2311	SPO2311						
SPO2312	SPO2312				4.27E+07	3.81E+07	4.02E+07
SPO2313	SPO2313						
SPO2314	SPO2314					1.29E+06	
SPO2315	SPO2315						
SPO2317	SPO2317						
SPO2318	SPO2318					2.86E+06	
SPO2320	SPO2320						
SPO2321	SPO2321						
SPO2322	SPO2322						
SPO2323	SPO2323						
SPO2325	SPO2325				1.11E+07	1.14E+07	1.12E+07
SPO2326	SPO2326				1.07E+07	6.77E+06	8.13E+06
SPO2327	SPO2327						
SPO2328	SPO2328				1.99E+06	2.75E+06	
SPO2329	SPO2329				2.69E+06	4.15E+06	2.15E+06
SPO2330	SPO2330						
SPO2331	SPO2331				3.63E+06		1.74E+06
SPO2332	SPO2332						
SPO2334	SPO2334						
SPO2335	SPO2335						
SPO2336	SPO2336						2.89E+06
SPO2337	SPO2337				2.40E+06	4.08E+06	3.69E+06
SPO2338	SPO2338						
SPO2339	SPO2339						
SPO2340	SPO2340				1.41E+08	1.07E+08	9.75E+07
SPO2341	SPO2341						
SPO2341a	SPO2341a				3.07E+07	2.22E+07	3.10E+07
