Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250307\250308_-N+C_Sec_ML_I.raw	I:\Fadime\250307\250308_-N+C_Sec_ML_II.raw	I:\Fadime\250307\250308_-N+C_Sec_ML_III.raw
SPO0414	SPO0414				7.28E+06	6.79E+06	7.81E+06
SPO0415	SPO0415				7.83E+06	3.73E+06	1.38E+06
SPO0416	SPO0416						
SPO0417	SPO0417						
SPO0418	SPO0418						
SPO0419	SPO0419						
SPO0420	SPO0420				1.66E+08		2.34E+08
SPO0421	SPO0421						
SPO0422	SPO0422				7.89E+06	6.83E+06	1.20E+07
SPO0423	SPO0423						
SPO0424	SPO0424						
SPO0425	SPO0425						
SPO0426	SPO0426				3.42E+06		4.98E+06
SPO0428	SPO0428					6.97E+06	
SPO0429	SPO0429				4.50E+06		536842
SPO0430	SPO0430				6.03E+06	9.60E+06	5.66E+06
SPO0431	SPO0431						
SPO0432	SPO0432						
SPO0433	SPO0433						
SPO0434	SPO0434						
SPO0435	SPO0435						4.43E+06
SPO0436	SPO0436						3.51E+07
SPO0437	SPO0437				2.86E+07	3.02E+07	3.49E+07
SPO0438	SPO0438				4.65E+06	5.86E+06	8.94E+06
SPO0440	SPO0440						
SPO0442	SPO0442						
SPO0445	SPO0445						
SPO0446	SPO0446				1.02E+07	1.11E+07	9.67E+06
SPO0447	SPO0447				1.09E+06		
SPO0448	SPO0448						
SPO0449	SPO0449						
SPO0450	SPO0450						
SPO0451	SPO0451						
SPO0452	SPO0452						
SPO0454	SPO0454					3.12E+06	
SPO0455	SPO0455				1.13E+07	7.90E+06	9.40E+06
SPO0456	SPO0456						1.69E+08
SPO0457	SPO0457						
SPO0459	SPO0459					3.12E+06	
SPO0460	SPO0460						
SPO0461	SPO0461						7.12E+08
SPO0462	SPO0462				3.38E+06	3.37E+06	
SPO0463	SPO0463						
SPO0464	SPO0464						
SPO0465	SPO0465						
SPO0466	SPO0466						
SPO0467	SPO0467						
SPO0468	SPO0468						
SPO0469	SPO0469					5.28E+06	
SPO0470	SPO0470						
SPO0471	SPO0471					1.74E+07	
SPO0472	SPO0472						
SPO0473	SPO0473						
SPO0474	SPO0474						
SPO0475	SPO0475						
SPO0476	SPO0476					768572	
SPO0477	SPO0477						
SPO0478	SPO0478				3.22E+06	3.42E+06	2.89E+06
SPO0479	SPO0479						
SPO0481	SPO0481						
SPO0482	SPO0482				5.16E+06	5.12E+06	4.91E+06
SPO0483	SPO0483						
SPO0484	SPO0484				2.33E+07	2.88E+07	2.04E+07
SPO0485	SPO0485				2.25E+07	2.51E+07	1.77E+07
SPO0486	SPO0486				1.25E+07	1.33E+07	1.35E+07
SPO0487	SPO0487				6.02E+07	6.15E+07	6.19E+07
SPO0488	SPO0488				1.98E+07	2.07E+07	1.86E+07
SPO0490	SPO0490						
SPO0491	SPO0491					1.04E+07	4.01E+06
SPO0491a	SPO0491a						
SPO0492	SPO0492						
SPO0493	SPO0493				8.95E+06	1.65E+07	9.61E+06
SPO0494	SPO0494				1.20E+07	7.43E+06	5.57E+06
SPO0495	SPO0495				2.56E+07	1.79E+07	1.52E+07
SPO0496	SPO0496				1.95E+07	1.91E+07	1.57E+07
SPO0497	SPO0497				2.39E+07	2.60E+07	2.74E+07
SPO0498	SPO0498				3.38E+07	4.12E+07	3.36E+07
SPO0499	SPO0499				3.88E+07	3.43E+07	3.18E+07
SPO0500	SPO0500				1.97E+07	1.30E+07	1.34E+07
SPO0501	SPO0501				3.25E+07	4.24E+07	4.21E+07
SPO0502	SPO0502				1.98E+07	1.61E+07	1.97E+07
SPO0503	SPO0503				2.74E+07	3.48E+07	2.87E+07
SPO0504	SPO0504				5.35E+06	6.12E+06	5.14E+06
SPO0504a	SPO0504a				1.09E+07	2.36E+06	4.60E+06
SPO0505	SPO0505				2.78E+07	2.39E+07	2.27E+07
SPO0506	SPO0506						
SPO0507	SPO0507				3.93E+06	3.83E+06	5.71E+06
SPO0508	SPO0508						
SPO0509	SPO0509				4.58E+07	6.06E+07	4.10E+07
SPO0510	SPO0510				1.78E+07	2.59E+07	1.77E+07
SPO0511	SPO0511				2.91E+07	4.22E+07	3.35E+07
SPO0512	SPO0512				8.93E+07	2.57E+07	2.34E+07
SPO0513	SPO0513						
SPO0514	SPO0514				1.97E+06	2.62E+06	2.08E+06
SPO0515	SPO0515					2.15E+06	
SPO0516	SPO0516				5.68E+06	4.95E+06	6.54E+06
SPO0517	SPO0517					1.62E+06	
SPO0518	SPO0518						
SPO0519	SPO0519				3.20E+08	1.62E+08	1.41E+08
SPO0520	SPO0520						
SPO0521	SPO0521						
SPO0522	SPO0522				1.60E+07	1.62E+07	1.46E+07
SPO0523	SPO0523					1.65E+06	
SPO0524	SPO0524						
SPO0525	SPO0525						
SPO0526	SPO0526				1.01E+07	6.20E+06	2.27E+07
SPO0527	SPO0527				3.82E+06	5.85E+07	1.11E+07
SPO0528	SPO0528				3.31E+06	1.66E+06	2.26E+06
SPO0530	SPO0530				2.04E+06		1.87E+06
SPO0531	SPO0531						
SPO0532	SPO0532					1.46E+08	
SPO0533	SPO0533						
SPO0534	SPO0534						
SPO0535	SPO0535						
SPO0536	SPO0536						
SPO0537	SPO0537						
SPO0538	SPO0538				1.65E+07	2.26E+07	1.56E+07
SPO0539	SPO0539						
SPO0540	SPO0540						
SPO0541	SPO0541						
SPO0543	SPO0543						
SPO0544	SPO0544						
SPO0545	SPO0545						1.91E+06
SPO0546	SPO0546						
SPO0547	SPO0547						
SPO0549	SPO0549						
SPO0550	SPO0550						
SPO0551	SPO0551						8.87E+06
SPO0552	SPO0552						
SPO0553	SPO0553				758865		1.49E+06
SPO0554	SPO0554				4.61E+07		
SPO0555	SPO0555						
SPO0556	SPO0556						
SPO0557	SPO0557						
SPO0558	SPO0558						
SPO0559	SPO0559						
SPO0560	SPO0560				4.63E+06	6.02E+06	5.67E+06
SPO0561	SPO0561						8.77E+07
SPO0562	SPO0562					7.74E+06	8.29E+06
SPO0563	SPO0563						
SPO0564	SPO0564						
SPO0565	SPO0565						
SPO0566	SPO0566						
SPO0567	SPO0567						
SPO0568	SPO0568						
SPO0569	SPO0569						
SPO0570	SPO0570						
SPO0571	SPO0571						
SPO0572	SPO0572						611523
SPO0573	SPO0573						
SPO0574	SPO0574						
SPO0575	SPO0575						
SPO0576	SPO0576						
SPO0577	SPO0577				6.48E+06	1.31E+07	
SPO0578	SPO0578						
SPO0579	SPO0579						
SPO0580	SPO0580					3.05E+06	
SPO0581	SPO0581						
SPO0582	SPO0582						4.32E+06
SPO0583	SPO0583						
SPO0584	SPO0584				2.54E+07		2.23E+07
SPO0585	SPO0585						
SPO0586	SPO0586				825709	2.68E+06	
SPO0587	SPO0587						
SPO0588	SPO0588						
SPO0589	SPO0589						
SPO0590	SPO0590						
SPO0591	SPO0591						
SPO0594	SPO0594						
SPO0595	SPO0595						
SPO0596	SPO0596						
SPO0597	SPO0597						
SPO0599	SPO0599				1.27E+07		8.15E+06
SPO0600	SPO0600				3.15E+06	1.60E+06	1.63E+06
SPO0601	SPO0601				1.66E+07	1.79E+07	1.70E+07
SPO0602	SPO0602				2.00E+06		
SPO0603	SPO0603						
SPO0605	SPO0605						
SPO0606	SPO0606						
SPO0607	SPO0607						
SPO0608	SPO0608				6.94E+07	5.06E+07	5.21E+07
SPO0609	SPO0609						1.95E+08
SPO0610	SPO0610						
SPO0611	SPO0611						
SPO0612	SPO0612						
SPO0613	SPO0613						
SPO0614	SPO0614						
SPO0615	SPO0615						
SPO0616	SPO0616				3.61E+06	1.66E+07	6.46E+06
SPO0618	SPO0618						
SPO0621	SPO0621						
SPO0624	SPO0624						
SPO0628a	SPO0628a						
SPO0629	SPO0629						
SPO0631	SPO0631				1.04E+07	7.26E+06	9.38E+06
SPO0632	SPO0632				9.04E+06	9.29E+06	7.41E+06
SPO0633	SPO0633				6.25E+06	6.02E+06	7.68E+06
SPO0634	SPO0634						
SPO0635	SPO0635						
SPO0636	SPO0636						
SPO0638	SPO0638						
SPO0639	SPO0639						
SPO0640	SPO0640						
SPO0641	SPO0641					1.28E+07	
SPO0642	SPO0642				2.98E+06	4.59E+06	
SPO0643	SPO0643						4.22E+08
SPO0644	SPO0644						1.06E+09
SPO0645	SPO0645						
SPO0646	SPO0646						
SPO0647	SPO0647						
SPO0648	SPO0648				1.19E+08	1.16E+08	1.18E+08
SPO0649	SPO0649						
SPO0650	SPO0650						
SPO0651	SPO0651						
SPO0652	SPO0652						
SPO0653	SPO0653						
SPO0654	SPO0654						
SPO0655	SPO0655						
SPO0656	SPO0656						
SPO0657	SPO0657						
SPO0658	SPO0658						
SPO0659	SPO0659						
SPO0660	SPO0660				6.78E+07		1.74E+06
SPO0663	SPO0663						
SPO0664	SPO0664						
SPO0665	SPO0665						2.26E+07
SPO0666	SPO0666						
SPO0667	SPO0667				8.32E+06	8.08E+06	6.86E+06
SPO0668	SPO0668					2.04E+06	6.15E+06
SPO0669	SPO0669				2.14E+06	3.51E+06	2.78E+06
SPO0670	SPO0670						
SPO0671	SPO0671						
SPO0672	SPO0672						
SPO0673	SPO0673				1.17E+07	1.37E+07	1.12E+07
SPO0674	SPO0674				3.91E+06	3.29E+06	3.03E+06
SPO0675	SPO0675						
SPO0676	SPO0676						
SPO0677	SPO0677						
SPO0678	SPO0678						
SPO0679	SPO0679				9.00E+06	1.11E+07	5.78E+06
SPO0680	SPO0680				4.96E+06	9.74E+06	5.08E+06
SPO0681	SPO0681						
SPO0682	SPO0682				8.84E+06	7.43E+06	8.94E+06
SPO0683	SPO0683				2.55E+07	2.84E+07	3.31E+07
SPO0684	SPO0684						
SPO0685	SPO0685				1.50E+07	1.64E+07	1.66E+07
SPO0686	SPO0686				1.37E+07	1.17E+07	1.36E+07
SPO0687	SPO0687						
SPO0688	SPO0688						
SPO0689	SPO0689					3.93E+06	
SPO0690	SPO0690						
SPO0691	SPO0691				7.91E+06	7.98E+06	6.57E+06
SPO0692	SPO0692						
SPO0693	SPO0693				8.90E+06	4.10E+06	7.14E+06
SPO0694	SPO0694						
SPO0695	SPO0695						
SPO0697	SPO0697						
SPO0699	SPO0699						
SPO0700	SPO0700						
SPO0701	SPO0701				5.29E+07	4.87E+07	5.38E+07
SPO0702	SPO0702						
SPO0703	SPO0703						
SPO0704	SPO0704						
SPO0705	SPO0705						
SPO0706	SPO0706				2.44E+07	2.06E+07	2.33E+07
SPO0707	SPO0707						1.78E+08
SPO0708	SPO0708						
SPO0709	SPO0709				3.21E+07	2.84E+07	2.96E+07
SPO0710	SPO0710				8.13E+06	5.14E+06	6.43E+06
SPO0711	SPO0711						
SPO0712	SPO0712						
SPO0713	SPO0713				2.52E+08		9.72E+06
SPO0714	SPO0714						
SPO0715	SPO0715						
SPO0716	SPO0716				2.20E+06		
SPO0717	SPO0717				4.10E+06	4.66E+06	5.91E+06
SPO0718	SPO0718						
SPO0719	SPO0719				3.31E+07	2.78E+07	2.97E+07
SPO0720	SPO0720				8.73E+07	7.39E+07	8.13E+07
SPO0721	SPO0721						
