Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250206_Fadime_DSS3_ProMM_ML_1.raw	I:\Fadime\250206_Fadime_DSS3_ProMM_ML_2.raw	I:\Fadime\250206_Fadime_DSS3_ProMM_ML_3.raw
SPO0134	SPO0134				1.38E+06	1.36E+06	1.33E+06
SPO0135	SPO0135				400161	370189	388047
SPO0136	SPO0136				2.22E+06	2.28E+06	2.36E+06
SPO0137	SPO0137				1.53E+06	1.54E+06	1.55E+06
SPO0138	SPO0138				1.95E+06	2.00E+06	2.00E+06
SPO0139	SPO0139				8.26E+06	8.33E+06	8.41E+06
SPO0140	SPO0140				1.22E+06	1.22E+06	1.12E+06
SPO0141	SPO0141				1.84E+06	1.80E+06	1.80E+06
SPO0142	SPO0142				1.08E+07	1.12E+07	1.03E+07
SPO0143	SPO0143				133392	121083	117711
SPO0144	SPO0144				4.49E+06	4.02E+06	3.88E+06
SPO0145	SPO0145				4.62E+06	4.59E+06	4.23E+06
SPO0146	SPO0146				2.16E+06	2.19E+06	2.15E+06
SPO0147	SPO0147				3.87E+07	4.02E+07	3.97E+07
SPO0148	SPO0148				3.64E+07	3.65E+07	4.15E+07
SPO0149	SPO0149				3.03E+06	3.13E+06	3.09E+06
SPO0150	SPO0150				2.43E+07	2.48E+07	2.57E+07
SPO0151	SPO0151				615429	567290	527480
SPO0153	SPO0153				225697	216203	223131
SPO0154	SPO0154				3.01E+06	3.11E+06	3.03E+06
SPO0155	SPO0155				1.24E+07	1.26E+07	1.31E+07
SPO0156	SPO0156				542958	505927	518638
SPO0157	SPO0157				610728	612503	592976
SPO0160	SPO0160				840877	737240	793411
SPO0161	SPO0161				1.86E+06	2.03E+06	1.93E+06
SPO0162	SPO0162				1.34E+06	1.41E+06	1.46E+06
SPO0163	SPO0163				812471	732014	778961
SPO0164	SPO0164				1.17E+06	1.09E+06	1.05E+06
SPO0165	SPO0165				137399	145059	143572
SPO0166	SPO0166				1.85E+06	1.86E+06	1.90E+06
SPO0167	SPO0167				1.19E+06	1.19E+06	1.22E+06
SPO0168	SPO0168				312185	265813	306486
SPO0170	SPO0170				38233.2	56914.3	48602.9
SPO0174	SPO0174				45701.9	47650.3	36981.4
SPO0175	SPO0175				76122.8	71592.4	66980.6
SPO0177	SPO0177				149534	167515	135536
SPO0178	SPO0178				10219.1		24688.9
SPO0180	SPO0180						
SPO0181	SPO0181				2.31E+06	2.35E+06	2.21E+06
SPO0182	SPO0182				5024.57	6634.53	8443.2
SPO0183	SPO0183				212669	206171	215979
SPO0184	SPO0184				239612	255922	308476
SPO0185	SPO0185				573656	474403	488548
SPO0186	SPO0186				1.93E+06	1.70E+06	2.17E+06
SPO0187	SPO0187				905639	820152	739154
SPO0188	SPO0188				310688	295162	307011
SPO0189	SPO0189				591104	518758	522767
SPO0190	SPO0190				706063	695088	642454
SPO0191	SPO0191				124279	148548	92046.8
SPO0192	SPO0192				15826.1	21313	26862.8
SPO0193	SPO0193				275927	205514	244396
SPO0194	SPO0194				39351.6	50846.6	42114.7
SPO0195	SPO0195				68072.3	241473	54466.7
SPO0197	SPO0197				30366.2	31955.4	38437.4
SPO0198	SPO0198				17217.4	15409.6	
SPO0199	SPO0199				109055	29323.7	137253
SPO0200	SPO0200				38616.8	69719.7	54778.2
SPO0201	SPO0201						
SPO0202	SPO0202				262776	367762	
SPO0203	SPO0203				93244.9		123834
SPO0204	SPO0204				119544	37467.2	297627
SPO0205	SPO0205				263884	299334	316128
SPO0206	SPO0206				1.45E+06	1.43E+06	1.44E+06
SPO0207	SPO0207				361433	357019	374571
SPO0209	SPO0209				876816	791991	796949
SPO0210	SPO0210				4.43E+07	4.51E+07	4.49E+07
SPO0211	SPO0211				199562	206764	174963
SPO0212	SPO0212				316166	289732	281712
SPO0213	SPO0213				320233	291124	297589
SPO0214	SPO0214				371616	407498	463943
SPO0215	SPO0215				1.69E+07	1.95E+07	2.12E+07
SPO0216	SPO0216				6.11E+07	6.24E+07	6.58E+07
SPO0218	SPO0218				511926	418385	440727
SPO0219	SPO0219				7.23E+06	7.28E+06	8.31E+06
SPO0220	SPO0220				2.37E+06	2.54E+06	2.54E+06
SPO0221	SPO0221				1.02E+06	1.18E+06	1.22E+06
SPO0222	SPO0222				932577	972280	1.03E+06
SPO0223	SPO0223				1.18E+06	1.17E+06	1.16E+06
SPO0224	SPO0224				6.20E+06	6.40E+06	6.47E+06
SPO0225	SPO0225				694040	664982	617488
SPO0226	SPO0226				766860	759390	780807
SPO0227	SPO0227				1.40E+07	1.21E+07	1.12E+07
SPO0229	SPO0229				5.95E+07	7.00E+07	6.32E+07
SPO0230	SPO0230				2.60E+06	2.56E+06	2.60E+06
SPO0231	SPO0231				1.65E+07	1.60E+07	1.62E+07
SPO0232	SPO0232				6.51E+06	7.07E+06	6.72E+06
SPO0233	SPO0233				949381	898748	862801
SPO0234	SPO0234				401807	593178	161185
SPO0235	SPO0235				200052	205023	199115
SPO0236	SPO0236				983763	892535	883867
SPO0237	SPO0237				1.19E+06	1.08E+06	1.16E+06
SPO0238	SPO0238				220152	227554	237240
SPO0239	SPO0239				450625	441097	390886
SPO0240	SPO0240				3.96E+06	3.90E+06	4.03E+06
SPO0241	SPO0241				701766	692790	727576
SPO0247	SPO0247				5.15E+06	5.08E+06	5.02E+06
SPO0248	SPO0248				4.09E+06	4.44E+06	3.99E+06
SPO0249	SPO0249				93311.1		185668
