Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250206_Fadime_DSS3_ProMM_ML_1.raw	I:\Fadime\250206_Fadime_DSS3_ProMM_ML_2.raw	I:\Fadime\250206_Fadime_DSS3_ProMM_ML_3.raw
SPO0250	SPO0250				1.76E+06	1.69E+06	1.62E+06
SPO0251	SPO0251				3.87E+06	3.70E+06	3.74E+06
SPO0252	SPO0252				1.32E+06	1.28E+06	1.35E+06
SPO0253	SPO0253				1.05E+07	1.03E+07	1.01E+07
SPO0254	SPO0254				1.40E+07	1.60E+07	1.48E+07
SPO0255	SPO0255				399722	353429	381606
SPO0257	SPO0257						47412.6
SPO0258	SPO0258				1.73E+06	1.59E+06	1.57E+06
SPO0260	SPO0260				316719	309391	318352
SPO0261	SPO0261				195387	193742	223003
SPO0262	SPO0262				1.37E+07	1.44E+07	1.47E+07
SPO0264	SPO0264				1.26E+07	1.35E+07	1.36E+07
SPO0265	SPO0265				59479.1	49522.4	41450.2
SPO0266	SPO0266				802133	840525	851104
SPO0267	SPO0267				5.47E+06	5.54E+06	5.53E+06
SPO0268	SPO0268				2.12E+06	1.89E+06	1.89E+06
SPO0269	SPO0269				766313	837039	847011
SPO0270	SPO0270				6.92E+06	6.17E+06	6.52E+06
SPO0271	SPO0271				3.85E+07	3.62E+07	3.77E+07
SPO0272	SPO0272				8.66E+06	9.00E+06	8.18E+06
SPO0273	SPO0273				1.45E+07	1.43E+07	1.45E+07
SPO0274	SPO0274				15156		
SPO0276	SPO0276				710948	638455	692977
SPO0277	SPO0277				1.49E+06	1.55E+06	1.56E+06
SPO0278	SPO0278				3.41E+06	3.11E+06	3.23E+06
SPO0281	SPO0281				85435.5	79459.5	88708.7
SPO0282	SPO0282				503071	461891	478891
SPO0283	SPO0283				3.09E+06	3.34E+06	3.07E+06
SPO0284	SPO0284				5.40E+06	5.47E+06	5.52E+06
SPO0285	SPO0285				3.41E+06	3.17E+06	3.41E+06
SPO0286	SPO0286				2.64E+06	2.47E+06	2.52E+06
SPO0287	SPO0287				2.82E+06	2.75E+06	2.53E+06
SPO0288	SPO0288				2.14E+06	2.00E+06	2.04E+06
SPO0289	SPO0289				2.74E+06	2.90E+06	3.01E+06
SPO0290	SPO0290				35152.3	43455.7	37265.6
SPO0291	SPO0291				6.45E+06	6.54E+06	6.49E+06
SPO0292	SPO0292				1.30E+06	1.18E+06	1.27E+06
SPO0293	SPO0293				518515	502505	524090
SPO0294	SPO0294				1.06E+06	893520	952385
SPO0295	SPO0295				1.16E+06	1.27E+06	1.34E+06
SPO0296	SPO0296				5.40E+06	5.45E+06	5.43E+06
SPO0297	SPO0297				3.47E+06	3.77E+06	3.71E+06
SPO0298	SPO0298				4.06E+06	3.66E+06	3.55E+06
SPO0299	SPO0299				1.76E+06	1.70E+06	1.36E+06
SPO0300	SPO0300				5.74E+06	5.56E+06	5.52E+06
SPO0301	SPO0301				751043	706230	744023
SPO0302	SPO0302				536753	566436	503785
SPO0303	SPO0303				133883	110640	196190
SPO0304	SPO0304				8.67E+06	9.41E+06	9.18E+06
SPO0305	SPO0305				498687	415731	513616
SPO0306	SPO0306				2.31E+06	2.35E+06	2.46E+06
SPO0307	SPO0307				1.84E+06	1.81E+06	1.76E+06
SPO0308	SPO0308				2.71E+06	2.75E+06	2.88E+06
SPO0309	SPO0309				814581	919853	809659
SPO0310	SPO0310				1.57E+06	1.59E+06	1.57E+06
SPO0311	SPO0311				5.99E+06	6.37E+06	6.36E+06
SPO0312	SPO0312				5.92E+06	5.47E+06	6.19E+06
SPO0313	SPO0313				1.21E+06	1.12E+06	1.09E+06
SPO0314	SPO0314				472604	503695	533181
SPO0315	SPO0315				2.40E+06	2.14E+06	2.07E+06
SPO0316	SPO0316				1.24E+07	1.27E+07	1.23E+07
SPO0317	SPO0317				7.23E+06	6.79E+06	7.43E+06
SPO0318	SPO0318				1.24E+06	1.30E+06	1.34E+06
SPO0319	SPO0319				6.46E+06	6.07E+06	6.68E+06
SPO0320	SPO0320				1.53E+06	1.64E+06	1.57E+06
SPO0321	SPO0321				1.35E+06	1.27E+06	1.25E+06
SPO0322	SPO0322				2.62E+07	2.07E+07	2.44E+07
SPO0324	SPO0324				505815	438434	422047
SPO0325	SPO0325				8.91E+07	9.00E+07	8.63E+07
SPO0326	SPO0326				1.02E+08	1.06E+08	1.04E+08
SPO0327	SPO0327					425131	
SPO0328	SPO0328				128803	85465.7	95736.3
SPO0329	SPO0329				637652	700106	727022
SPO0330	SPO0330				195327	161415	233017
SPO0331	SPO0331				3.93E+06	3.93E+06	4.18E+06
