Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250307\250308_++Cas_ML_I.raw	I:\Fadime\250307\250308_++Cas_ML_II.raw	I:\Fadime\250307\250308_++Cas_ML_III.raw
SPO2312	SPO2312				3.32E+07	3.57E+07	3.59E+07
SPO2313	SPO2313				113410	109595	125220
SPO2314	SPO2314				6.91E+06	8.19E+06	8.31E+06
SPO2315	SPO2315				3.71E+06	4.66E+06	4.97E+06
SPO2317	SPO2317				1.30E+06	1.60E+06	1.38E+06
SPO2318	SPO2318				1.66E+06	1.20E+06	1.25E+06
SPO2320	SPO2320				6.17E+06	8.97E+06	8.61E+06
SPO2321	SPO2321				6.10E+06	7.15E+06	7.12E+06
SPO2322	SPO2322				1.62E+07	1.81E+07	1.63E+07
SPO2323	SPO2323				714201	805252	811072
SPO2325	SPO2325				1.29E+07	1.23E+07	1.22E+07
SPO2326	SPO2326				1.45E+07	9.32E+06	9.91E+06
SPO2327	SPO2327				297737	567226	585365
SPO2328	SPO2328				6.20E+06	5.45E+06	5.65E+06
SPO2329	SPO2329				1.76E+07	1.40E+07	1.36E+07
SPO2330	SPO2330				681950	1.35E+06	1.55E+06
SPO2331	SPO2331				6.22E+06	6.08E+06	6.04E+06
SPO2332	SPO2332				2.69E+06	2.67E+06	2.65E+06
SPO2334	SPO2334				397324	379435	428373
SPO2335	SPO2335				1.24E+06	1.56E+06	1.52E+06
SPO2336	SPO2336				2.31E+06	3.44E+06	3.85E+06
SPO2337	SPO2337				4.85E+06	4.22E+06	4.28E+06
SPO2338	SPO2338				313454	272241	324885
SPO2339	SPO2339				506850	577399	590321
SPO2340	SPO2340				4.88E+07	6.24E+07	6.60E+07
SPO2341	SPO2341				169221	252482	279499
SPO2341a	SPO2341a				8.92E+06	8.92E+06	8.85E+06
SPO2342	SPO2342				238244	464040	466086
SPO2343	SPO2343				2.01E+06	2.64E+06	2.61E+06
SPO2344	SPO2344				4.88E+06	5.09E+06	5.18E+06
SPO2345	SPO2345				1.27E+07	1.13E+07	1.17E+07
SPO2346	SPO2346				2.91E+06	2.04E+06	2.02E+06
SPO2347	SPO2347				1.21E+06	1.18E+06	1.00E+06
SPO2348	SPO2348				7.56E+06	6.86E+06	6.39E+06
SPO2349	SPO2349				2.85E+06	3.67E+06	3.77E+06
SPO2350	SPO2350				2.41E+06	2.40E+06	2.50E+06
SPO2351	SPO2351				777531	607716	667851
SPO2353	SPO2353				1.38E+06	1.05E+06	1.16E+06
SPO2354	SPO2354				1.81E+06	1.38E+06	1.36E+06
SPO2355	SPO2355				2.04E+06	1.95E+06	1.87E+06
SPO2358	SPO2358				70807.4	153869	161323
SPO2359	SPO2359				116470	85291.9	126087
SPO2361	SPO2361				746168	951032	925629
SPO2362	SPO2362				770254	957200	1.02E+06
SPO2363	SPO2363				188451	162223	232044
SPO2364	SPO2364				991544	1.19E+06	1.26E+06
SPO2365	SPO2365				575284	646667	632957
SPO2366	SPO2366				559684	406522	436596
SPO2367	SPO2367				622597	691597	717818
SPO2368	SPO2368						
SPO2369	SPO2369				1.17E+06	1.25E+06	1.24E+06
SPO2370	SPO2370				3.26E+06	4.97E+06	4.91E+06
SPO2371	SPO2371				1.61E+07	1.27E+07	1.32E+07
SPO2372	SPO2372				355707	459649	392374
SPO2373	SPO2373				598376	1.06E+06	1.09E+06
SPO2374	SPO2374				2.52E+06	2.09E+06	2.08E+06
SPO2376	SPO2376				100240	178357	194922
SPO2377	SPO2377						20225.2
SPO2378	SPO2378				373493	408000	349495
SPO2381	SPO2381				369964	339132	300842
SPO2382	SPO2382				832832	1.30E+06	1.61E+06
SPO2383	SPO2383					182078	131875
SPO2385	SPO2385				147685	167741	146044
SPO2386	SPO2386						
SPO2387	SPO2387				205628	127504	157125
SPO2389	SPO2389				2.88E+06	2.92E+06	2.94E+06
SPO2393	SPO2393				209425	143238	114613
SPO2394	SPO2394				159793	148269	102167
SPO2395	SPO2395				61010.4		14424.8
SPO2396	SPO2396				288271	375120	245688
SPO2397	SPO2397				1.71E+06	1.29E+06	1.11E+06
SPO2398	SPO2398				1.36E+06	896572	792660
SPO2399	SPO2399				895547	684533	750197
SPO2400	SPO2400				410029	465330	478116
SPO2401	SPO2401				258096	91832.5	285035
SPO2409	SPO2409				1.28E+06	1.02E+06	1.02E+06
SPO2410	SPO2410				1.25E+06	1.19E+06	1.21E+06
SPO2411	SPO2411				128624	164582	193378
SPO2412	SPO2412				389991	528585	491201
SPO2413	SPO2413				327051	282505	294434
SPO2414	SPO2414				399028		419722
SPO2415	SPO2415				167074	131493	133586
SPO2416	SPO2416						
SPO2417	SPO2417				566268	518219	490831
SPO2418	SPO2418						
SPO2419	SPO2419				530704	663890	676701
SPO2420	SPO2420				668424	467067	570045
SPO2421	SPO2421				766143	684178	729836
SPO2422	SPO2422				1.45E+06	1.54E+06	1.54E+06
SPO2424	SPO2424				456279	576616	568435
SPO2425	SPO2425				100122	66804.4	62436.6
SPO2427	SPO2427				627245	519546	531440
SPO2428	SPO2428				930599	801336	785532
SPO2429	SPO2429						
SPO2430	SPO2430				258937	123247	164500
SPO2431	SPO2431						
SPO2433	SPO2433				305623	315481	289922
SPO2434	SPO2434				2.68E+06	3.24E+06	3.12E+06
SPO2435	SPO2435				1.23E+07	1.42E+07	1.41E+07
SPO2436	SPO2436				263269	288714	289866
SPO2437	SPO2437					184269	131684
SPO2438	SPO2438				213117	250878	240115
SPO2439	SPO2439				361002	374274	321841
SPO2440	SPO2440				674666	1.05E+06	1.01E+06
SPO2441	SPO2441				462412	820940	803195
SPO2442	SPO2442				182549	212930	162779
SPO2443	SPO2443				310459	303176	351610
SPO2444	SPO2444				8.27E+07	6.81E+07	6.95E+07
SPO2445	SPO2445						
SPO2446	SPO2446				2.16E+06	2.15E+06	2.14E+06
SPO2447	SPO2447				683969	703573	690338
SPO2448	SPO2448					34673.1	
SPO2449	SPO2449				1.36E+06	1.97E+06	2.03E+06
SPO2450	SPO2450				1.32E+06	1.54E+06	1.55E+06
SPO2451	SPO2451				349504	245193	385382
SPO2452	SPO2452				911838	876982	988028
SPO2453	SPO2453				1.26E+07	1.07E+07	1.06E+07
SPO2454	SPO2454				942594	1.01E+06	1.04E+06
SPO2455	SPO2455				1.93E+06	2.26E+06	2.16E+06
SPO2456	SPO2456				7.52E+06	9.64E+06	9.54E+06
SPO2457	SPO2457				2.21E+06	2.27E+06	2.37E+06
SPO2458	SPO2458				2.00E+06	2.07E+06	2.00E+06
SPO2459	SPO2459				1.23E+07	1.22E+07	1.26E+07
SPO2460	SPO2460				879186	818113	871396
SPO2461	SPO2461				2.28E+06	2.90E+06	2.93E+06
SPO2462	SPO2462				5152.73	22426.2	41896.2
SPO2463	SPO2463				1.16E+06	682752	679954
SPO2464	SPO2464				3.51E+06	4.01E+06	4.17E+06
SPO2465	SPO2465				89739.5	111282	105984
SPO2466	SPO2466				174376	406765	512505
SPO2467	SPO2467				5.00E+06	6.01E+06	6.14E+06
SPO2468	SPO2468				3.90E+06	4.97E+06	4.93E+06
SPO2469	SPO2469				4.20E+06	4.70E+06	4.55E+06
SPO2470	SPO2470				3.03E+06	3.47E+06	3.81E+06
SPO2471	SPO2471				1.11E+06	886740	949124
SPO2473	SPO2473				1.30E+06	1.33E+06	1.33E+06
SPO2474	SPO2474				2.89E+07	3.14E+07	3.06E+07
SPO2475	SPO2475				124186	342771	135830
SPO2476	SPO2476				3.98E+06	3.52E+06	3.50E+06
SPO2477	SPO2477				4.65E+06	4.02E+06	4.13E+06
SPO2478	SPO2478				9.15E+06	8.22E+06	7.15E+06
SPO2479	SPO2479				1.56E+06	2.01E+06	1.88E+06
SPO2480	SPO2480				3.31E+06	3.25E+06	3.17E+06
SPO2482	SPO2482				521796	534559	553050
SPO2483	SPO2483				1.87E+06	2.02E+06	1.99E+06
SPO2484	SPO2484				1.20E+07	1.23E+07	1.15E+07
SPO2486	SPO2486				39382.5	23010.5	29395.1
SPO2487	SPO2487				3.09E+06	2.79E+06	2.92E+06
SPO2488	SPO2488				1.51E+06	1.62E+06	1.64E+06
SPO2489	SPO2489				1.27E+06	1.12E+06	1.34E+06
SPO2490	SPO2490				6.89E+06	6.92E+06	6.86E+06
SPO2491	SPO2491				1.28E+06	2.07E+06	2.08E+06
SPO2492	SPO2492				3.01E+06	6.26E+06	7.40E+06
SPO2493	SPO2493				2.78E+06	2.54E+06	2.63E+06
SPO2494	SPO2494				7.31E+06	7.54E+06	7.92E+06
SPO2495	SPO2495				1.68E+07	1.41E+07	1.42E+07
SPO2496	SPO2496				4.30E+06	3.53E+06	3.41E+06
SPO2498	SPO2498				3.72E+06	4.46E+06	4.63E+06
SPO2499	SPO2499				2.72E+06	1.96E+06	2.15E+06
SPO2500	SPO2500				3.39E+06	2.56E+06	2.62E+06
SPO2501	SPO2501				1.33E+06	1.83E+06	1.87E+06
SPO2502	SPO2502				2.78E+06	2.22E+06	2.44E+06
SPO2503	SPO2503				2.08E+06	2.62E+06	2.64E+06
SPO2504	SPO2504				1.16E+07	1.25E+07	1.22E+07
SPO2505	SPO2505				2.42E+06	2.55E+06	2.45E+06
SPO2506	SPO2506				3.42E+06	6.30E+06	6.34E+06
SPO2507	SPO2507				256837	213216	250796
SPO2509	SPO2509				1.04E+07	1.03E+07	1.01E+07
SPO2510	SPO2510				1.08E+06	742869	802718
SPO2511	SPO2511				5.60E+06	6.12E+06	5.97E+06
SPO2512	SPO2512				7.55E+06	7.56E+06	7.59E+06
SPO2513	SPO2513				1.27E+06	1.35E+06	1.28E+06
SPO2515	SPO2515				1.52E+06	1.60E+06	1.72E+06
SPO2516	SPO2516				42981.4		
SPO2517	SPO2517				1.64E+06	1.27E+06	1.26E+06
SPO2518	SPO2518				2.43E+06	2.34E+06	2.43E+06
SPO2519	SPO2519				1.02E+06	894961	934813
SPO2520	SPO2520				3.46E+06	3.07E+06	3.04E+06
SPO2521	SPO2521				553973	697426	667617
SPO2522	SPO2522				694326	959486	980346
SPO2523	SPO2523				1.86E+06	1.79E+06	1.76E+06
SPO2524	SPO2524				412758	375699	418919
SPO2527	SPO2527				695618	701022	689971
SPO2528	SPO2528				392157	351578	338744
SPO2529	SPO2529				277939	239545	229191
SPO2530	SPO2530						
SPO2532	SPO2532						38887
SPO2533	SPO2533						
SPO2534	SPO2534					171812	162201
SPO2535	SPO2535						
SPO2536	SPO2536				155164	141370	148930
SPO2538	SPO2538				379811	365388	332526
SPO2539	SPO2539				574702	469719	440388
SPO2540	SPO2540				293528	354423	266024
SPO2541	SPO2541				50725.1	50847.5	36542
SPO2543	SPO2543				4.23E+06	3.23E+06	3.32E+06
SPO2544	SPO2544				795433	569965	573710
SPO2545	SPO2545				404710	674274	663731
SPO2548	SPO2548				580843	543533	571847
SPO2549	SPO2549				82050.8	28227.1	
SPO2550	SPO2550				944707	1.22E+06	1.15E+06
SPO2551	SPO2551				65078.1	137323	185582
SPO2552	SPO2552				311581	257373	301432
SPO2553	SPO2553						
SPO2554	SPO2554				107635	226871	225092
SPO2555	SPO2555				32227.2	50508.4	44171.6
SPO2556	SPO2556				38963.9	48768.4	32897.2
SPO2559	SPO2559					23211.2	
SPO2560	SPO2560				1.96E+06	2.17E+06	2.13E+06
SPO2561	SPO2561				1.38E+06	1.44E+06	1.43E+06
SPO2562	SPO2562				2.65E+06	2.28E+06	2.27E+06
SPO2563	SPO2563				1.99E+06	2.38E+06	2.44E+06
SPO2565	SPO2565				621841	516209	555450
SPO2566	SPO2566				1.73E+06	1.47E+06	1.56E+06
SPO2567	SPO2567				1.46E+06	1.42E+06	1.68E+06
SPO2568	SPO2568				1.70E+06	2.09E+06	2.01E+06
SPO2569	SPO2569				721515	586142	566710
SPO2570	SPO2570				2.47E+06	3.38E+06	3.27E+06
SPO2571	SPO2571				9.75E+06	1.30E+07	1.29E+07
SPO2572	SPO2572				2.36E+06	6.02E+06	5.91E+06
SPO2573	SPO2573				5.58E+07	6.07E+07	5.93E+07
SPO2574	SPO2574				1.54E+06	1.46E+06	1.45E+06
SPO2575	SPO2575				3.14E+06	3.88E+06	3.60E+06
SPO2576	SPO2576				189260	176563	202124
SPO2577	SPO2577				125598	147183	147444
SPO2578	SPO2578				1.22E+07	1.44E+07	1.46E+07
SPO2579	SPO2579				1.58E+07	1.72E+07	1.75E+07
SPO2580	SPO2580				213336	136832	205988
SPO2581	SPO2581				1.68E+06	1.79E+06	1.66E+06
SPO2582	SPO2582				2.05E+06	2.41E+06	2.38E+06
SPO2583	SPO2583				6.94E+06	8.09E+06	7.58E+06
SPO2584	SPO2584				420539	450173	441788
SPO2585	SPO2585				9.21E+06	9.00E+06	9.15E+06
SPO2587	SPO2587				6.68E+06	7.16E+06	6.89E+06
SPO2588	SPO2588				2.04E+06	2.48E+06	2.38E+06
SPO2589	SPO2589				5.38E+06	5.82E+06	5.53E+06
SPO2590	SPO2590				3.65E+06	3.31E+06	3.26E+06
SPO2591	SPO2591				1.20E+07	2.05E+07	2.02E+07
SPO2592	SPO2592				652946	824543	733760
SPO2594	SPO2594				6.37E+06	6.63E+06	6.81E+06
SPO2595	SPO2595				1.48E+06	1.42E+06	1.50E+06
SPO2596	SPO2596				2.45E+06	2.26E+06	2.32E+06
SPO2597	SPO2597				2.19E+07	2.26E+07	2.28E+07
SPO2598	SPO2598				1.30E+06	1.92E+06	1.91E+06
SPO2601	SPO2601				667527	562953	502422
SPO2602	SPO2602				690678	673744	731447
SPO2603	SPO2603				491840	480235	523839
SPO2604	SPO2604				53078.2	84862.4	82746.1
SPO2605	SPO2605				370866	461261	436169
SPO2606	SPO2606				1.08E+07	1.16E+07	1.19E+07
SPO2607	SPO2607				3.74E+06	3.87E+06	4.12E+06
SPO2608	SPO2608				6.04E+06	5.23E+06	5.44E+06
SPO2609	SPO2609				8.92E+06	7.13E+06	7.10E+06
SPO2610	SPO2610				1.02E+06	1.09E+06	1.07E+06
SPO2612	SPO2612				1.04E+07	6.82E+06	8.07E+06
SPO2613	SPO2613				1.60E+07	1.76E+07	1.86E+07
SPO2614	SPO2614				889367	1.25E+06	1.25E+06
SPO2615	SPO2615				2.63E+08	2.27E+08	2.48E+08
SPO2616	SPO2616				3.29E+06	2.80E+06	2.84E+06
SPO2617	SPO2617				7.53E+06	8.40E+06	8.28E+06
SPO2618	SPO2618				2.12E+06	1.57E+06	1.75E+06
SPO2619	SPO2619				247482	392543	481244
SPO2620	SPO2620				2.58E+06	1.61E+06	1.98E+06
SPO2621	SPO2621				2.07E+06	4.00E+06	4.48E+06
SPO2622	SPO2622				523380	594423	627382
SPO2624	SPO2624				840183	1.12E+06	1.05E+06
SPO2625	SPO2625				749903	589504	643892
SPO2626	SPO2626				135160	108757	74826.9
SPO2627	SPO2627				1.44E+06	1.58E+06	1.62E+06
SPO2628	SPO2628				7.69E+06	6.90E+06	6.70E+06
SPO2629	SPO2629				2.65E+06	2.86E+06	2.53E+06
SPO2630	SPO2630				609752	731308	772135
SPO2631	SPO2631				1.09E+07	1.57E+07	1.57E+07
SPO2632	SPO2632				362197	464646	571490
SPO2633	SPO2633				6.38E+06	8.32E+06	8.62E+06
SPO2634	SPO2634				1.43E+07	1.78E+07	1.86E+07
SPO2635	SPO2635				2.05E+06	1.88E+06	2.35E+06
SPO2636	SPO2636				1.19E+07	7.31E+06	8.30E+06
SPO2637	SPO2637				1.14E+07	1.79E+07	2.02E+07
SPO2638	SPO2638				2.35E+07	1.59E+07	1.61E+07
SPO2639	SPO2639				1.11E+06	932739	910833
SPO2640	SPO2640				1.59E+06	1.88E+06	1.94E+06
SPO2643	SPO2643				60609		82876.3
SPO2644	SPO2644				1.03E+06	928499	844222
SPO2645	SPO2645				2.86E+06	2.72E+06	2.78E+06
SPO2646	SPO2646				2.74E+06	4.47E+06	4.35E+06
SPO2647	SPO2647				1.91E+06	1.91E+06	1.92E+06
SPO2648	SPO2648				2.36E+06	2.41E+06	2.49E+06
SPO2649	SPO2649				1.40E+06	1.61E+06	1.58E+06
SPO2650	SPO2650				6.28E+06	4.21E+06	4.29E+06
SPO2651	SPO2651				2.40E+06	2.50E+06	2.52E+06
SPO2652	SPO2652				2.82E+06	3.24E+06	2.97E+06
SPO2652a	SPO2652a				759076	851016	809173
SPO2653	SPO2653				6.03E+06	7.02E+06	7.38E+06
SPO2654	SPO2654				1.25E+07	1.05E+07	1.06E+07
SPO2655	SPO2655				2.36E+06	2.81E+06	2.79E+06
SPO2656	SPO2656				512376	556155	474440
SPO2657	SPO2657				230725		186643
SPO2658	SPO2658				1.10E+06	1.47E+06	1.33E+06
SPO2659	SPO2659					21706.5	22926
SPO2660	SPO2660				87165	78051.7	112490
SPO2661	SPO2661				256774	291869	279025
SPO2662	SPO2662						
SPO2666	SPO2666				398726	449521	
SPO2668	SPO2668				868155	922449	752912
SPO2669	SPO2669				1.07E+06	1.15E+06	1.11E+06
SPO2670	SPO2670				5.34E+06	5.14E+06	5.26E+06
SPO2671	SPO2671				241843	459636	458209
SPO2672	SPO2672				4.28E+06	5.22E+06	4.90E+06
SPO2673	SPO2673				646118	458510	380346
SPO2674	SPO2674				2.99E+06	2.77E+06	2.69E+06
SPO2675	SPO2675				21067.4		
SPO2676	SPO2676				25402.5		
SPO2677	SPO2677				1.36E+07	1.28E+07	1.26E+07
SPO2678	SPO2678				103776	63349.8	95141
SPO2679	SPO2679				9.25E+06	6.33E+06	6.43E+06
SPO2680	SPO2680				9.50E+06	8.83E+06	9.18E+06
SPO2681	SPO2681				1.62E+06	2.25E+06	2.31E+06
SPO2682	SPO2682				1.08E+06	1.10E+06	1.14E+06
SPO2683	SPO2683				6.93E+06	7.37E+06	6.79E+06
SPO2684	SPO2684				258051	368159	373397
SPO2685	SPO2685				438579	419987	461365
SPO2686	SPO2686				1.95E+07	1.90E+07	1.89E+07
SPO2687	SPO2687				1.58E+06	1.47E+06	1.45E+06
SPO2688	SPO2688				3.23E+06	3.09E+06	3.01E+06
SPO2689	SPO2689				2.34E+06	2.20E+06	2.27E+06
SPO2690	SPO2690				2.71E+06	3.41E+06	3.68E+06
SPO2691	SPO2691				2.51E+06	2.22E+06	2.17E+06
SPO2692	SPO2692				1.37E+07	1.18E+07	1.17E+07
SPO2693	SPO2693				2.13E+06	2.26E+06	2.16E+06
SPO2694	SPO2694				592422	738269	720520
SPO2695	SPO2695				2.19E+06	2.95E+06	2.85E+06
SPO2697	SPO2697				315286		248092
SPO2698	SPO2698				272550	293997	287292
SPO2701	SPO2701					10091.2	4818.66
SPO2702	SPO2702				1.21E+06	960145	840415
SPO2704	SPO2704				89756.6	66369.9	83798
SPO2705	SPO2705				126047	148984	149009
SPO2706	SPO2706				42922.2	26494.5	38944.7
SPO2707	SPO2707				435310	425880	527188
SPO2708	SPO2708				430614	556333	307937
SPO2709	SPO2709				402144	337147	279203
SPO2710	SPO2710				925308	717045	846646
SPO2711	SPO2711				102541	115903	149568
SPO2712	SPO2712				2.06E+06	2.11E+06	2.16E+06
SPO2713	SPO2713				734597	840799	787525
SPO2714	SPO2714				912530	898458	882119
SPO2715	SPO2715				951384	1.07E+06	1.04E+06
SPO2716	SPO2716				199867	273163	248688
SPO2717	SPO2717				3.31E+06	3.68E+06	3.88E+06
SPO2718	SPO2718				336352	491825	483456
SPO2719	SPO2719				355812	437584	437673
SPO2721	SPO2721				4.32E+06	6.04E+06	6.05E+06
SPO2722	SPO2722				222337	337618	403346
SPO2723	SPO2723				4.53E+06	4.46E+06	4.60E+06
SPO2723a	SPO2723a				5.15E+06	5.61E+06	5.31E+06
SPO2724	SPO2724				3.01E+06	3.31E+06	3.26E+06
SPO2733	SPO2733				3.40E+06	3.35E+06	3.32E+06
SPO2734	SPO2734				1.86E+06	1.88E+06	1.99E+06
SPO2735	SPO2735				1.84E+06	2.12E+06	2.10E+06
SPO2736	SPO2736				668607	695873	716535
SPO2738	SPO2738				2.58E+07	1.82E+07	1.88E+07
SPO2739	SPO2739				1.21E+07	1.24E+07	1.26E+07
SPO2740	SPO2740				7.68E+06	7.25E+06	6.88E+06
SPO2741	SPO2741				2.56E+06	2.16E+06	2.21E+06
SPO2742	SPO2742				4.36E+06	4.35E+06	4.07E+06
SPO2743	SPO2743				2.27E+06	2.45E+06	2.68E+06
SPO2744	SPO2744						
SPO2745	SPO2745				2.00E+06	1.34E+06	1.39E+06
SPO2746	SPO2746				3.07E+06	2.94E+06	2.82E+06
SPO2747	SPO2747				1.15E+06	1.16E+06	1.19E+06
SPO2748	SPO2748				750230	836139	856432
SPO2749	SPO2749				714065	628177	515234
SPO2750	SPO2750				506570	513204	514248
SPO2751	SPO2751				4.07E+06	4.77E+06	4.90E+06
SPO2752	SPO2752						
SPO2753	SPO2753				1.26E+06	1.25E+06	1.29E+06
SPO2754	SPO2754				1.64E+06	1.11E+06	1.10E+06
SPO2755	SPO2755				551751	563946	713244
SPO2756	SPO2756				151411	158181	130444
SPO2757	SPO2757				921316	686440	771956
SPO2758	SPO2758				422522	452413	502382
SPO2759	SPO2759				3.13E+06	2.94E+06	3.12E+06
SPO2760	SPO2760				4.55E+06	4.96E+06	4.84E+06
SPO2761	SPO2761				2.76E+06	4.10E+06	4.71E+06
SPO2762	SPO2762				3.36E+06	2.98E+06	2.84E+06
SPO2763	SPO2763				2.02E+06	3.03E+06	3.16E+06
SPO2764	SPO2764				1.22E+06	1.80E+06	1.46E+06
SPO2765	SPO2765				26800.1	17577.3	2.59E+06
SPO2766	SPO2766				627719	814270	732847
SPO2767	SPO2767				3.04E+06	4.42E+06	3.81E+06
SPO2768	SPO2768				1.02E+06	2.08E+06	1.81E+06
SPO2769	SPO2769				3.62E+06	3.08E+06	3.14E+06
SPO2770	SPO2770				9.89E+06	8.35E+06	7.96E+06
SPO2771	SPO2771				570220	1.94E+06	1.97E+06
SPO2772	SPO2772				2.38E+06	4.30E+06	4.07E+06
SPO2773	SPO2773				455290	360494	389236
SPO2774	SPO2774				1.44E+07	1.38E+07	1.39E+07
SPO2775	SPO2775				4.78E+06	3.60E+06	3.67E+06
SPO2776	SPO2776				6.91E+06	7.49E+06	7.92E+06
SPO2777	SPO2777				9.15E+06	1.07E+07	1.08E+07
SPO2778	SPO2778				577318	1.22E+06	938586
SPO2779	SPO2779				1.85E+06	2.53E+06	2.47E+06
SPO2780	SPO2780				1.39E+07	1.54E+07	1.54E+07
SPO2781	SPO2781				1.22E+07	1.75E+07	1.77E+07
SPO2782	SPO2782				9.26E+06	9.75E+06	9.78E+06
SPO2784	SPO2784				1.01E+07	1.55E+07	1.48E+07
SPO2785	SPO2785				5.68E+06	4.32E+06	4.38E+06
SPO2786	SPO2786				489981	973755	889400
SPO2787	SPO2787				3.23E+06	4.06E+06	4.24E+06
SPO2788	SPO2788				6.76E+06	7.33E+06	6.93E+06
SPO2789	SPO2789				1.60E+06	1.79E+06	1.84E+06
SPO2790	SPO2790				1.25E+06	1.00E+06	996375
SPO2791	SPO2791				219077	192996	222541
SPO2792	SPO2792				45074.1	209883	214471
SPO2793	SPO2793				2.56E+06	2.61E+06	2.46E+06
SPO2795	SPO2795				2.23E+06	2.82E+06	2.86E+06
SPO2796	SPO2796				1.48E+06	2.11E+06	2.01E+06
SPO2797	SPO2797				2.33E+07	1.83E+07	1.85E+07
SPO2798	SPO2798				3.67E+06	3.35E+06	3.61E+06
SPO2799	SPO2799				5.19E+06	4.63E+06	4.50E+06
SPO2800	SPO2800				2.50E+06	2.15E+06	2.20E+06
SPO2801	SPO2801				1.64E+06	1.67E+06	1.66E+06
SPO2802	SPO2802				2.24E+06	3.51E+06	3.54E+06
SPO2803	SPO2803				373497	319314	319263
SPO2804	SPO2804				207469	288147	260338
SPO2805	SPO2805				125193	89524.1	96687.1
SPO2806	SPO2806				1.36E+06	1.57E+06	1.61E+06
SPO2807	SPO2807				1.19E+06	1.31E+06	1.43E+06
SPO2808	SPO2808				1.43E+07	1.58E+07	1.55E+07
SPO2809	SPO2809				2.97E+06	3.39E+06	3.31E+06
SPO2810	SPO2810				3.66E+06	3.77E+06	3.78E+06
SPO2811	SPO2811				3.21E+06	3.54E+06	3.76E+06
SPO2812	SPO2812				3.76E+06	3.43E+06	3.36E+06
SPO2813	SPO2813				6.66E+06	5.86E+06	5.82E+06
SPO2814	SPO2814				4.78E+07	5.47E+07	5.58E+07
SPO2815	SPO2815				3.20E+06	4.69E+06	4.97E+06
SPO2816	SPO2816				4.60E+06	4.24E+06	3.89E+06
SPO2817	SPO2817				1.08E+06	2.23E+06	2.17E+06
SPO2818	SPO2818				1.18E+06	1.09E+06	1.08E+06
SPO2819	SPO2819				8.84E+06	1.01E+07	1.01E+07
SPO2820	SPO2820				2.30E+07	2.12E+07	2.12E+07
SPO2821	SPO2821				1.56E+06	2.76E+06	2.37E+06
SPO2822	SPO2822				306344	683877	684206
SPO2823	SPO2823				2.97E+06	3.17E+06	2.95E+06
SPO2824	SPO2824				3.47E+06	4.75E+06	4.41E+06
SPO2825	SPO2825				265185	282620	277304
SPO2826	SPO2826				219931	235606	205632
SPO2827	SPO2827				1.98E+06	1.83E+06	1.76E+06
SPO2828	SPO2828				22455.9	28301	30062.1
SPO2829	SPO2829				438220	473868	411924
SPO2835	SPO2835				252022	394969	360202
SPO2836	SPO2836				910852	1.01E+06	960372
SPO2837	SPO2837				5.85E+06	5.90E+06	6.52E+06
SPO2838	SPO2838				3.12E+06	3.51E+06	4.38E+06
SPO2839	SPO2839				9.36E+06	8.88E+06	8.96E+06
SPO2840	SPO2840				298134	270665	283512
SPO2841	SPO2841				6.23E+06	7.84E+06	7.79E+06
SPO2842	SPO2842				3.94E+06	3.76E+06	3.73E+06
SPO2843	SPO2843				750467	1.19E+06	1.14E+06
SPO2845	SPO2845				256100	254676	222079
SPO2846	SPO2846				368826	268872	253437
SPO2847	SPO2847				1.86E+07	1.83E+07	1.85E+07
SPO2848	SPO2848				1.40E+07	1.60E+07	1.88E+07
SPO2849	SPO2849				5.54E+06	5.09E+06	4.69E+06
SPO2850	SPO2850				8.62E+06	7.22E+06	7.39E+06
SPO2851	SPO2851				113708	87452.4	66154.9
SPO2853	SPO2853				2.32E+07	2.51E+07	2.46E+07
SPO2854	SPO2854				1.10E+06	1.04E+06	970418
SPO2855	SPO2855				1.15E+07	1.09E+07	1.07E+07
SPO2856	SPO2856				950443	1.11E+06	1.07E+06
SPO2857	SPO2857				8.01E+06	9.67E+06	9.58E+06
SPO2858	SPO2858				9.69E+06	9.72E+06	1.05E+07
SPO2859	SPO2859				247665	212969	248759
SPO2860	SPO2860				847075	712567	704323
SPO2861	SPO2861				5.44E+06	5.15E+06	5.32E+06
SPO2862	SPO2862				2.67E+07	2.72E+07	2.66E+07
SPO2863	SPO2863				1.29E+06	1.46E+06	1.49E+06
SPO2864	SPO2864				1.94E+06	2.10E+06	2.05E+06
SPO2865	SPO2865				9.97E+06	1.08E+07	1.05E+07
SPO2866	SPO2866				4.30E+06	3.45E+06	3.55E+06
SPO2867	SPO2867				2.74E+06	2.80E+06	2.76E+06
SPO2868	SPO2868				2.72E+06	2.29E+06	2.39E+06
SPO2869	SPO2869				2.16E+06	1.86E+06	1.84E+06
SPO2870	SPO2870				392729	258866	268205
SPO2871	SPO2871				2.01E+06	2.70E+06	2.63E+06
SPO2872	SPO2872				5.25E+06	3.81E+06	3.95E+06
SPO2873	SPO2873				2.46E+06	2.78E+06	2.51E+06
SPO2874	SPO2874				3.24E+06	3.07E+06	2.91E+06
SPO2875	SPO2875				4.44E+06	5.24E+06	4.93E+06
SPO2877	SPO2877				2.31E+07	1.93E+07	1.84E+07
SPO2878	SPO2878				418507	570487	617814
SPO2879	SPO2879				768561	784781	768730
SPO2880	SPO2880				38715.6		17837.1
SPO2881	SPO2881				260822	210851	148995
SPO2882	SPO2882				464375	340454	408628
