Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250307\250308_++Cas_ML_I.raw	I:\Fadime\250307\250308_++Cas_ML_II.raw	I:\Fadime\250307\250308_++Cas_ML_III.raw
SPO1429	SPO1429				3.25E+07	3.20E+07	3.08E+07
SPO1430	SPO1430					602900	1.46E+06
SPO1431	SPO1431				1.53E+07	1.88E+07	1.88E+07
SPO1432	SPO1432				4.42E+06	4.51E+06	4.36E+06
SPO1433	SPO1433				2.00E+07	1.55E+07	1.56E+07
SPO1434	SPO1434				493791	451391	473572
SPO1435	SPO1435				1.45E+06	1.30E+06	1.31E+06
SPO1436	SPO1436				792810	943836	931506
SPO1437	SPO1437				75806.3	89808.5	83327.5
SPO1438	SPO1438				2.50E+06	3.66E+06	2.99E+06
SPO1439	SPO1439				487973	380243	379172
SPO1442	SPO1442				344720	694390	701436
SPO1443	SPO1443				1.44E+07	1.31E+07	1.18E+07
SPO1444	SPO1444				1.65E+06	1.49E+06	1.57E+06
SPO1445	SPO1445				1.02E+06	874297	786948
SPO1446	SPO1446				1.10E+06	1.05E+06	1.13E+06
SPO1447	SPO1447				1.23E+06	1.15E+06	1.18E+06
SPO1448	SPO1448				399521	520513	462946
SPO1449	SPO1449				513973	589457	594205
SPO1450	SPO1450				225270	324883	353109
SPO1451	SPO1451				1.00E+06	1.11E+06	1.21E+06
SPO1452	SPO1452				93559.6	214266	194718
SPO1453	SPO1453				2.44E+06	2.01E+06	1.80E+06
SPO1454	SPO1454				476346	593158	537919
SPO1455	SPO1455				153874	188385	137645
SPO1456	SPO1456					38546.9	
SPO1457	SPO1457				3.44E+06	3.43E+06	3.54E+06
SPO1458	SPO1458				630984	600007	553374
SPO1459	SPO1459				599725	630412	636132
SPO1460	SPO1460				491949	617921	610331
SPO1461	SPO1461				810593	936556	957691
SPO1462	SPO1462				468133	733875	722242
SPO1463	SPO1463				73931	127492	138080
SPO1464	SPO1464				281731	160536	212366
SPO1465	SPO1465				2.42E+06	2.82E+06	2.92E+06
SPO1466	SPO1466				196140	152497	153864
SPO1467	SPO1467				116602	120382	96416.4
SPO1468	SPO1468				987428	1.02E+06	995104
SPO1469	SPO1469				1.19E+06	988980	1.02E+06
SPO1470	SPO1470				420558	340642	387994
SPO1471	SPO1471				673631	637923	565436
SPO1472	SPO1472				523323	478969	500109
SPO1473	SPO1473				217306	166711	203996
SPO1474	SPO1474				239121	230734	220003
SPO1475	SPO1475				367202	379911	296047
SPO1476	SPO1476				549717	524666	506054
SPO1477	SPO1477				206511	260540	273946
SPO1478	SPO1478				477165	499780	474656
SPO1479	SPO1479				634586	538433	494686
SPO1480	SPO1480				272011	226825	208274
SPO1481	SPO1481				97991.6	102733	89063.6
SPO1482	SPO1482				2.99E+06	3.10E+06	2.60E+06
SPO1483	SPO1483				554849	629716	539074
SPO1484	SPO1484				233040	178948	210737
SPO1485	SPO1485					112847	
SPO1486	SPO1486				418510	352682	347389
SPO1488	SPO1488				501172	459478	488547
SPO1489	SPO1489				705448	532198	544784
SPO1490	SPO1490				507383	509531	584697
SPO1491	SPO1491				196020		92739.1
SPO1492	SPO1492				181493	108511	128674
SPO1493	SPO1493				149908	131949	116609
SPO1494	SPO1494				531226	512925	510929
SPO1495	SPO1495				1.59E+06	1.57E+06	1.54E+06
SPO1496	SPO1496				1.11E+06	1.22E+06	1.14E+06
SPO1497	SPO1497				7.04E+06	7.45E+06	7.44E+06
SPO1498	SPO1498				2.10E+07	1.90E+07	1.89E+07
SPO1499	SPO1499				2.25E+06	2.53E+06	2.65E+06
SPO1500	SPO1500				1.09E+06	1.18E+06	1.02E+06
SPO1501	SPO1501				572388	544458	494145
SPO1502	SPO1502				1.11E+06	1.01E+06	974886
SPO1503	SPO1503				1.19E+06	987179	1.08E+06
SPO1505	SPO1505				324297	336812	302383
SPO1506	SPO1506				294197	251701	247409
SPO1507	SPO1507				1.70E+06	2.08E+06	1.85E+06
SPO1508	SPO1508				514787	418464	370708
SPO1509	SPO1509				115953	207722	191356
SPO1510	SPO1510					55688.3	
SPO1511	SPO1511				882687	657241	652849
SPO1512	SPO1512				2.42E+06	3.48E+06	3.53E+06
SPO1513	SPO1513				760446	1.18E+06	1.16E+06
SPO1514	SPO1514				1.75E+06	1.44E+06	1.46E+06
SPO1515	SPO1515				395339	573481	571970
SPO1516	SPO1516				323341	422352	437419
SPO1517	SPO1517				8.09E+06	7.26E+06	7.78E+06
SPO1518	SPO1518				1.88E+06	2.31E+06	2.54E+06
SPO1519	SPO1519				1.87E+06	1.91E+06	1.86E+06
SPO1520	SPO1520				5.29E+06	4.87E+06	4.66E+06
SPO1521	SPO1521				134988	133906	128316
SPO1522	SPO1522				1.51E+06	1.54E+06	1.58E+06
SPO1523	SPO1523				226183	225509	177926
SPO1524	SPO1524				161897	149189	132123
SPO1525	SPO1525				82926.7	103989	104568
SPO1526	SPO1526				270065	286477	311206
SPO1527	SPO1527				56099.1		49787.4
SPO1528	SPO1528				426108	423237	437529
SPO1530	SPO1530				346573	392417	517876
SPO1531	SPO1531				389193	388242	388415
SPO1532	SPO1532				915565	1.13E+06	1.16E+06
SPO1533	SPO1533				822295	737080	791281
SPO1535	SPO1535				388495	448998	477570
SPO1536	SPO1536				3.11E+06	3.05E+06	3.11E+06
SPO1537	SPO1537						
SPO1538	SPO1538				543775	561152	552288
SPO1540	SPO1540				129430	108247	128175
SPO1541	SPO1541				699413	608345	600710
SPO1542	SPO1542				1.39E+06	1.66E+06	1.47E+06
SPO1543	SPO1543				4.97E+06	6.38E+06	5.92E+06
SPO1544	SPO1544				191367	253559	223916
SPO1545	SPO1545				631873	799050	728310
SPO1546	SPO1546				877129	894522	869791
SPO1547	SPO1547				1.01E+06	945354	898965
SPO1548	SPO1548				141065	46699.2	70868.4
SPO1549	SPO1549				392149	347183	334838
SPO1551	SPO1551				165831	152271	185060
SPO1552	SPO1552				465825	527441	528667
SPO1553	SPO1553				2.67E+06	3.04E+06	3.11E+06
SPO1554	SPO1554				71739.9		
SPO1556	SPO1556				1.59E+06	1.52E+06	2.89E+06
SPO1557	SPO1557				2.03E+07	1.80E+07	1.79E+07
SPO1558	SPO1558					161452	190945
SPO1559	SPO1559				6.22E+06	7.16E+06	7.43E+06
SPO1560	SPO1560				330588	393335	417674
SPO1562	SPO1562				2.75E+06	2.70E+06	2.59E+06
SPO1563	SPO1563				57836.9	62459.2	60763.1
SPO1564	SPO1564				923094	685824	662162
SPO1565	SPO1565				2.11E+06	1.83E+06	1.80E+06
SPO1566	SPO1566				837937	608274	522047
SPO1567	SPO1567				310500	297939	286951
SPO1568	SPO1568				470395	247473	250958
SPO1569	SPO1569				108551	42220	44667.1
SPO1570	SPO1570				78814.7	101212	111466
