Accession Number	Annotation	1	2	3
SPO0099	"Peptide/opine/nickel uptake family ABC transporter, permease protein"	1.72E+06	1.34E+06	1.75E+06
SPO0100	"Peptide/opine/nickel uptake family ABC transporter, permease protein"	911581	903513	895641
SPO0101	"Peptide/opine/nickel uptake family ABC transporter, periplasmic substrate-binding protein"	7.63E+06	7.22E+06	7.10E+06
SPO0102	3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11) (Ketopantoate hydroxymethyltransferase) (KPHMT)	3.65E+06	3.70E+06	3.55E+06
SPO0103	Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme)	4.49E+06	4.78E+06	4.76E+06
SPO0104	Glycerol kinase (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase) (Glycerokinase) (GK)	8.35E+06	8.58E+06	8.69E+06
SPO0105	Monooxygenase family protein	1.83E+06	1.92E+06	1.93E+06
SPO0106	UPF0246 protein SPO0106	5.53E+06	5.71E+06	5.57E+06
SPO0107	DNA helicase RecQ (EC 5.6.2.4)	1.72E+06	1.68E+06	1.70E+06
SPO0109	"Membrane protein, putative"	1.77E+06	1.58E+06	1.66E+06
SPO0110	"ABC transporter, ATP binding/permease protein"	1.63E+06	1.67E+06	1.67E+06
SPO0111	Membrane fusion protein biotin-lipoyl like domain-containing protein	6.14E+06	6.26E+06	5.70E+06
SPO0112	Poly(3-hydroxyalkanoate) polymerase family protein	2.29E+06	2.36E+06	2.29E+06
SPO0113	Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)	1.17E+06	1.24E+06	1.19E+06
SPO0114	Uncharacterized protein	26109.9
SPO0115	MaoC family protein/phosphate acetyl/butaryl transferase	4.12E+06	4.03E+06	3.92E+06
SPO0116	Acetate kinase (EC 2.7.2.1) (Acetokinase)	1.74E+06	1.58E+06	1.60E+06
SPO0118	DUF4274 domain-containing protein	99793.5	87653.1	64575.6
SPO0119	"Transcriptional regulator, AsnC family"	540849	560318	536385
SPO0120	"Membrane protein, putative"			20166.4
SPO0122	YGGT family protein	653939	760535	708368
SPO0123	"Membrane protein, putative"	1.43E+06	1.45E+06	1.42E+06
SPO0124	Murein endopeptidase	8.56E+06	8.79E+06	8.69E+06
SPO0125	Phytase-like domain-containing protein	2.12E+06	2.14E+06	2.17E+06
SPO0126	Probable queuosine precursor transporter (Q precursor transporter)	782913	774988	745403
SPO0127	Peptidyl-tRNA hydrolase domain protein	1.21E+06	1.13E+06	1.15E+06
SPO0128	"Oxidoreductase, short chain dehydrogenase/reductase family"	7.24E+06	7.22E+06	7.57E+06
SPO0129	"Peptidase, T4 family"	1.48E+06	1.44E+06	1.38E+06
SPO0130	Cytochrome c family protein	2.74E+07	2.94E+07	2.65E+07
SPO0131	Isopentenyl-diphosphate Delta-isomerase (IPP isomerase) (EC 5.3.3.2) (IPP:DMAPP isomerase) (Isopentenyl pyrophosphate isomerase)	2.98E+06	3.05E+06	3.11E+06
SPO0132	histidine kinase (EC 2.7.13.3)	56970		28523.2
SPO0133	PAN domain protein	5.72E+06	5.81E+06	5.75E+06
SPO0134	Glycolipid-binding domain-containing protein	1.51E+06	1.46E+06	1.46E+06
SPO0135	Penicillin-binding protein 1C	471729	462070	468624
SPO0136	Glutamine amidotransferase domain-containing protein	2.43E+06	2.31E+06	2.35E+06
SPO0137	N-terminal double-transmembrane domain protein	1.49E+06	1.50E+06	1.49E+06
SPO0138	DUF58 domain-containing protein	1.61E+06	1.64E+06	1.64E+06
SPO0139	"ATPase, MoxR family"	8.00E+06	7.98E+06	7.91E+06
SPO0140	Proteophosphoglycan	1.15E+06	1.11E+06	1.16E+06
SPO0141	"DNA binding protein, putative"	2.57E+06	2.64E+06	2.65E+06
SPO0142	Beta-ketothiolase	1.10E+07	1.08E+07	1.09E+07
SPO0143	Iron-sulfur cluster-binding protein	116612	86017.3	83422.5
SPO0144	2-polyprenylphenol 6-hydroxylase (EC 1.14.13.-)	4.11E+06	4.13E+06	4.30E+06
