Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250307\250308_-N+C_ML_I.raw	I:\Fadime\250307\250308_-N+C_ML_II.raw	I:\Fadime\250307\250308_-N+C_ML_III.raw
SPO0284	SPO0284				5.83E+06	5.73E+06	5.79E+06
SPO0285	SPO0285				3.55E+06	3.54E+06	3.72E+06
SPO0286	SPO0286				3.21E+06	3.41E+06	3.19E+06
SPO0287	SPO0287				3.10E+06	3.11E+06	3.17E+06
SPO0288	SPO0288				2.01E+06	2.10E+06	1.95E+06
SPO0289	SPO0289				2.75E+06	2.64E+06	2.67E+06
SPO0290	SPO0290					29716.4	29235
SPO0291	SPO0291				6.38E+06	6.60E+06	6.37E+06
SPO0292	SPO0292				1.32E+06	1.30E+06	1.31E+06
SPO0293	SPO0293				539082	554783	550205
SPO0294	SPO0294				804262	767513	838638
SPO0295	SPO0295				2.32E+06	2.28E+06	2.18E+06
SPO0296	SPO0296				4.56E+06	4.61E+06	4.40E+06
SPO0297	SPO0297				3.55E+06	3.56E+06	3.57E+06
SPO0298	SPO0298				5.67E+06	5.68E+06	5.56E+06
SPO0299	SPO0299				2.53E+06	2.55E+06	2.46E+06
SPO0300	SPO0300				5.45E+06	5.39E+06	5.08E+06
SPO0301	SPO0301				801381	780040	788078
SPO0302	SPO0302				476837	397732	448921
SPO0303	SPO0303				82703.4	90201.3	86950.4
SPO0304	SPO0304				9.36E+06	9.43E+06	9.43E+06
SPO0305	SPO0305				670981	582458	529664
SPO0306	SPO0306				2.41E+06	2.36E+06	2.34E+06
SPO0307	SPO0307				1.67E+06	1.71E+06	1.61E+06
SPO0308	SPO0308				2.67E+06	2.79E+06	2.62E+06
SPO0309	SPO0309				721813	778479	776338
SPO0310	SPO0310				1.51E+06	1.58E+06	1.42E+06
SPO0311	SPO0311				5.38E+06	5.67E+06	5.57E+06
SPO0312	SPO0312				5.38E+06	5.19E+06	4.63E+06
SPO0313	SPO0313				1.30E+06	1.30E+06	1.24E+06
SPO0314	SPO0314				500130	465040	448539
SPO0315	SPO0315				1.34E+06	1.28E+06	1.49E+06
SPO0316	SPO0316				1.73E+07	1.69E+07	1.75E+07
SPO0317	SPO0317				8.83E+06	8.88E+06	8.49E+06
SPO0318	SPO0318				1.05E+06	1.06E+06	1.09E+06
SPO0319	SPO0319				8.47E+06	7.97E+06	8.20E+06
SPO0320	SPO0320				1.38E+06	1.64E+06	1.60E+06
SPO0321	SPO0321				1.20E+06	1.19E+06	1.20E+06
SPO0322	SPO0322				2.10E+07	2.18E+07	2.06E+07
SPO0324	SPO0324				446478	432037	435280
SPO0325	SPO0325				1.18E+08	1.12E+08	1.16E+08
SPO0326	SPO0326				9.90E+07	9.31E+07	9.68E+07
SPO0327	SPO0327					522267	383405
SPO0328	SPO0328				89995.7	55106.6	44566.2
SPO0329	SPO0329				680479	731398	657913
SPO0330	SPO0330				269111	71790.8	124877
SPO0331	SPO0331				4.16E+06	4.43E+06	4.19E+06
SPO0332	SPO0332				1.57E+07	1.53E+07	1.57E+07
SPO0334	SPO0334				4.41E+06	4.45E+06	4.37E+06
SPO0335	SPO0335				1.53E+06	1.56E+06	1.52E+06
SPO0336	SPO0336				6.09E+06	6.30E+06	6.11E+06
SPO0337	SPO0337				1.83E+06	1.75E+06	1.76E+06
SPO0338	SPO0338				2.36E+06	2.21E+06	2.16E+06
SPO0339	SPO0339				3.64E+06	3.39E+06	3.42E+06
SPO0340	SPO0340				1.60E+07	1.51E+07	1.52E+07
SPO0342	SPO0342				779360	767890	821083
SPO0343	SPO0343				1.86E+07	1.87E+07	1.97E+07
SPO0344	SPO0344				8.19E+06	8.13E+06	8.27E+06
SPO0344a	SPO0344a				1.55E+06	1.57E+06	1.48E+06
SPO0345	SPO0345				789909	806071	800958
SPO0346	SPO0346				3.43E+07	3.39E+07	3.30E+07
SPO0346a	SPO0346a				2.53E+06	2.71E+06	2.70E+06
SPO0347	SPO0347				3.60E+07	3.71E+07	3.50E+07
SPO0348	SPO0348				1.82E+06	1.78E+06	1.91E+06
SPO0349	SPO0349				9.68E+07	9.68E+07	9.45E+07
SPO0352	SPO0352				7.70E+06	7.07E+06	6.90E+06
SPO0353	SPO0353				984672	845819	1.12E+06
SPO0354	SPO0354				426723	416026	386985
SPO0355	SPO0355				1.47E+07	1.46E+07	1.46E+07
SPO0356	SPO0356				489444	513988	505043
SPO0357	SPO0357				105264	135329	96231.9
SPO0358	SPO0358				761252	571869	809731
SPO0359	SPO0359				1.01E+06	1.06E+06	1.21E+06
SPO0360	SPO0360				2.69E+07	2.75E+07	2.79E+07
SPO0360a	SPO0360a				1.33E+07	1.24E+07	1.34E+07
SPO0361	SPO0361				1.02E+07	9.57E+06	1.01E+07
SPO0362	SPO0362				2.16E+06	2.24E+06	2.08E+06
SPO0365	SPO0365				1.67E+06	1.65E+06	1.56E+06
SPO0366	SPO0366				2.34E+06	2.35E+06	2.56E+06
SPO0367	SPO0367				2.41E+07	2.38E+07	2.22E+07
SPO0368	SPO0368				5.40E+06	5.28E+06	5.10E+06
SPO0369	SPO0369				1.19E+06	1.24E+06	1.33E+06
SPO0370	SPO0370				1.63E+07	1.62E+07	1.67E+07
SPO0371	SPO0371				858136	845840	835076
SPO0372	SPO0372				173980	168587	180811
SPO0373	SPO0373				2.40E+06	2.42E+06	2.35E+06
SPO0374	SPO0374				1.40E+06	1.57E+06	1.46E+06
SPO0375	SPO0375				432335	323385	301511
SPO0376	SPO0376				3.63E+06	3.78E+06	3.97E+06
SPO0377	SPO0377				464251	304586	496189
SPO0378	SPO0378				2.76E+06	2.83E+06	2.74E+06
SPO0379	SPO0379				2.38E+07	2.41E+07	2.32E+07
SPO0380	SPO0380					24778.8	22515.2
SPO0381	SPO0381				899496	862980	797869
SPO0382	SPO0382				1.16E+07	1.23E+07	1.16E+07
SPO0383	SPO0383				73295.8	74968.8	87222.6
SPO0384	SPO0384				334683	321065	341784
SPO0385	SPO0385				1.53E+06	1.56E+06	1.55E+06
SPO0386	SPO0386				4.27E+06	3.95E+06	3.82E+06
SPO0387	SPO0387				311611	262365	327318
SPO0388	SPO0388				9.98E+06	1.01E+07	9.82E+06
SPO0389	SPO0389				2.34E+06	2.12E+06	2.08E+06
SPO0390	SPO0390				2.55E+07	2.63E+07	2.69E+07
SPO0391	SPO0391				914878	982916	882214
SPO0392	SPO0392				2.00E+07	2.02E+07	2.00E+07
SPO0393	SPO0393				1.20E+06	1.07E+06	1.26E+06
SPO0395	SPO0395				939845	957005	940906
SPO0396	SPO0396				205016	219000	262722
SPO0397	SPO0397				2.19E+06	2.17E+06	2.20E+06
SPO0398	SPO0398				3.13E+07	3.25E+07	3.19E+07
SPO0399	SPO0399				1.47E+06	1.49E+06	1.47E+06
SPO0400	SPO0400				105881	94015.9	89788.6
SPO0401	SPO0401				1.17E+07	1.10E+07	1.12E+07
SPO0402	SPO0402				495931	473464	490447
SPO0403	SPO0403				6.82E+06	6.50E+06	7.02E+06
SPO0404	SPO0404				1.01E+06	1.01E+06	1.03E+06
SPO0405	SPO0405				784786	727164	827347
SPO0406	SPO0406				130910	151330	138787
SPO0407	SPO0407				751202	734431	709205
SPO0408	SPO0408				5.08E+06	5.29E+06	5.10E+06
SPO0409	SPO0409				4.99E+06	5.08E+06	4.80E+06
SPO0410	SPO0410				1.07E+06	995653	981632
SPO0411	SPO0411				142485	147321	150530
SPO0412	SPO0412				1.01E+07	1.02E+07	9.28E+06
SPO0413	SPO0413				592297	574828	535453
SPO0414	SPO0414				8.55E+06	8.88E+06	8.69E+06
SPO0415	SPO0415				4.91E+06	4.82E+06	4.89E+06
SPO0416	SPO0416				592092	631436	705570
SPO0417	SPO0417				1.59E+06	1.67E+06	1.61E+06
SPO0418	SPO0418				562515	603791	547376
SPO0419	SPO0419				2.27E+06	2.44E+06	2.27E+06
SPO0420	SPO0420				1.58E+07	1.54E+07	1.60E+07
SPO0421	SPO0421				970660	1.03E+06	983758
SPO0422	SPO0422				1.25E+07	1.26E+07	1.24E+07
SPO0423	SPO0423				320395	284683	347135
SPO0424	SPO0424				110767	103877	99806
SPO0425	SPO0425				2.04E+06	1.91E+06	2.05E+06
SPO0426	SPO0426				5.12E+06	5.25E+06	5.04E+06
SPO0428	SPO0428				1.45E+06	1.49E+06	1.44E+06
SPO0429	SPO0429				1.30E+06	1.24E+06	1.29E+06
SPO0430	SPO0430				7.46E+06	7.51E+06	7.49E+06
SPO0431	SPO0431				764185	793685	746742
SPO0432	SPO0432				612171	651989	625699
SPO0433	SPO0433				642517	634523	700344
SPO0434	SPO0434				1.29E+06	1.34E+06	1.29E+06
SPO0435	SPO0435				943826	907130	757171
SPO0436	SPO0436				562737	548721	576318
SPO0437	SPO0437				2.76E+07	3.04E+07	2.76E+07
SPO0438	SPO0438				3.05E+06	3.08E+06	3.19E+06
SPO0440	SPO0440				3.17E+06	3.04E+06	3.01E+06
SPO0442	SPO0442				727089	827510	815473
SPO0445	SPO0445				30705.9	138389	61265.7
SPO0446	SPO0446				1.99E+07	2.04E+07	2.01E+07
SPO0447	SPO0447						
SPO0448	SPO0448				256152	231589	210533
SPO0449	SPO0449				934850	965132	993854
SPO0450	SPO0450						
SPO0451	SPO0451				1.39E+06	1.39E+06	1.42E+06
SPO0452	SPO0452				665430	584731	685035
SPO0454	SPO0454				2.12E+06	2.21E+06	2.21E+06
SPO0455	SPO0455				9.55E+06	9.42E+06	9.67E+06
SPO0456	SPO0456				1.74E+06	2.07E+06	1.99E+06
SPO0457	SPO0457				169145	142525	147308
SPO0459	SPO0459				114004	106325	97790.1
SPO0460	SPO0460				234358	199837	419779
SPO0461	SPO0461				4.18E+06	4.12E+06	4.07E+06
SPO0462	SPO0462				5.34E+06	5.22E+06	5.13E+06
SPO0463	SPO0463				3.67E+06	3.92E+06	3.78E+06
SPO0464	SPO0464				1.01E+06	996049	922894
SPO0465	SPO0465				231631	211478	220035
SPO0466	SPO0466				568041	500719	542752
SPO0467	SPO0467				444373	462639	459686
SPO0468	SPO0468				599650	570720	525564
SPO0469	SPO0469				179528	168822	167876
SPO0470	SPO0470				288081	325083	307820
SPO0471	SPO0471				470925	417886	467167
SPO0472	SPO0472				200886	225124	211854
SPO0473	SPO0473				202343	203356	189919
SPO0474	SPO0474				652711	649267	604758
SPO0475	SPO0475				1.29E+06	1.21E+06	1.13E+06
SPO0476	SPO0476				1.91E+06	1.89E+06	1.89E+06
SPO0477	SPO0477				403987	383320	362669
SPO0478	SPO0478				124228	105522	91724.2
SPO0479	SPO0479				440912	116660	125833
SPO0481	SPO0481				2.89E+06	2.77E+06	2.80E+06
SPO0482	SPO0482				1.50E+07	1.51E+07	1.45E+07
SPO0483	SPO0483				855177	950094	837679
SPO0484	SPO0484				8.50E+07	8.33E+07	8.35E+07
SPO0485	SPO0485				7.23E+07	7.06E+07	7.55E+07
SPO0486	SPO0486				5.62E+07	5.57E+07	5.95E+07
SPO0487	SPO0487				1.44E+08	1.41E+08	1.46E+08
SPO0488	SPO0488				6.85E+07	7.16E+07	7.40E+07
SPO0490	SPO0490				2.99E+06	619609	
SPO0491	SPO0491				5.29E+06	5.06E+06	4.92E+06
SPO0491a	SPO0491a				2.65E+06	2.68E+06	2.80E+06
SPO0492	SPO0492				123167	149285	170935
SPO0493	SPO0493				8.48E+06	8.17E+06	7.97E+06
SPO0494	SPO0494				2.18E+07	2.02E+07	2.02E+07
SPO0495	SPO0495				4.25E+07	4.13E+07	4.31E+07
SPO0496	SPO0496				8.86E+07	9.10E+07	8.52E+07
SPO0497	SPO0497				6.48E+07	6.52E+07	6.66E+07
SPO0498	SPO0498				1.28E+08	1.25E+08	1.26E+08
SPO0499	SPO0499				8.44E+07	8.20E+07	8.14E+07
SPO0500	SPO0500				3.79E+07	3.99E+07	4.06E+07
SPO0501	SPO0501				1.14E+08	1.14E+08	1.09E+08
SPO0502	SPO0502				9.44E+07	9.46E+07	9.38E+07
SPO0503	SPO0503				8.93E+07	9.49E+07	9.39E+07
SPO0504	SPO0504				3.07E+07	3.07E+07	3.02E+07
SPO0504a	SPO0504a				5.44E+06	5.66E+06	5.03E+06
SPO0505	SPO0505				6.87E+07	6.84E+07	7.14E+07
SPO0506	SPO0506				6.78E+06	6.83E+06	6.28E+06
SPO0507	SPO0507				8.92E+06	8.83E+06	8.61E+06
SPO0508	SPO0508				1.49E+06	1.48E+06	1.35E+06
SPO0509	SPO0509				1.25E+08	1.13E+08	1.16E+08
SPO0510	SPO0510				6.04E+07	6.13E+07	6.04E+07
SPO0511	SPO0511				4.82E+07	4.73E+07	4.81E+07
SPO0512	SPO0512				4.64E+07	4.50E+07	5.06E+07
SPO0513	SPO0513				816239	722055	697591
SPO0514	SPO0514				4.74E+06	4.71E+06	4.75E+06
SPO0515	SPO0515				869742	846541	840332
SPO0516	SPO0516				5.05E+06	5.19E+06	5.13E+06
SPO0517	SPO0517				1.79E+06	1.94E+06	2.04E+06
SPO0518	SPO0518				4.07E+06	3.97E+06	3.82E+06
SPO0519	SPO0519				1.11E+08	1.08E+08	1.01E+08
SPO0520	SPO0520				8.31E+06	8.18E+06	8.94E+06
SPO0521	SPO0521				4.79E+06	4.38E+06	4.78E+06
SPO0522	SPO0522				2.22E+07	2.23E+07	2.22E+07
SPO0523	SPO0523				3.35E+06	3.51E+06	3.55E+06
SPO0524	SPO0524				1.34E+06	1.21E+06	1.21E+06
SPO0525	SPO0525				77694.6	81256.3	79297
SPO0526	SPO0526				8.40E+06	8.48E+06	8.47E+06
SPO0527	SPO0527				5.03E+06	4.88E+06	4.82E+06
SPO0528	SPO0528				6.17E+07	6.27E+07	6.31E+07
SPO0530	SPO0530				3.15E+06	3.28E+06	3.11E+06
SPO0531	SPO0531				3.96E+06	3.98E+06	3.69E+06
SPO0532	SPO0532				1.17E+07	1.13E+07	1.20E+07
SPO0533	SPO0533				45306.7	66545.1	43477.3
SPO0534	SPO0534				1.64E+06	1.66E+06	1.64E+06
SPO0535	SPO0535				306062	313249	319018
SPO0536	SPO0536				826173	802148	829917
SPO0537	SPO0537				937828	904594	848224
SPO0538	SPO0538				7.29E+07	7.25E+07	7.30E+07
SPO0539	SPO0539				332366	338939	349609
SPO0540	SPO0540				879869	889171	897816
SPO0541	SPO0541				1.93E+06	1.94E+06	1.95E+06
SPO0543	SPO0543				536234	550851	519816
SPO0544	SPO0544				215204	171359	192343
SPO0545	SPO0545				2.30E+06	2.18E+06	2.24E+06
SPO0546	SPO0546				529415	464010	445205
SPO0547	SPO0547				69616.8		39825
SPO0549	SPO0549				1.16E+06	1.09E+06	1.11E+06
SPO0550	SPO0550				1.51E+06	1.42E+06	1.44E+06
SPO0551	SPO0551				1.14E+06	1.13E+06	1.13E+06
SPO0552	SPO0552				1.45E+06	1.43E+06	1.40E+06
SPO0553	SPO0553				1.04E+06	1.04E+06	1.01E+06
SPO0554	SPO0554				2.31E+06	2.24E+06	2.21E+06
SPO0555	SPO0555				3.47E+06	3.57E+06	3.59E+06
SPO0556	SPO0556				2.18E+06	2.23E+06	2.16E+06
SPO0557	SPO0557				2.49E+06	2.44E+06	2.75E+06
SPO0558	SPO0558				1.93E+06	1.86E+06	1.86E+06
SPO0559	SPO0559				283084	1.04E+06	302318
SPO0560	SPO0560				5.54E+06	5.54E+06	5.59E+06
SPO0561	SPO0561				2.57E+06	2.62E+06	2.62E+06
SPO0562	SPO0562				4.70E+06	4.95E+06	4.80E+06
SPO0563	SPO0563				2.68E+06	2.78E+06	2.68E+06
SPO0564	SPO0564				610073	625460	631705
SPO0565	SPO0565				207447	207949	207970
SPO0566	SPO0566				523738	483758	557896
SPO0567	SPO0567				1.56E+06	1.65E+06	1.61E+06
SPO0568	SPO0568				5.41E+06	5.40E+06	5.28E+06
SPO0569	SPO0569				634397	576202	564650
SPO0570	SPO0570				215526	261203	242428
SPO0571	SPO0571				480900	528811	465260
SPO0572	SPO0572				501274	518405	495252
SPO0573	SPO0573				36884.2	55388.6	58924.7
SPO0574	SPO0574				1.76E+06	1.78E+06	1.82E+06
SPO0575	SPO0575				2.40E+06	2.31E+06	2.29E+06
SPO0576	SPO0576				986344	999127	956593
SPO0577	SPO0577				720464	740362	699610
SPO0578	SPO0578				686161	677062	637086
SPO0579	SPO0579				843263	839060	782120
SPO0580	SPO0580				3.52E+06	3.64E+06	3.46E+06
SPO0581	SPO0581				2.07E+06	2.15E+06	2.03E+06
SPO0582	SPO0582				8.36E+06	8.53E+06	8.13E+06
SPO0583	SPO0583				510321	513555	507940
SPO0584	SPO0584				3.49E+06	3.68E+06	3.56E+06
SPO0585	SPO0585				2.71E+06	2.75E+06	2.70E+06
SPO0586	SPO0586				3.76E+06	3.70E+06	3.59E+06
SPO0587	SPO0587				1.04E+06	999817	987401
SPO0588	SPO0588				522241	483176	499055
SPO0589	SPO0589				236055	216822	237224
SPO0590	SPO0590				635158	626218	608795
SPO0591	SPO0591				254619	254948	210892
SPO0594	SPO0594				125754	125771	116997
SPO0595	SPO0595				62163.9	57475.6	58527.8
SPO0596	SPO0596				322838	307278	316711
SPO0597	SPO0597				289969	255061	261251
SPO0599	SPO0599				6.94E+06	6.88E+06	6.68E+06
SPO0600	SPO0600				3.09E+06	3.03E+06	2.91E+06
SPO0601	SPO0601				1.92E+07	1.79E+07	1.85E+07
SPO0602	SPO0602				1.97E+06	1.90E+06	1.97E+06
SPO0603	SPO0603				268324	317879	380104
SPO0605	SPO0605				456333	422334	454313
SPO0606	SPO0606				200613	163113	187012
SPO0607	SPO0607				584871	567872	615572
SPO0608	SPO0608				2.35E+07	2.30E+07	2.28E+07
SPO0609	SPO0609				3.56E+06	3.52E+06	3.37E+06
SPO0610	SPO0610				1.01E+07	1.03E+07	1.13E+07
SPO0611	SPO0611				3.47E+06	4.91E+06	4.15E+06
SPO0612	SPO0612				1.31E+06	1.23E+06	1.37E+06
SPO0613	SPO0613				1.95E+06	1.88E+06	1.90E+06
SPO0614	SPO0614				606124	583598	587793
SPO0615	SPO0615				489995	398132	417975
SPO0616	SPO0616				6.39E+06	6.64E+06	6.23E+06
SPO0618	SPO0618				555657	447994	384700
SPO0621	SPO0621				249219	231236	235428
SPO0624	SPO0624				625710	633694	553220
SPO0628a	SPO0628a				1.30E+06	1.17E+06	1.22E+06
SPO0629	SPO0629				164154	144596	152587
SPO0631	SPO0631				2.62E+06	2.55E+06	2.58E+06
SPO0632	SPO0632				1.28E+07	1.30E+07	1.36E+07
SPO0633	SPO0633				8.95E+06	8.51E+06	8.73E+06
SPO0634	SPO0634				1.94E+06	2.00E+06	1.94E+06
SPO0635	SPO0635				2.28E+06	2.19E+06	2.23E+06
SPO0636	SPO0636				42232.8		
SPO0638	SPO0638				532491	524082	437179
SPO0639	SPO0639				439812	448340	444737
SPO0640	SPO0640				205497	186658	191918
SPO0641	SPO0641				666119	638334	623443
SPO0642	SPO0642				2.04E+06	2.03E+06	2.03E+06
SPO0643	SPO0643				4.55E+06	4.57E+06	4.46E+06
SPO0644	SPO0644				1.34E+07	1.31E+07	1.22E+07
SPO0645	SPO0645				3.63E+06	3.69E+06	3.62E+06
SPO0646	SPO0646				12619.8		
SPO0647	SPO0647				10836.1	10940.8	13638.3
SPO0648	SPO0648				3.50E+07	3.51E+07	3.38E+07
SPO0649	SPO0649				795378	685196	749371
SPO0650	SPO0650				864316	816367	968549
SPO0651	SPO0651				3.02E+06	2.94E+06	2.89E+06
SPO0652	SPO0652				442045	468018	441419
SPO0653	SPO0653				551548	564061	578557
SPO0654	SPO0654				627673	604416	656224
SPO0655	SPO0655						18825.1
SPO0656	SPO0656				2.58E+06	2.58E+06	2.61E+06
SPO0657	SPO0657				47339.9	57829.9	57254.1
SPO0658	SPO0658				1.16E+06	1.27E+06	1.22E+06
SPO0659	SPO0659				541047	494605	517576
SPO0660	SPO0660				1.16E+06	1.13E+06	1.14E+06
SPO0663	SPO0663					47176	93233.7
SPO0664	SPO0664				205689	210825	238051
SPO0665	SPO0665				357321	272010	327068
SPO0666	SPO0666				342068	342719	312536
SPO0667	SPO0667				1.01E+07	1.05E+07	1.00E+07
SPO0668	SPO0668				6.32E+06	6.20E+06	6.14E+06
SPO0669	SPO0669				4.93E+06	5.34E+06	5.14E+06
SPO0670	SPO0670				261478	271730	319215
SPO0671	SPO0671				191351	190763	199102
SPO0672	SPO0672				443072	408434	378463
SPO0673	SPO0673				9.58E+06	9.63E+06	9.88E+06
SPO0674	SPO0674				1.56E+06	1.44E+06	1.47E+06
SPO0675	SPO0675				774779	791984	725948
SPO0676	SPO0676				380301	361634	340408
SPO0677	SPO0677				1.23E+06	1.21E+06	1.28E+06
SPO0678	SPO0678				1.08E+06	1.12E+06	1.11E+06
SPO0679	SPO0679				4.48E+06	4.30E+06	4.17E+06
SPO0680	SPO0680				7.97E+06	7.42E+06	7.52E+06
SPO0681	SPO0681				197475	212953	197409
SPO0682	SPO0682				1.10E+07	1.09E+07	1.11E+07
SPO0683	SPO0683				3.10E+07	2.97E+07	3.04E+07
SPO0684	SPO0684				1.60E+06	1.66E+06	1.63E+06
SPO0685	SPO0685				1.66E+07	1.69E+07	1.69E+07
SPO0686	SPO0686				1.79E+07	1.77E+07	1.78E+07
SPO0687	SPO0687				1.95E+06	2.02E+06	2.04E+06
SPO0688	SPO0688				2.82E+06	2.67E+06	2.76E+06
SPO0689	SPO0689				5.80E+06	5.94E+06	6.02E+06
SPO0690	SPO0690				663132	702632	624711
SPO0691	SPO0691				6.17E+06	6.08E+06	6.22E+06
SPO0692	SPO0692				578728	518842	528120
SPO0693	SPO0693				1.48E+07	1.53E+07	1.49E+07
SPO0694	SPO0694				321431	272330	278151
SPO0695	SPO0695						
SPO0697	SPO0697				3.07E+06	3.02E+06	2.89E+06
SPO0699	SPO0699				202025	203305	204204
SPO0700	SPO0700				601089	594585	555369
SPO0701	SPO0701				5.58E+07	5.42E+07	5.52E+07
SPO0702	SPO0702				1.06E+06	1.06E+06	997199
SPO0703	SPO0703				714742	737059	685057
SPO0704	SPO0704				844757	852192	781256
SPO0705	SPO0705				876505	926994	990430
SPO0706	SPO0706				1.88E+07	1.94E+07	1.93E+07
SPO0707	SPO0707				1.69E+06	1.60E+06	1.54E+06
SPO0708	SPO0708				145449	132960	147418
SPO0709	SPO0709				3.48E+07	3.40E+07	3.48E+07
SPO0710	SPO0710				6.99E+06	6.99E+06	6.84E+06
SPO0711	SPO0711				4.90E+06	5.09E+06	4.91E+06
SPO0712	SPO0712				930955	929092	936163
SPO0713	SPO0713				2.74E+06	2.92E+06	2.74E+06
SPO0714	SPO0714				2.64E+06	2.64E+06	2.67E+06
SPO0715	SPO0715				136350	170024	185693
SPO0716	SPO0716				5.06E+06	5.28E+06	5.24E+06
SPO0717	SPO0717				1.09E+07	1.08E+07	1.05E+07
SPO0718	SPO0718				52583		91628.9
SPO0719	SPO0719				4.36E+07	4.24E+07	4.18E+07
SPO0720	SPO0720				8.46E+07	8.72E+07	8.38E+07
SPO0721	SPO0721				131246	144012	143345
SPO0722	SPO0722				1.23E+07	1.23E+07	1.14E+07
SPO0724	SPO0724				1.64E+06	1.57E+06	1.44E+06
SPO0725	SPO0725				410330	365058	393999
SPO0726	SPO0726				6.30E+06	6.01E+06	6.15E+06
SPO0727	SPO0727				5.40E+06	5.32E+06	5.46E+06
SPO0728	SPO0728				2.70E+08	2.57E+08	2.55E+08
SPO0729	SPO0729				3.05E+06	2.99E+06	3.15E+06
SPO0731	SPO0731				7.49E+06	7.69E+06	7.63E+06
SPO0732	SPO0732				2.00E+07	2.05E+07	2.06E+07
SPO0733	SPO0733				1.56E+06	1.43E+06	1.51E+06
SPO0734	SPO0734				2.31E+06	2.35E+06	2.26E+06
SPO0735	SPO0735				1.59E+07	1.60E+07	1.65E+07
SPO0736	SPO0736				3.36E+06	3.47E+06	3.81E+06
SPO0738	SPO0738				1.80E+07	1.83E+07	1.80E+07
SPO0739	SPO0739				2.69E+06	2.82E+06	2.65E+06
SPO0740	SPO0740				7.38E+06	7.55E+06	7.40E+06
SPO0741	SPO0741				1.19E+06	1.10E+06	1.17E+06
SPO0742	SPO0742				6.32E+06	6.42E+06	6.37E+06
SPO0743	SPO0743				2.60E+06	2.46E+06	2.45E+06
SPO0744	SPO0744				180349	177397	189081
SPO0745	SPO0745				512238	438838	461628
SPO0746	SPO0746				1.14E+06	1.19E+06	1.23E+06
SPO0747	SPO0747				80620.2	90296	72750
SPO0750	SPO0750				198017	209943	198445
SPO0751	SPO0751				939653	927000	913830
SPO0752	SPO0752				3.42E+07	3.59E+07	3.62E+07
SPO0753	SPO0753				7.67E+06	7.32E+06	8.01E+06
SPO0754	SPO0754				5.20E+06	5.12E+06	5.15E+06
SPO0755	SPO0755				1.96E+07	1.93E+07	1.99E+07
SPO0756	SPO0756				1.85E+07	1.77E+07	1.83E+07
SPO0757	SPO0757				1.77E+07	1.70E+07	1.71E+07
SPO0758	SPO0758				2.84E+07	2.84E+07	2.83E+07
SPO0759	SPO0759				683978	800276	769607
SPO0760	SPO0760				84744.8	114716	112586
SPO0761	SPO0761				1.05E+06	967938	1.08E+06
SPO0762	SPO0762				1.26E+06	1.29E+06	1.34E+06
SPO0763	SPO0763				1.11E+06	1.15E+06	1.17E+06
SPO0764	SPO0764				1.07E+06	1.07E+06	1.10E+06
SPO0765	SPO0765				1.03E+06	987843	961665
SPO0766	SPO0766				321020	335522	339122
SPO0767	SPO0767				8.41E+06	8.29E+06	8.25E+06
SPO0768	SPO0768				1.96E+06	2.02E+06	1.86E+06
SPO0769	SPO0769				1.28E+07	1.25E+07	1.20E+07
SPO0770	SPO0770				642890	579293	643555
SPO0771	SPO0771				1.89E+06	1.91E+06	1.99E+06
SPO0772	SPO0772				4.75E+06	4.80E+06	4.74E+06
SPO0773	SPO0773				1.61E+07	1.62E+07	1.63E+07
SPO0774	SPO0774				1.63E+06	1.60E+06	1.64E+06
SPO0775	SPO0775				1.97E+06	1.88E+06	1.85E+06
SPO0776	SPO0776				568303	537152	497847
SPO0777	SPO0777				1.35E+06	1.39E+06	1.34E+06
SPO0778	SPO0778				798730	831201	797095
SPO0779	SPO0779				7.86E+06	8.50E+06	8.32E+06
SPO0781	SPO0781					27034.7	
SPO0785	SPO0785				2.34E+06	2.33E+06	2.24E+06
SPO0786	SPO0786				4.82E+06	4.77E+06	4.63E+06
SPO0787	SPO0787				989090	942844	902985
SPO0788	SPO0788				92339.8	131526	135013
SPO0789	SPO0789					28402.4	
SPO0790	SPO0790						
SPO0791	SPO0791				5.71E+06	5.44E+06	5.80E+06
SPO0792	SPO0792				1.56E+07	1.46E+07	1.55E+07
SPO0793	SPO0793				246385	283460	278334
SPO0794	SPO0794				929309	867694	902485
SPO0795	SPO0795						2.02E+06
SPO0796	SPO0796				146863	157645	180702
SPO0798	SPO0798				220469	218516	241761
SPO0799	SPO0799				362264	388617	409300
SPO0800	SPO0800				215240	223705	213695
SPO0801	SPO0801				652029	647035	628012
SPO0802	SPO0802				7.80E+07	8.02E+07	7.88E+07
SPO0803	SPO0803				235288	263329	243636
SPO0804	SPO0804				6.23E+06	6.71E+06	6.85E+06
SPO0805	SPO0805				608081	487420	689732
SPO0806	SPO0806				2.15E+06	2.08E+06	2.13E+06
SPO0808	SPO0808				1.38E+07	1.28E+07	1.31E+07
SPO0809	SPO0809				858827	748753	732043
SPO0810	SPO0810				4.72E+06	4.77E+06	4.88E+06
SPO0811	SPO0811				3.16E+06	3.14E+06	3.16E+06
SPO0812	SPO0812				1.41E+08	1.42E+08	1.40E+08
SPO0813	SPO0813				5.70E+06	5.79E+06	5.66E+06
SPO0814	SPO0814				2.56E+06	2.63E+06	2.72E+06
SPO0815	SPO0815				1.54E+07	1.69E+07	1.59E+07
SPO0816	SPO0816				143432	121027	152549
