Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250307\250308_-N+C_ML_I.raw	I:\Fadime\250307\250308_-N+C_ML_II.raw	I:\Fadime\250307\250308_-N+C_ML_III.raw
SPO1916	SPO1916				1.42E+07	1.40E+07	1.44E+07
SPO1917	SPO1917				298319	292669	279538
SPO1918	SPO1918				1.31E+06	1.31E+06	1.34E+06
SPO1920	SPO1920				5.15E+06	5.00E+06	5.34E+06
SPO1921	SPO1921				1.34E+07	1.37E+07	1.34E+07
SPO1922	SPO1922				1.72E+06	1.72E+06	1.84E+06
SPO1923	SPO1923				3.65E+06	3.59E+06	3.55E+06
SPO1925	SPO1925				3.86E+06	3.59E+06	3.65E+06
SPO1926	SPO1926				2.52E+06	2.40E+06	2.44E+06
SPO1927	SPO1927				184954	170322	169770
SPO1928	SPO1928				581990	588022	541436
SPO1929	SPO1929				2.12E+06	2.19E+06	2.16E+06
SPO1930	SPO1930				9.11E+06	8.92E+06	8.76E+06
SPO1932	SPO1932				6.33E+06	6.07E+06	6.30E+06
SPO1933	SPO1933				6.81E+06	5.63E+06	5.66E+06
SPO1934	SPO1934				5.26E+06	5.15E+06	5.06E+06
SPO1935	SPO1935				733806	681226	693570
SPO1936	SPO1936				811279	790533	912284
SPO1937	SPO1937				2.74E+06	2.81E+06	2.76E+06
SPO1938	SPO1938				1.31E+06	1.23E+06	1.35E+06
SPO1939	SPO1939				3.23E+07	2.99E+07	2.97E+07
SPO1940	SPO1940				461327	472433	424629
SPO1941	SPO1941				2.45E+06	2.44E+06	2.35E+06
SPO1942	SPO1942				1.73E+07	1.72E+07	1.66E+07
SPO1943	SPO1943				385964	368932	389671
SPO1944	SPO1944				3.13E+06	3.02E+06	2.87E+06
SPO1945	SPO1945				3.71E+06	3.50E+06	3.64E+06
SPO1946	SPO1946				6.33E+06	5.77E+06	6.18E+06
SPO1947	SPO1947				1.64E+06	1.71E+06	1.60E+06
SPO1948	SPO1948				2.94E+06	2.81E+06	2.69E+06
SPO1949	SPO1949				1.63E+06	1.62E+06	1.66E+06
SPO1950	SPO1950				1.06E+06	1.05E+06	988553
SPO1951	SPO1951				1.92E+06	1.86E+06	1.84E+06
SPO1952	SPO1952				3.14E+06	3.17E+06	3.13E+06
SPO1953	SPO1953				1.41E+06	1.41E+06	1.51E+06
SPO1954	SPO1954				468646	449970	424202
SPO1955	SPO1955				2.35E+07	2.19E+07	2.41E+07
SPO1956	SPO1956				75796.3	93520.6	103161
SPO1957	SPO1957				3.28E+06	3.43E+06	2.99E+06
SPO1958	SPO1958				730038	727182	777984
SPO1959	SPO1959				1.76E+06	1.68E+06	1.66E+06
SPO1960	SPO1960				1.25E+06	1.26E+06	1.24E+06
SPO1961	SPO1961				536828	504029	487706
SPO1962	SPO1962				2.78E+06	2.52E+06	2.75E+06
SPO1963	SPO1963				1.34E+06	1.46E+06	1.39E+06
SPO1964	SPO1964				2.73E+06	2.44E+06	2.65E+06
SPO1965	SPO1965				8.34E+06	8.18E+06	7.97E+06
SPO1966	SPO1966				3.01E+06	2.92E+06	2.80E+06
SPO1967	SPO1967				1.91E+06	1.96E+06	2.02E+06
SPO1968	SPO1968				1.13E+06	1.06E+06	1.08E+06
SPO1969	SPO1969				2.20E+06	2.29E+06	2.32E+06
SPO1970	SPO1970				2.46E+06	2.58E+06	2.59E+06
SPO1971	SPO1971				2.61E+06	2.71E+06	2.71E+06
SPO1972	SPO1972				2.66E+06	2.76E+06	2.63E+06
SPO1973	SPO1973				829912	870124	781563
SPO1974	SPO1974				615477	632915	635216
SPO1975	SPO1975				8.95E+07	8.85E+07	8.96E+07
SPO1976	SPO1976				1.48E+08	1.49E+08	1.52E+08
SPO1977	SPO1977				829891	868804	841098
SPO1978	SPO1978				1.13E+06	1.14E+06	1.13E+06
SPO1979	SPO1979				1.22E+06	1.19E+06	1.12E+06
SPO1980	SPO1980				2.35E+06	2.41E+06	2.26E+06
SPO1982	SPO1982				482528	577315	477859
SPO1983	SPO1983				2.96E+06	2.88E+06	2.92E+06
SPO1984	SPO1984				9.21E+06	9.43E+06	8.94E+06
SPO1985	SPO1985				2.09E+06	2.09E+06	2.04E+06
SPO1986	SPO1986				4.50E+06	4.43E+06	4.31E+06
SPO1987	SPO1987				3.87E+06	3.83E+06	3.85E+06
SPO1988	SPO1988				143616	157255	108976
SPO1989	SPO1989				7.82E+07	7.31E+07	7.47E+07
SPO1990	SPO1990				1.06E+08	1.05E+08	1.05E+08
SPO1991	SPO1991				697284	731566	701782
SPO1992	SPO1992				1.61E+06	1.60E+06	1.56E+06
