Accession Number	Annotation	1	2	3
SPO0028	"ABC transporter, transmembrane ATP-binding protein"	682588	753609	787391
SPO0029	23S rRNA (Uracil-5-)-methyltransferase rumA (EC 2.1.1.-)	1.58E+06	1.40E+06	1.54E+06
SPO0030	Voltage-gated sodium channel	1.83E+06	2.99E+06	2.92E+06
SPO0031	ErfK/YbiS/YcfS/YnhG family protein	1.51E+06	1.72E+06	1.70E+06
SPO0033	"Transcriptional regulator, LysR family"	215303	217872	196717
SPO0034	Nodulation protein NodH	2.13E+06	2.49E+06	2.49E+06
SPO0035	Peptide O-xylosyltransferase	1.13E+06	1.14E+06	1.07E+06
SPO0036	"Glycosyl transferase, group 2 family protein"	1.05E+06	1.07E+06	1.12E+06
SPO0037	"Glycosyl transferase, group 2 family protein"	580800	538091	529913
SPO0038	3-deoxy-D-manno-octulosonate cytidylyltransferase (EC 2.7.7.38)	3.57E+06	5.14E+06	4.90E+06
SPO0039	"3'(2'),5'-bisphosphate nucleotidase CysQ (EC 3.1.3.7) (3'(2'),5-bisphosphonucleoside 3'(2')-phosphohydrolase) (3'-phosphoadenosine 5'-phosphate phosphatase) (PAP phosphatase)"	7.44E+06	7.49E+06	7.31E+06
SPO0040	"ABC transporter, permease protein"	145090	265797	197569
SPO0041	SH3b domain-containing protein	1.27E+06	1.30E+06	1.49E+06
SPO0042	"Alkylated DNA repair protein, putative"	1.73E+06	1.29E+06	1.32E+06
SPO0043	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)	5.45E+07	6.46E+07	6.70E+07
SPO0044	Chaperone protein DnaJ	2.40E+07	1.82E+07	1.88E+07
SPO0045	hydroxymethylpyrimidine kinase (EC 2.7.1.49)	729108	662878	673708
SPO0046	D-amino-acid oxidase (EC 1.4.3.3)	360912	325622	339947
SPO0046a	Unknown			136747
SPO0047	Thiazole synthase (EC 2.8.1.10)	299883	353351	370752
SPO0048	Thiamine-phosphate synthase (EC 2.5.1.3) (Thiamine-phosphate pyrophosphorylase)	280476	364000	313964
SPO0049	Thiamine biosynthesis protein ThiF	94041.3	123110	88457
SPO0050	"ABC transporter, periplasmic substrate-binding protein"	5.06E+06	5.97E+06	6.16E+06
SPO0051	Aminopyrimidine aminohydrolase (EC 3.5.99.2)	413941	489079	455636
SPO0052	"ABC transporter, ATP-binding protein"	223837	199408	181796
SPO0053	"ABC transporter, permease protein"	317655	336078	315418
SPO0054	UPF0758 protein SPO0054	2.16E+06	2.43E+06	2.61E+06
SPO0055	OmpA domain protein	2.12E+06	1.95E+06	1.93E+06
SPO0056	Translocase	44456	109468	61588.9
SPO0057	Protein translocase subunit SecA 1 (EC 7.4.2.8)	1.58E+07	1.68E+07	1.72E+07
SPO0058	Parvulin-like PPIase (Peptidyl-prolyl cis-trans isomerase plp) (Rotamase plp)	9.88E+06	1.60E+07	1.60E+07
SPO0059	Arginine biosynthesis bifunctional protein ArgJ [Cleaved into: Arginine biosynthesis bifunctional protein ArgJ alpha chain; Arginine biosynthesis bifunctional protein ArgJ beta chain] [Includes: Glutamate N-acetyltransferase (EC 2.3.1.35) (Ornithine acetyltransferase) (OATase) (Ornithine transacetylase); Amino-acid acetyltransferase (EC 2.3.1.1) (N-acetylglutamate synthase) (AGSase)]	1.34E+07	1.30E+07	1.40E+07
SPO0060	"8-oxo-dGTP diphosphatase (EC 3.6.1.55) (7,8-dihydro-8-oxoguanine-triphosphatase) (Mutator protein MutT) (dGTP pyrophosphohydrolase)"	1.11E+06	1.69E+06	1.64E+06
SPO0061	Translation initiation factor IF-2	3.84E+07	3.91E+07	3.83E+07
SPO0062	YlxR domain-containing protein	4.14E+06	3.52E+06	3.61E+06
SPO0063	Transcription termination/antitermination protein NusA	2.30E+07	2.59E+07	2.57E+07
SPO0064	Ribosome maturation factor RimP	876479	1.94E+06	2.18E+06
SPO0066	Proline iminopeptidase (PIP) (EC 3.4.11.5) (Prolyl aminopeptidase)	4.88E+06	4.65E+06	4.81E+06
SPO0067	Ubiquinone biosynthesis O-methyltransferase (2-polyprenyl-6-hydroxyphenol methylase) (EC 2.1.1.222) (3-demethylubiquinone 3-O-methyltransferase) (EC 2.1.1.64)	2.72E+06	3.60E+06	3.64E+06
SPO0068	"Transcriptional regulator, putative"	2.01E+06	1.90E+06	1.80E+06
SPO0069	"Hydrolase, carbon-nitrogen family"	2.05E+06	2.23E+06	2.16E+06
SPO0070	Glutaredoxin	2.03E+06	1.43E+06	1.37E+06
SPO0071	"Competence protein F, putative"	1.16E+06	983976	1.00E+06
SPO0072	Methyltransferase type 11 domain-containing protein	594763	663245	692890
SPO0073	Ferrochelatase (EC 4.98.1.1) (Heme synthase) (Protoheme ferro-lyase)	2.96E+06	2.45E+06	2.77E+06
SPO0075	ErfK/YbiS/YcfS/YnhG family protein/Tat domain protein	1.63E+07	1.36E+07	1.34E+07
SPO0076	"Lipoprotein, putative"	2.10E+07	1.71E+07	1.75E+07
SPO0077	PTS IIA-like nitrogen-regulatory protein PtsN	4.89E+06	6.61E+06	5.71E+06
SPO0078	Ribosome hibernation promoting factor (HPF)	3.74E+07	2.98E+07	3.27E+07
SPO0079	Lipopolysaccharide export system ATP-binding protein LptB	3.18E+06	3.09E+06	3.05E+06
SPO0080	Organic solvent tolerance-like N-terminal domain-containing protein	1.73E+06	2.76E+06	2.99E+06
SPO0081	Lipopolysaccharide export system protein LptC	1.11E+06	1.05E+06	1.08E+06
SPO0082	Arabinose 5-phosphate isomerase (EC 5.3.1.13)	7.71E+06	7.91E+06	8.28E+06
SPO0083	"Exonuclease, putative"	3.71E+06	3.63E+06	3.74E+06
SPO0084	betaine-aldehyde dehydrogenase (EC 1.2.1.8)	2.62E+06	2.48E+06	2.67E+06
SPO0085	Uncharacterized protein	233593	54459.2	91749.5
SPO0086	"Lipoprotein, putative"	980320	1.47E+06	1.50E+06
SPO0087	Porin domain-containing protein	3.54E+06	4.97E+06	4.81E+06
SPO0088	Cytochrome c domain-containing protein	1.13E+06	839738	960454
SPO0089	Imelysin-like domain-containing protein	142014	141889	114406
SPO0090	Twin-arginine translocation pathway signal	516082	571409	392805
SPO0091	tRNA uridine(34) hydroxylase (EC 1.14.-.-) (tRNA hydroxylation protein O)	737872	758350	740681
SPO0092	"Heat shock protein, Hsp70 family"	1.18E+06	1.22E+06	1.17E+06
SPO0093	nicotinamidase (EC 3.5.1.19) (Nicotinamide deamidase)	1.26E+06	1.75E+06	1.74E+06
SPO0094	histidine kinase (EC 2.7.13.3)	455640	470303	474184
SPO0095	Nicotinate phosphoribosyltransferase (NAPRTase) (EC 6.3.4.21)	3.86E+06	3.92E+06	3.83E+06
SPO0096	"Membrane protein, putative"	31625	58703.6	61468.5
SPO0097	Aldehyde dehydrogenase family protein	7.19E+06	7.68E+06	7.23E+06
SPO0098	"Peptide/opine/nickel uptake family ABC transporter, ATP-binding protein"	1.31E+06	1.11E+06	1.09E+06
SPO0099	"Peptide/opine/nickel uptake family ABC transporter, permease protein"	1.65E+06	2.26E+06	2.05E+06
SPO0100	"Peptide/opine/nickel uptake family ABC transporter, permease protein"	519112	920719	847906
SPO0101	"Peptide/opine/nickel uptake family ABC transporter, periplasmic substrate-binding protein"	8.02E+06	1.21E+07	1.30E+07
SPO0102	3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11) (Ketopantoate hydroxymethyltransferase) (KPHMT)	6.04E+06	4.59E+06	4.78E+06
SPO0103	Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme)	5.24E+06	5.48E+06	5.67E+06
SPO0104	Glycerol kinase (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase) (Glycerokinase) (GK)	7.28E+06	7.42E+06	7.38E+06
SPO0105	Monooxygenase family protein	2.09E+06	2.07E+06	2.08E+06
SPO0106	UPF0246 protein SPO0106	6.24E+06	5.09E+06	5.43E+06
SPO0107	DNA helicase RecQ (EC 5.6.2.4)	895982	987875	1.02E+06
SPO0109	"Membrane protein, putative"	2.01E+06	2.95E+06	2.74E+06
SPO0110	"ABC transporter, ATP binding/permease protein"	3.75E+06	3.80E+06	3.80E+06
SPO0111	Membrane fusion protein biotin-lipoyl like domain-containing protein	1.44E+07	1.64E+07	1.60E+07
SPO0112	Poly(3-hydroxyalkanoate) polymerase family protein	8.07E+06	7.73E+06	7.86E+06
SPO0113	Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)	3.81E+06	3.90E+06	4.33E+06
SPO0114	Uncharacterized protein
SPO0115	MaoC family protein/phosphate acetyl/butaryl transferase	1.52E+07	1.46E+07	1.55E+07
SPO0116	Acetate kinase (EC 2.7.2.1) (Acetokinase)	4.06E+06	3.93E+06	4.19E+06
SPO0118	DUF4274 domain-containing protein			28019.3
SPO0119	"Transcriptional regulator, AsnC family"	552422	494968	498278
SPO0120	"Membrane protein, putative"	70101.9
SPO0122	YGGT family protein	570478	592035	699887
SPO0123	"Membrane protein, putative"	1.11E+06	1.16E+06	1.05E+06
SPO0124	Murein endopeptidase	1.47E+07	1.12E+07	1.11E+07
SPO0125	Phytase-like domain-containing protein	1.64E+06	1.98E+06	1.88E+06
SPO0126	Probable queuosine precursor transporter (Q precursor transporter)	421861	1.56E+06	1.44E+06
SPO0127	Peptidyl-tRNA hydrolase domain protein	1.25E+06	1.20E+06	1.26E+06
SPO0128	"Oxidoreductase, short chain dehydrogenase/reductase family"	1.09E+07	8.95E+06	9.02E+06
SPO0129	"Peptidase, T4 family"	1.45E+06	1.90E+06	1.83E+06
SPO0130	Cytochrome c family protein	3.29E+07	3.46E+07	3.33E+07
SPO0131	Isopentenyl-diphosphate Delta-isomerase (IPP isomerase) (EC 5.3.3.2) (IPP:DMAPP isomerase) (Isopentenyl pyrophosphate isomerase)	2.16E+06	2.58E+06	2.53E+06
SPO0132	histidine kinase (EC 2.7.13.3)	145970	97521.8	109808
SPO0133	PAN domain protein	6.07E+06	5.66E+06	5.56E+06
SPO0134	Glycolipid-binding domain-containing protein	1.32E+06	1.60E+06	1.56E+06
SPO0135	Penicillin-binding protein 1C	305556	258446	256485
SPO0136	Glutamine amidotransferase domain-containing protein	2.66E+06	2.84E+06	2.91E+06
SPO0137	N-terminal double-transmembrane domain protein	1.55E+06	1.62E+06	1.60E+06
SPO0138	DUF58 domain-containing protein	1.23E+06	1.04E+06	962977
SPO0139	"ATPase, MoxR family"	5.18E+06	4.95E+06	4.78E+06
SPO0140	Proteophosphoglycan	1.83E+06	1.72E+06	1.79E+06
SPO0141	"DNA binding protein, putative"	2.53E+06	2.12E+06	2.18E+06
SPO0142	Beta-ketothiolase	7.87E+06	7.60E+06	7.74E+06
SPO0143	Iron-sulfur cluster-binding protein			56184.3
SPO0144	2-polyprenylphenol 6-hydroxylase (EC 1.14.13.-)	3.19E+06	3.37E+06	3.36E+06
SPO0145	"Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE (EC 2.1.1.163) (EC 2.1.1.201) (2-methoxy-6-polyprenyl-1,4-benzoquinol methylase) (Demethylmenaquinone methyltransferase)"	4.23E+06	4.47E+06	4.57E+06
SPO0146	Formamidopyrimidine-DNA glycosylase (Fapy-DNA glycosylase) (EC 3.2.2.23) (DNA-(apurinic or apyrimidinic site) lyase MutM) (AP lyase MutM) (EC 4.2.99.18)	2.71E+06	2.54E+06	2.56E+06
SPO0147	Enoyl-CoA hydratase (EC 4.2.1.17)	3.65E+07	3.64E+07	3.63E+07
SPO0148	Small ribosomal subunit protein bS20 (30S ribosomal protein S20)	5.52E+07	3.26E+07	3.39E+07
SPO0149	Chromosomal replication initiator protein DnaA	1.36E+06	1.35E+06	1.20E+06
SPO0150	Beta sliding clamp	2.98E+07	2.95E+07	2.94E+07
SPO0151	DNA replication and repair protein RecF	673722	683704	703134
SPO0153	"Transcriptional regulator, TetR family"	86518.7	271193	307816
SPO0154	"NAD(P)H dehydrogenase, quinone family"	1.65E+06	1.31E+06	1.35E+06
SPO0155	DNA gyrase subunit B (EC 5.6.2.2)	1.13E+07	1.28E+07	1.26E+07
SPO0156	Transcriptional regulator RtcR	512897	491129	498962
SPO0157	TROVE domain protein	415700	290685	316785
SPO0160	3'-phosphate/5'-hydroxy nucleic acid ligase (EC 6.5.1.8)	481042	495586	513058
SPO0161	"DNA-binding response regulator, LuxR family"	2.05E+06	1.79E+06	1.97E+06
SPO0162	Oxidoreductase molybdopterin-binding domain-containing protein	5.07E+06	6.66E+06	6.98E+06
SPO0163	Polar-differentiation response regulator DivK (EC 2.7.13.3)	995325	1.34E+06	1.28E+06
SPO0164	"Oxidoreductase, FMN-binding/pyridine nucleotide-disulfide oxidoreductase"	1.10E+06	1.10E+06	1.03E+06
SPO0165	"Pyrroline-5-carboxylate reductase, putative"	88527.6	102803	84004.9
SPO0166	"N-methylproline demethylase, putative"	1.81E+06	1.70E+06	1.74E+06
SPO0167	Methyltransferase (EC 2.1.1.-)	885049	941595	1.02E+06
SPO0168	"Transcriptional regulator, TetR family"	212570	293605	303345
SPO0170	Flagellar biosynthesis protein FlhA	228240	283488	184360
SPO0174	Flagellar basal body-associated protein FliL	516561	617512	820652
SPO0175	Flagellar L-ring protein (Basal body L-ring protein)	629192	535346	640985
SPO0177	Flagellar basal-body rod protein FlgG (Distal rod protein)	183480	210125	236990
SPO0178	Flagellar basal-body rod protein FlgF	93484.8	113315	76829.1
SPO0180	Flagellar hook-basal body complex protein FliE	26701.3		51201.9
SPO0181	Flagellar basal-body rod protein FlgC	1.33E+06	1.39E+06	999315
SPO0182	Flagellar basal-body rod protein FlgB	120978	73238.8	78690.2
SPO0183	"H+-transporting two-sector ATPase, flagellum-specific (EC 3.6.3.14)"	642115	724162	726063
SPO0184	"Membrane protein, putative"	1.17E+06	1.02E+06	951031
SPO0185	"Membrane protein, putative"	1.03E+06	1.02E+06	1.04E+06
SPO0186	Bordetella uptake gene family protein	4.10E+06	7.26E+06	7.24E+06
SPO0187	DNA-binding response regulator	1.18E+06	1.08E+06	1.14E+06
SPO0188	histidine kinase (EC 2.7.13.3)	335518	436363	403654
SPO0189	ABC transporter substrate-binding protein	715117	1.03E+06	1.01E+06
SPO0190	"Oxidoreductase, GMC family"	2.37E+06	1.89E+06	1.95E+06
SPO0191	Chemotaxis protein MotB	280330	190050	174438
SPO0192	Flagellar hook protein FlgE	442921	390626	457255
SPO0193	Flagellar hook-associated protein 1	224131	223863	304955
SPO0194	Flagellar hook-associated protein FlgL family protein	213359	167749	146421
SPO0195	Flagellar P-ring protein (Basal body P-ring protein)	97429.6	151522	134259
SPO0197	Flagellar motor switch protein FliN	306843	402563	491010
SPO0198	"ABC transporter, ATP-binding protein, flagellar, putative"	69862.8	123722	131167
SPO0199	Flagellar M-ring protein	652692	510535	486477
SPO0200	Flagellar protein FliL	997318	955112	1.01E+06
SPO0201	DUF6468 domain-containing protein	261394	394537	436724
SPO0202	Magnesium transporter MgtE intracellular domain-containing protein	257782	171201	221917
SPO0203	Chemotaxis protein MotA	351081	474274	461719
SPO0204	Lipoprotein	674243	479130	507032
SPO0205	MmgE/PrpD family protein		145529	430835
SPO0206	"Transcriptional regulator, LysR family"	1.51E+06	1.30E+06	1.26E+06
SPO0207	Aminomethyl transferase family protein	429945	448334	442477
SPO0209	Na/Pi-cotransporter family protein	1.06E+06	1.13E+06	1.06E+06
SPO0210	3-isopropylmalate dehydrogenase (EC 1.1.1.85) (3-IPM-DH) (Beta-IPM dehydrogenase) (IMDH)	4.53E+07	4.03E+07	4.13E+07
SPO0211	"Transcriptional regulator, LysR family"	224564	153537	136060
SPO0212	Uncharacterized protein	1.05E+06	685647	709848
SPO0213	Endonuclease/exonuclease/phosphatase domain-containing protein	259155	217340	251841
SPO0214	"Membrane protein, putative"	183128	188637	166664
SPO0215	3-isopropylmalate dehydratase small subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)	1.59E+07	1.43E+07	1.52E+07
SPO0216	3-isopropylmalate dehydratase large subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)	5.67E+07	4.96E+07	5.05E+07
SPO0218	Mechanosensitive ion channel family protein	374309	647202	660887
SPO0219	Ribosomal silencing factor RsfS	3.89E+06	6.99E+06	7.25E+06
SPO0220	Ribosomal RNA large subunit methyltransferase H (EC 2.1.1.177) (23S rRNA (pseudouridine1915-N3)-methyltransferase) (23S rRNA m3Psi1915 methyltransferase) (rRNA (pseudouridine-N3-)-methyltransferase RlmH)	2.70E+06	2.25E+06	2.30E+06
SPO0221	NADPH-dependent FMN reductase-like domain-containing protein	1.04E+06	1.10E+06	1.12E+06
SPO0222	Alanine dehydrogenase (EC 1.4.1.1)	8.77E+07	6.69E+07	6.99E+07
SPO0223	"Transcriptional regulator, AsnC family"	970266	1.01E+06	930020
SPO0224	NDP-polyphosphate phosphotransferase 1 (EC 2.7.4.-) (Polyphosphate kinase PPK2 1) (RpPPK2-1)	2.50E+06	2.47E+06	2.51E+06
SPO0225	"Transcriptional regulator, putative"	386687	334967	354299
SPO0226	Cytochrome P450 family protein	663328	605990	624439
SPO0227	"PaxA, putative"	1.20E+06	1.66E+06	1.41E+06
SPO0229	Small ribosomal subunit protein bS21 (30S ribosomal protein S21)	7.88E+07	2.10E+07	1.84E+07
SPO0230	COQ9 C-terminal domain-containing protein	3.88E+06	4.46E+06	4.56E+06
SPO0231	"Alcohol dehydrogenase, zinc-containing"	1.90E+07	1.91E+07	2.00E+07
SPO0232	"Quinone oxidoreductase, putative"	5.83E+06	5.01E+06	5.08E+06
SPO0233	"Transcriptional regulator, AsnC family"	923764	953266	987906
SPO0234	Lysine dehydrogenase	322642	171094	221115
SPO0235	aldehyde dehydrogenase (NAD(+)) (EC 1.2.1.3)	1.12E+06	960359	907093
SPO0236	"Glycerophosphoryl diester phosphodiesterase, putative"	852827	846427	853012
SPO0237	sn-glycerol-3-phosphate import ATP-binding protein UgpC (EC 7.6.2.10)	1.04E+06	1.05E+06	992766
SPO0238	sn-glycerol-3-phosphate transport system permease protein UgpE		477004
SPO0239	sn-glycerol-3-phosphate transport system permease protein UgpA		428110	325881
SPO0240	"SN-glycerol-3-phosphate ABC transporter, periplasmic SN-glycerol-3-phosphate-binding protein"	2.92E+06	3.46E+06	3.78E+06
SPO0241	"Transcriptional regulator, LysR family"	500866	489017	479361
SPO0247	1-deoxy-D-xylulose-5-phosphate synthase (EC 2.2.1.7) (1-deoxyxylulose-5-phosphate synthase) (DXP synthase) (DXPS)	5.48E+06	4.67E+06	4.64E+06
SPO0248	Farnesyl diphosphate synthase (EC 2.5.1.10)	3.81E+06	3.24E+06	3.31E+06
SPO0249	Exodeoxyribonuclease 7 small subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII small subunit) (Exonuclease VII small subunit)	49367.2		78776.6
SPO0250	Histone deacetylase family protein	1.94E+06	2.22E+06	2.49E+06
SPO0251	DNA-binding response regulator PetR	4.78E+06	4.30E+06	4.19E+06
SPO0252	Transcriptional regulator PetP	1.30E+06	1.66E+06	1.52E+06
SPO0253	Branched-chain-amino-acid aminotransferase (BCAT) (EC 2.6.1.42)	9.47E+06	9.69E+06	9.82E+06
SPO0254	Organic hydroperoxide resistance protein	1.74E+07	1.88E+07	2.09E+07
SPO0255	"Transcriptional regulator, MarR family"	291529	289080	305814
SPO0257	DUF4142 domain-containing protein		67307.3
SPO0258	"Transcriptional regulator, AraC family"	995684	1.35E+06	1.35E+06
SPO0260	"Alkaline phosphatase, putative"	1.06E+06	1.04E+06	1.02E+06
SPO0261	"Membrane protein, putative"		173601
SPO0262	"Corrinoid adenosyltransferase (EC 2.5.1.17) (Cob(II)alamin adenosyltransferase) (Cob(II)yrinic acid a,c-diamide adenosyltransferase)"	1.35E+07	1.40E+07	1.46E+07
SPO0264	CaiB/BaiF family protein	1.71E+07	1.62E+07	1.64E+07
SPO0265	Auxin efflux carrier family protein	10583.7	9186.75	28313
SPO0266	HD domain protein	995201	925863	944307
SPO0267	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	7.32E+06	5.50E+06	5.76E+06
SPO0268	"6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)"	1.57E+06	3.15E+06	2.91E+06
SPO0269	Negative transcriptional regulator	1.06E+06	863976	929997
SPO0270	Glutathione S-transferase family protein	6.73E+06	7.70E+06	7.44E+06
SPO0271	Ubiquinol-cytochrome c reductase iron-sulfur subunit (EC 7.1.1.8)	3.66E+07	4.31E+07	4.50E+07
SPO0272	Cytochrome b	7.73E+06	6.11E+06	5.96E+06
SPO0273	Cytochrome c1	1.46E+07	1.90E+07	1.74E+07
SPO0274	PepSY domain-containing protein			57452
SPO0276	"Transcriptional regulator, LuxR family"	612861	886286	880482
SPO0277	MiaB-like tRNA modifying enzyme	1.42E+06	1.27E+06	1.30E+06
SPO0278	Diaminopimelate epimerase (DAP epimerase) (EC 5.1.1.7) (PLP-independent amino acid racemase)	2.69E+06	2.55E+06	2.82E+06
SPO0281	YHS domain protein	308071	621186	710567
SPO0282	Peptide methionine sulfoxide reductase	430521	387501	395520
SPO0283	Glycerol-3-phosphate acyltransferase (Acyl-PO4 G3P acyltransferase) (Acyl-phosphate--glycerol-3-phosphate acyltransferase) (G3P acyltransferase) (GPAT) (EC 2.3.1.275) (Lysophosphatidic acid synthase) (LPA synthase)	3.06E+06	3.29E+06	3.15E+06
SPO0284	"Dihydroorotase, multifunctional complex type (EC 3.5.2.3)"	5.45E+06	5.16E+06	5.05E+06
SPO0285	Lipoprotein	2.37E+06	3.16E+06	3.11E+06
SPO0286	Aspartate carbamoyltransferase catalytic subunit	2.34E+06	2.63E+06	2.77E+06
SPO0287	Aspartate carbamoyltransferase catalytic subunit (EC 2.1.3.2) (Aspartate transcarbamylase) (ATCase)	2.97E+06	2.81E+06	2.82E+06
SPO0288	Type-4 uracil-DNA glycosylase (EC 3.2.2.27)	2.11E+06	2.31E+06	2.46E+06
SPO0289	Ser/Thr protein phosphatase family protein	2.65E+06	2.59E+06	2.87E+06
SPO0290	Transmembrane amino acid efflux protein	202393	162469	163329
SPO0291	Molybdenum cofactor biosynthesis protein B	6.86E+06	7.11E+06	7.23E+06
SPO0292	"Efflux transporter, RND family, MFP subunit"	1.68E+06	1.72E+06	1.71E+06
SPO0293	"Transporter, AcrB/AcrD/AcrF family"	657942	728484	734362
SPO0294	"Hydrolase, NUDIX family"	604810	1.19E+06	1.11E+06
SPO0295	Thiol:disulfide interchange protein DsbD N-terminal domain-containing protein	2.50E+06	2.24E+06	2.27E+06
SPO0296	UPF0301 protein SPO0296	4.47E+06	5.00E+06	5.09E+06
SPO0297	Threonylcarbamoyl-AMP synthase (TC-AMP synthase) (EC 2.7.7.87) (L-threonylcarbamoyladenylate synthase)	5.12E+06	3.99E+06	3.98E+06
SPO0298	Acyl-CoA dehydrogenase family protein	5.97E+06	6.46E+06	6.41E+06
SPO0299	Metallo-beta-lactamase family protein	2.84E+06	2.05E+06	2.22E+06
SPO0300	Uncharacterized protein	5.42E+06	7.44E+06	7.56E+06
SPO0301	Glycerophosphoryl diester phosphodiesterase family protein	771168	1.12E+06	1.11E+06
SPO0302	Phospholipase A2	524714	644157	597440
SPO0303	"Cytochrome c oxidase, subunit IV domain protein"			30121.8
SPO0304	"Lipoprotein, putative"	9.00E+06	9.18E+06	9.51E+06
SPO0305	AzlC family protein	549383	706199	831352
SPO0306	Sulfur carrier protein FdhD	2.60E+06	3.14E+06	3.24E+06
SPO0307	Molybdenum cofactor guanylyltransferase (MoCo guanylyltransferase) (EC 2.7.7.77) (GTP:molybdopterin guanylyltransferase) (Mo-MPT guanylyltransferase) (Molybdopterin guanylyltransferase) (Molybdopterin-guanine dinucleotide synthase) (MGD synthase)	1.99E+06	1.97E+06	1.94E+06
SPO0308	Molybdopterin-guanine dinucleotide biosynthesis protein B	3.60E+06	3.47E+06	3.65E+06
SPO0309	Molybdopterin guanine dinucleotide synthesis	1.06E+06	785053	775986
SPO0310	Molybdopterin molybdenumtransferase (EC 2.10.1.1)	2.25E+06	2.03E+06	2.00E+06
SPO0311	Uncharacterized protein	7.40E+06	6.26E+06	6.21E+06
SPO0312	Transcription elongation factor GreA (Transcript cleavage factor GreA)	3.13E+06	7.19E+06	7.59E+06
SPO0313	Glyoxalase family protein	398330	588461	502845
SPO0314	Redox-sensitive transcriptional activator SoxR	317561	358441	335449
SPO0315	EthD domain-containing protein	840364	1.65E+06	1.83E+06
SPO0316	Electron transfer flavoprotein-ubiquinone oxidoreductase (ETF-QO) (EC 1.5.5.1)	1.55E+07	1.24E+07	1.34E+07
SPO0317	TPR domain protein	2.99E+06	4.62E+06	4.38E+06
SPO0318	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (CMK) (EC 2.7.1.148) (4-(cytidine-5'-diphospho)-2-C-methyl-D-erythritol kinase)	1.14E+06	949488	921899
