Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250206_Fadime_DSS3_ProMM_Sec_ML_1.raw	I:\Fadime\250206_Fadime_DSS3_ProMM_Sec_ML_2.raw	I:\Fadime\250206_Fadime_DSS3_ProMM_Sec_ML_3.raw
SPO2444	SPO2444				2.99E+07	1.57E+07	3.91E+07
SPO2445	SPO2445						
SPO2446	SPO2446						
SPO2447	SPO2447						
SPO2448	SPO2448						
SPO2449	SPO2449						89402.2
SPO2450	SPO2450					321290	
SPO2451	SPO2451						
SPO2452	SPO2452						
SPO2453	SPO2453				9.34E+06	7.59E+06	1.14E+07
SPO2454	SPO2454						
SPO2455	SPO2455				106553	477360	
SPO2456	SPO2456				707363	915374	680425
SPO2457	SPO2457				5.36E+07		
SPO2458	SPO2458						
SPO2459	SPO2459				3.99E+07	2.43E+07	5.02E+07
SPO2460	SPO2460						
SPO2461	SPO2461						
SPO2462	SPO2462						
SPO2463	SPO2463						
SPO2464	SPO2464				2.74E+07	2.38E+07	2.65E+07
SPO2465	SPO2465						
SPO2466	SPO2466				1.25E+07	1.34E+07	2.01E+07
SPO2467	SPO2467						2.59E+06
SPO2468	SPO2468				115694	142094	467287
SPO2469	SPO2469				212425	277837	354614
SPO2470	SPO2470					147072	
SPO2471	SPO2471						
SPO2473	SPO2473						
SPO2474	SPO2474				1.48E+06	1.53E+06	3.81E+06
SPO2475	SPO2475						
SPO2476	SPO2476				3.57E+07	3.26E+07	2.96E+07
SPO2477	SPO2477				65446.1		
SPO2478	SPO2478						
SPO2479	SPO2479				311369	579331	282671
SPO2480	SPO2480					1.56E+06	
SPO2482	SPO2482				183645	36682	
SPO2483	SPO2483				1.80E+06		
SPO2484	SPO2484				662109	1.13E+06	257969
SPO2486	SPO2486						
SPO2487	SPO2487				763732	1.48E+06	643781
SPO2488	SPO2488						540816
SPO2489	SPO2489						
SPO2490	SPO2490				2.44E+06	3.49E+06	3.00E+06
SPO2491	SPO2491						2.11E+06
SPO2492	SPO2492				7.01E+06	9.88E+06	5.81E+06
SPO2493	SPO2493						
SPO2494	SPO2494				480382	448001	345980
SPO2495	SPO2495				1.34E+06	1.44E+06	606603
SPO2496	SPO2496				3.73E+06	822740	84354.5
SPO2498	SPO2498						
SPO2499	SPO2499				2.28E+06	2.15E+06	1.75E+06
SPO2500	SPO2500						
SPO2501	SPO2501						
SPO2502	SPO2502						
SPO2503	SPO2503				358700	1.84E+06	672171
SPO2504	SPO2504				147746	360786	366414
SPO2505	SPO2505						
SPO2506	SPO2506				31941.8	85879.2	94756.9
SPO2507	SPO2507						
SPO2509	SPO2509				1.13E+07	1.15E+07	1.07E+07
SPO2510	SPO2510						
SPO2511	SPO2511				457963	461304	501990
SPO2512	SPO2512					83853	
SPO2513	SPO2513				1.77E+06	1.66E+06	2.21E+06
SPO2515	SPO2515				3.38E+06		
SPO2516	SPO2516				99900.3		
SPO2517	SPO2517				75407.3		
SPO2518	SPO2518						
SPO2519	SPO2519						
SPO2520	SPO2520						
SPO2521	SPO2521				685490	526329	919671
SPO2522	SPO2522						
SPO2523	SPO2523						
SPO2524	SPO2524						
SPO2527	SPO2527				2.38E+06	2.68E+06	3.41E+06
SPO2528	SPO2528						
SPO2529	SPO2529				232426	146498	
SPO2530	SPO2530						
SPO2532	SPO2532						
SPO2533	SPO2533						
SPO2534	SPO2534				1.23E+06	1.37E+06	1.18E+06
SPO2535	SPO2535						
SPO2536	SPO2536						
SPO2538	SPO2538						
SPO2539	SPO2539						
SPO2540	SPO2540						
SPO2541	SPO2541					1.82E+06	
SPO2543	SPO2543						
SPO2544	SPO2544						
SPO2545	SPO2545						
SPO2548	SPO2548						
SPO2549	SPO2549						
SPO2550	SPO2550						
SPO2551	SPO2551					87893.3	
SPO2552	SPO2552				1.13E+07		
SPO2553	SPO2553						
SPO2554	SPO2554				4.43E+06	4.32E+06	4.85E+06
SPO2555	SPO2555						
SPO2556	SPO2556						
SPO2559	SPO2559						
SPO2560	SPO2560						
SPO2561	SPO2561				143498	7.87E+06	443931
SPO2562	SPO2562				778385	1.61E+06	837268
SPO2563	SPO2563				4.43E+06	5.41E+06	5.00E+06
SPO2565	SPO2565						9.53E+06
SPO2566	SPO2566						
SPO2567	SPO2567				280354	807628	1.20E+06
SPO2568	SPO2568						
SPO2569	SPO2569						
SPO2570	SPO2570				1.24E+06	1.41E+06	2.18E+06
SPO2571	SPO2571						4.78E+06
SPO2572	SPO2572						
SPO2573	SPO2573				2.00E+09	1.67E+09	2.26E+09
SPO2574	SPO2574						
SPO2575	SPO2575						
SPO2576	SPO2576						
SPO2577	SPO2577						
SPO2578	SPO2578				127854		
SPO2579	SPO2579						116288
SPO2580	SPO2580						
SPO2581	SPO2581						
SPO2582	SPO2582						
SPO2583	SPO2583					2.40E+06	3.47E+06
SPO2584	SPO2584						
SPO2585	SPO2585				1.16E+06	899253	3.36E+06
SPO2587	SPO2587				335754	980130	4.74E+06
SPO2588	SPO2588						
SPO2589	SPO2589				1.00E+07	377003	1.63E+07
SPO2590	SPO2590					113350	6.23E+06
SPO2591	SPO2591				6.30E+06	6.27E+06	6.09E+06
SPO2592	SPO2592						
SPO2594	SPO2594					267959	
SPO2595	SPO2595				1.45E+06	1.09E+06	2.29E+06
SPO2596	SPO2596						6.55E+06
SPO2597	SPO2597				162098	228065	290611
SPO2598	SPO2598					1.59E+07	1.46E+07
SPO2601	SPO2601						
SPO2602	SPO2602						
SPO2603	SPO2603						
SPO2604	SPO2604						
SPO2605	SPO2605						
SPO2606	SPO2606				1.06E+08	1.24E+08	1.23E+08
SPO2607	SPO2607						
SPO2608	SPO2608					8.47E+07	311009
SPO2609	SPO2609				1.75E+06	1.67E+06	2.47E+06
SPO2610	SPO2610				1.28E+06	913626	891017
SPO2612	SPO2612				5.78E+06	8.89E+06	1.17E+07
SPO2613	SPO2613				332710	5.82E+06	501300
SPO2614	SPO2614						
SPO2615	SPO2615				1.75E+06	1.88E+06	3.18E+06
SPO2616	SPO2616				132168	120893	224032
SPO2617	SPO2617					941229	555083
SPO2618	SPO2618					47977.5	
SPO2619	SPO2619						
SPO2620	SPO2620						
SPO2621	SPO2621				3.90E+06	3.59E+06	4.31E+06
SPO2622	SPO2622						
SPO2624	SPO2624						
SPO2625	SPO2625						
SPO2626	SPO2626						
SPO2627	SPO2627						
SPO2628	SPO2628				6.36E+07	6.93E+07	5.01E+07
SPO2629	SPO2629				6.48E+06		
SPO2630	SPO2630						
SPO2631	SPO2631					105483	
SPO2632	SPO2632						
SPO2633	SPO2633						1.56E+06
SPO2634	SPO2634				3.60E+07	5.33E+07	7.46E+06
SPO2635	SPO2635						
SPO2636	SPO2636						
SPO2637	SPO2637				1.45E+07	2.06E+07	1.37E+07
SPO2638	SPO2638				843867	636762	1.57E+06
SPO2639	SPO2639						
SPO2640	SPO2640						
SPO2643	SPO2643				228459	300550	
SPO2644	SPO2644						
SPO2645	SPO2645				9.05E+06	8.53E+06	1.00E+07
SPO2646	SPO2646						
SPO2647	SPO2647						
SPO2648	SPO2648						
SPO2649	SPO2649						
SPO2650	SPO2650				5.21E+07	2.83E+07	1.70E+08
SPO2651	SPO2651					16743	
SPO2652	SPO2652						
SPO2652a	SPO2652a						
SPO2653	SPO2653				3.77E+07	4.30E+07	3.89E+07
SPO2654	SPO2654				107830		178631
SPO2655	SPO2655				592752	285630	661229
SPO2656	SPO2656						
SPO2657	SPO2657						
SPO2658	SPO2658				3.66E+06	3.81E+06	4.45E+06
SPO2659	SPO2659						
SPO2660	SPO2660						
SPO2661	SPO2661						
SPO2662	SPO2662						
SPO2666	SPO2666						
SPO2668	SPO2668						
SPO2669	SPO2669						
SPO2670	SPO2670				1.09E+06	885303	870340
SPO2671	SPO2671						
SPO2672	SPO2672					8.34E+06	
SPO2673	SPO2673				2.64E+06	1.27E+07	1.12E+07
SPO2674	SPO2674						1.93E+07
SPO2675	SPO2675						
SPO2676	SPO2676						
SPO2677	SPO2677						
SPO2678	SPO2678					309934	629546
SPO2679	SPO2679						
SPO2680	SPO2680					138440	
SPO2681	SPO2681						
SPO2682	SPO2682				936538	1.12E+06	1.51E+06
SPO2683	SPO2683				9.02E+06	1.60E+07	1.29E+07
SPO2684	SPO2684						
SPO2685	SPO2685						
SPO2686	SPO2686				1.04E+07	1.33E+07	8.49E+06
SPO2687	SPO2687						
SPO2688	SPO2688				187172	118341	151447
SPO2689	SPO2689						
SPO2690	SPO2690						
SPO2691	SPO2691						
SPO2692	SPO2692					210857	320640
SPO2693	SPO2693						
SPO2694	SPO2694				478080	236767	503484
SPO2695	SPO2695				2.00E+07	2.57E+07	1.85E+07
SPO2697	SPO2697						
SPO2698	SPO2698						
SPO2701	SPO2701						
SPO2702	SPO2702						
SPO2704	SPO2704						
SPO2705	SPO2705						
SPO2706	SPO2706						
SPO2707	SPO2707						
SPO2708	SPO2708						
SPO2709	SPO2709						
SPO2710	SPO2710						
SPO2711	SPO2711						
SPO2712	SPO2712					136848	120712
SPO2713	SPO2713						
SPO2714	SPO2714						
SPO2715	SPO2715				1.33E+06	2.23E+06	3.09E+06
SPO2716	SPO2716				230765	2.28E+06	827414
SPO2717	SPO2717				293751		
SPO2718	SPO2718						
SPO2719	SPO2719				263903	299976	478124
SPO2721	SPO2721				672267	125115	
SPO2722	SPO2722						
SPO2723	SPO2723						
SPO2723a	SPO2723a					109505	
SPO2724	SPO2724						
SPO2733	SPO2733				564143		
SPO2734	SPO2734						
SPO2735	SPO2735						
SPO2736	SPO2736						
SPO2738	SPO2738				1.19E+07	1.15E+07	1.38E+07
SPO2739	SPO2739				311351	527044	489397
SPO2740	SPO2740						
SPO2741	SPO2741						
SPO2742	SPO2742				3.37E+06	3.95E+06	3.50E+06
SPO2743	SPO2743				1.25E+07	1.33E+07	1.55E+07
SPO2744	SPO2744						
SPO2745	SPO2745					219096	
SPO2746	SPO2746				1.36E+06	1.68E+06	4.37E+06
SPO2747	SPO2747						
SPO2748	SPO2748						
SPO2749	SPO2749						
SPO2750	SPO2750						
SPO2751	SPO2751				106354		285491
SPO2752	SPO2752						
SPO2753	SPO2753						335658
SPO2754	SPO2754						
SPO2755	SPO2755						
SPO2756	SPO2756						
SPO2757	SPO2757				1.39E+07	1.52E+07	1.89E+07
SPO2758	SPO2758						
SPO2759	SPO2759						4.73E+06
SPO2760	SPO2760				4.46E+06	3.19E+06	3.09E+06
SPO2761	SPO2761				3.03E+07	3.89E+07	2.42E+07
SPO2762	SPO2762						
SPO2763	SPO2763						
SPO2764	SPO2764						
SPO2765	SPO2765						
SPO2766	SPO2766						
SPO2767	SPO2767						
SPO2768	SPO2768						776220
SPO2769	SPO2769						
SPO2770	SPO2770						
SPO2771	SPO2771					197943	
SPO2772	SPO2772						
SPO2773	SPO2773				280867	457587	374119
SPO2774	SPO2774				428255	289287	404298
SPO2775	SPO2775				106432	120296	128676
SPO2776	SPO2776				9.48E+06	9.46E+06	9.13E+06
SPO2777	SPO2777					573573	
SPO2778	SPO2778						
SPO2779	SPO2779				279781		
SPO2780	SPO2780				1.47E+06	452552	374973
SPO2781	SPO2781				8.31E+06	7.51E+06	4.77E+06
SPO2782	SPO2782					353006	483541
SPO2784	SPO2784						
SPO2785	SPO2785					121112	
SPO2786	SPO2786				8.04E+06	6.25E+06	1.26E+07
SPO2787	SPO2787						
SPO2788	SPO2788				188505	104885	505481
SPO2789	SPO2789						690769
SPO2790	SPO2790						2.49E+07
SPO2791	SPO2791						
SPO2792	SPO2792						
SPO2793	SPO2793				679367	672346	618098
SPO2795	SPO2795					2.52E+06	
SPO2796	SPO2796				962682	1.71E+06	1.40E+06
SPO2797	SPO2797				224274	181571	284614
SPO2798	SPO2798					64773.7	
SPO2799	SPO2799				140616		75080.5
SPO2800	SPO2800						
SPO2801	SPO2801						
SPO2802	SPO2802				6.02E+07	6.34E+07	7.26E+07
SPO2803	SPO2803				2.39E+06	1.13E+06	93704.8
SPO2804	SPO2804						
SPO2805	SPO2805						
SPO2806	SPO2806				4.25E+06	4.22E+06	4.03E+06
SPO2807	SPO2807						
SPO2808	SPO2808				7.72E+06	1.05E+07	8.22E+06
SPO2809	SPO2809				7.36E+06		
SPO2810	SPO2810				430543	443360	1.67E+06
SPO2811	SPO2811						
SPO2812	SPO2812				4.59E+06	4.63E+06	5.37E+06
SPO2813	SPO2813				413279		
SPO2814	SPO2814				6.22E+08	5.29E+08	6.78E+08
SPO2815	SPO2815						
SPO2816	SPO2816						
SPO2817	SPO2817						
SPO2818	SPO2818						
SPO2819	SPO2819						
SPO2820	SPO2820				1.04E+06	1.12E+06	1.38E+06
SPO2821	SPO2821						
SPO2822	SPO2822						
SPO2823	SPO2823						
SPO2824	SPO2824				4.01E+06	6.14E+06	5.32E+06
SPO2825	SPO2825						
SPO2826	SPO2826						
SPO2827	SPO2827					164191	
SPO2828	SPO2828						
SPO2829	SPO2829				803746	581768	518122
SPO2835	SPO2835						276600
SPO2836	SPO2836						
SPO2837	SPO2837					100323	40617
SPO2838	SPO2838				5.15E+06	6.13E+06	6.17E+06
SPO2839	SPO2839					191784	175103
SPO2840	SPO2840					1.43E+06	
SPO2841	SPO2841				703672	588989	1.13E+06
SPO2842	SPO2842						
SPO2843	SPO2843						
SPO2845	SPO2845						
SPO2846	SPO2846						
SPO2847	SPO2847				890477	932521	833628
SPO2848	SPO2848				1.38E+08	8.54E+07	4.91E+07
SPO2849	SPO2849						
SPO2850	SPO2850				1.67E+06	539923	2.13E+06
SPO2851	SPO2851						
SPO2853	SPO2853				218627	205514	442548
SPO2854	SPO2854				723881	428688	364140
SPO2855	SPO2855				3.20E+06	3.70E+06	2.16E+06
SPO2856	SPO2856						
SPO2857	SPO2857				5.17E+07	4.41E+07	4.88E+07
SPO2858	SPO2858				5.37E+07	6.52E+07	5.90E+07
SPO2859	SPO2859						
SPO2860	SPO2860					262209	
SPO2861	SPO2861						
SPO2862	SPO2862						
SPO2863	SPO2863					2.21E+06	
SPO2864	SPO2864						
SPO2865	SPO2865						
SPO2866	SPO2866						
SPO2867	SPO2867						
SPO2868	SPO2868						
SPO2869	SPO2869						
SPO2870	SPO2870						
SPO2871	SPO2871						259991
SPO2872	SPO2872					2.21E+06	5.82E+06
SPO2873	SPO2873					2.97E+06	
SPO2874	SPO2874						
SPO2875	SPO2875				187731		427591
SPO2877	SPO2877						
SPO2878	SPO2878						
SPO2879	SPO2879						
SPO2880	SPO2880						
SPO2881	SPO2881						
SPO2882	SPO2882				1.22E+06	1.41E+06	2.19E+06
SPO2883	SPO2883						
SPO2884	SPO2884				8.44E+06	8.93E+06	5.20E+06
SPO2885	SPO2885				1.18E+06	1.01E+06	1.00E+06
SPO2886	SPO2886						
SPO2887	SPO2887						
SPO2888	SPO2888						5.31E+06
SPO2889	SPO2889					1.78E+06	
SPO2890	SPO2890						
SPO2891	SPO2891				424609	572100	
SPO2892	SPO2892						
SPO2893	SPO2893						
SPO2894	SPO2894						
SPO2895	SPO2895						
SPO2896	SPO2896						
SPO2897	SPO2897						
SPO2898	SPO2898						
SPO2899	SPO2899				8.92E+06	6.26E+06	1.02E+07
SPO2900	SPO2900						1.52E+06
SPO2901	SPO2901					185278	
SPO2902	SPO2902						
SPO2903	SPO2903						
SPO2904	SPO2904				1.24E+08	1.43E+08	1.37E+08
SPO2905	SPO2905						
SPO2906	SPO2906				5.49E+06	6.40E+06	4.62E+06
SPO2907	SPO2907				1.11E+06	406280	4.63E+06
SPO2908	SPO2908						283054
SPO2909	SPO2909						
SPO2910	SPO2910						
SPO2911	SPO2911						
SPO2912	SPO2912						
SPO2914	SPO2914						
SPO2915	SPO2915				159496	75471.8	1.12E+07
SPO2916	SPO2916						
SPO2917	SPO2917				2.87E+06	4.31E+06	2.12E+06
SPO2918	SPO2918				48541.8	118261	209892
SPO2919	SPO2919						
SPO2920	SPO2920						433370
SPO2922	SPO2922						
SPO2924	SPO2924				9.25E+06	1.79E+07	7.68E+06
SPO2925	SPO2925				53199.1	59516.1	309620
SPO2926	SPO2926				210931	415105	149107
SPO2927	SPO2927						
SPO2928	SPO2928				1.93E+06	3.13E+06	2.49E+06
SPO2929	SPO2929				7.87E+06	1.26E+06	1.80E+06
SPO2930	SPO2930				4.46E+06	4.30E+06	4.56E+06
SPO2931	SPO2931				366622	188581	340868
SPO2932	SPO2932				409089	401776	890817
SPO2933	SPO2933						
SPO2934	SPO2934						
SPO2936	SPO2936						143300
SPO2938	SPO2938				51238.8		
SPO2939	SPO2939						
SPO2942	SPO2942						
SPO2943	SPO2943						
SPO2945	SPO2945				2.00E+06		73170.4
SPO2946	SPO2946						
SPO2947	SPO2947						
SPO2948	SPO2948						
SPO2949	SPO2949				2.27E+08	1.58E+08	2.61E+08
SPO2950	SPO2950						
SPO2951	SPO2951				1.42E+07	1.20E+07	9.08E+06
SPO2952	SPO2952					573817	
SPO2953	SPO2953						
SPO2954	SPO2954						
SPO2955	SPO2955						
SPO2956	SPO2956						
SPO2957	SPO2957					305080	
SPO2958	SPO2958						
SPO2959	SPO2959						
SPO2960	SPO2960				7.42E+06	6.00E+06	5.89E+06
SPO2961	SPO2961					74026.5	
SPO2962	SPO2962						
SPO2963	SPO2963						
SPO2964	SPO2964				622308	786315	614116
SPO2965	SPO2965				846665	582753	718807
SPO2967	SPO2967						
SPO2968	SPO2968				1.27E+07	1.74E+07	1.40E+07
SPO2969	SPO2969				338444	301993	298261
SPO2970	SPO2970				431527	341010	662792
SPO2971	SPO2971						
SPO2972	SPO2972				594050	1.02E+06	707329
SPO2973a	SPO2973a				3.27E+06	3.97E+06	3.19E+06
SPO2974	SPO2974						
SPO2976	SPO2976				3.08E+07	2.83E+07	2.33E+07
SPO2977	SPO2977					3.12E+06	
SPO2978	SPO2978						
SPO2979	SPO2979						
SPO2980	SPO2980				1.84E+07	1.91E+07	1.39E+07
SPO2981	SPO2981						
SPO2982	SPO2982						
SPO2983	SPO2983						129567
SPO2984	SPO2984				2.92E+06	8.23E+06	8.65E+06
SPO2985	SPO2985						
SPO2986	SPO2986				4.37E+06	3.07E+06	1.71E+06
SPO2987	SPO2987				1.46E+06	1.71E+06	1.40E+06
SPO2988	SPO2988				240284	97020.5	232836
SPO2989	SPO2989						
SPO2990	SPO2990						
SPO2991	SPO2991						
SPO2992	SPO2992				782145	1.22E+06	990967
SPO2993	SPO2993						
SPO2994	SPO2994				243991	250433	410017
SPO2995	SPO2995				5.89E+07	4.30E+07	3.50E+07
SPO2996	SPO2996						
SPO2997	SPO2997						
SPO2998	SPO2998					2.53E+06	
SPO2999	SPO2999					1.20E+08	238888
SPO3000	SPO3000				5.28E+07	4.64E+07	4.51E+07
SPO3001	SPO3001				177477	225778	289232
SPO3002	SPO3002					4.59E+06	
SPO3003	SPO3003					1.79E+07	
SPO3004	SPO3004				534715	646953	1.29E+06
SPO3005	SPO3005				225972	1.75E+07	
SPO3008	SPO3008						
SPO3009	SPO3009						
SPO3010	SPO3010				5.56E+06	1.70E+06	986149
SPO3011	SPO3011						
SPO3012	SPO3012				432107	1.20E+06	598930
SPO3013	SPO3013				1.35E+06	1.12E+06	786495
SPO3014	SPO3014						
SPO3015	SPO3015					519524	
SPO3016	SPO3016				24434.3	1.00E+07	
SPO3017	SPO3017						
SPO3018	SPO3018				363764		
SPO3019	SPO3019				6.61E+06	6.87E+06	6.39E+06
SPO3020	SPO3020						
SPO3021	SPO3021						
SPO3022	SPO3022				277899	178754	512204
SPO3023	SPO3023						
SPO3024	SPO3024						
SPO3025	SPO3025						
SPO3026	SPO3026						
SPO3027	SPO3027						309406
SPO3029	SPO3029				2.55E+07	2.55E+07	1.91E+07
SPO3030	SPO3030						8.31E+06
SPO3031	SPO3031				2.04E+08	2.05E+08	2.13E+08
SPO3032	SPO3032					139498	170666
SPO3033	SPO3033						2.12E+06
SPO3034	SPO3034				370918		69025.8
SPO3035	SPO3035						
SPO3036	SPO3036				2.65E+07	3.04E+07	2.33E+07
SPO3037	SPO3037						
SPO3038	SPO3038						188463
SPO3039	SPO3039						
SPO3040	SPO3040				125635	148939	
SPO3041	SPO3041						
SPO3042	SPO3042						
SPO3043	SPO3043						
SPO3044	SPO3044						
SPO3045	SPO3045						
SPO3049	SPO3049				336160	544208	531662
SPO3051	SPO3051						
SPO3052	SPO3052						
SPO3053	SPO3053						
SPO3054	SPO3054					106022	
SPO3055	SPO3055						
SPO3056	SPO3056				1.11E+07	1.20E+07	1.15E+07
SPO3057	SPO3057						
SPO3058	SPO3058						
SPO3059	SPO3059						
SPO3060	SPO3060					623774	
SPO3063	SPO3063						
SPO3064	SPO3064				637317	998286	900795
SPO3065	SPO3065						
SPO3066	SPO3066				4.98E+06		5.49E+06
SPO3067	SPO3067				2.36E+06		
SPO3068	SPO3068						
SPO3069	SPO3069						
SPO3070	SPO3070				388879	520387	611102
SPO3071	SPO3071				243814	232728	336980
SPO3072	SPO3072				1.19E+08		
SPO3073	SPO3073						
SPO3074	SPO3074						
SPO3075	SPO3075						
SPO3076	SPO3076						
SPO3077	SPO3077				464634	380936	773271
SPO3078	SPO3078						
SPO3079	SPO3079				225221	259981	621459
SPO3080	SPO3080						
SPO3081	SPO3081					926920	
SPO3082	SPO3082				4.80E+07	4.66E+07	3.58E+07
SPO3083	SPO3083				2.36E+07	1.94E+07	1.84E+07
SPO3084	SPO3084						
SPO3086	SPO3086				7.88E+06	5.75E+06	1.37E+07
SPO3087	SPO3087				1.20E+06	1.44E+06	1.28E+06
SPO3088	SPO3088				1.11E+06	1.44E+06	1.09E+06
SPO3089	SPO3089						
SPO3090	SPO3090						222402
SPO3091	SPO3091					221371	
SPO3092	SPO3092				118054		
SPO3093	SPO3093				1.55E+06	2.00E+06	1.20E+06
SPO3094	SPO3094				1.03E+07	1.12E+07	8.28E+06
SPO3096	SPO3096						
SPO3097	SPO3097						
SPO3098	SPO3098						
SPO3099	SPO3099						
SPO3100	SPO3100						
SPO3104	SPO3104						
SPO3105	SPO3105				1.40E+07	8.26E+06	1.81E+06
SPO3106	SPO3106						
SPO3107	SPO3107				5.68E+06	7.22E+06	6.20E+06
SPO3108	SPO3108				1.12E+07	1.21E+07	8.59E+06
SPO3109	SPO3109				7.33E+06	9.67E+06	6.61E+06
SPO3110	SPO3110				135405	164548	1.84E+06
SPO3111	SPO3111				29884.3	43239	28074.6
SPO3112	SPO3112				146780	179449	
SPO3113	SPO3113						
SPO3114	SPO3114						
SPO3115	SPO3115						
SPO3116	SPO3116					89827.8	
SPO3117	SPO3117						
SPO3118	SPO3118						
SPO3119	SPO3119						
SPO3120	SPO3120				98216.1		
SPO3121	SPO3121						
SPO3122	SPO3122						
SPO3123	SPO3123						
SPO3124	SPO3124				8.64E+06	1.05E+07	8.91E+06
SPO3125	SPO3125						
SPO3126	SPO3126						
SPO3127	SPO3127						
SPO3128	SPO3128				203121	279525	549617
SPO3129	SPO3129						
SPO3130	SPO3130						
SPO3132	SPO3132						
SPO3133	SPO3133						544036
SPO3134	SPO3134						
SPO3135	SPO3135					177764	
SPO3136	SPO3136				126272	137853	155068
SPO3137	SPO3137				3.46E+06	4.15E+06	3.00E+06
SPO3138	SPO3138						
SPO3139	SPO3139						
SPO3140	SPO3140						
SPO3141	SPO3141						
SPO3142	SPO3142				1.18E+06	1.28E+06	928913
SPO3143	SPO3143				330060	265120	320423
SPO3144	SPO3144						
SPO3145	SPO3145					56246.5	
SPO3146	SPO3146						
SPO3147	SPO3147				9.63E+06	5.44E+06	7.86E+06
SPO3148	SPO3148						
SPO3149	SPO3149						
SPO3150	SPO3150						
SPO3151	SPO3151				533144	1.21E+06	456723
SPO3152	SPO3152						
SPO3153	SPO3153						
SPO3154	SPO3154				79242.2	780819	285933
SPO3155	SPO3155						
SPO3156	SPO3156				1.07E+07	1.37E+07	1.17E+07
SPO3157	SPO3157						
SPO3158	SPO3158						
SPO3159	SPO3159						
SPO3160	SPO3160						
SPO3161	SPO3161				946082	765556	532712
SPO3162	SPO3162				700434	804792	1.09E+06
SPO3163	SPO3163				123595	197294	184382
SPO3164	SPO3164				962330	1.14E+06	1.15E+06
SPO3165	SPO3165				1.40E+06	774266	144003
SPO3166	SPO3166				9.57E+06	1.16E+07	6.34E+06
SPO3167	SPO3167				4.82E+06		4.17E+06
SPO3168	SPO3168				1.06E+07	1.19E+07	1.04E+07
SPO3169	SPO3169				393689	225111	407210
SPO3170	SPO3170					95063.7	
SPO3171	SPO3171						
SPO3172	SPO3172						
SPO3173	SPO3173						
SPO3174	SPO3174				78348.2		
SPO3175	SPO3175				667717	803493	440408
SPO3176	SPO3176						
SPO3177	SPO3177						158563
SPO3178	SPO3178						
SPO3179	SPO3179						
SPO3180	SPO3180					3.09E+07	1.15E+07
SPO3181	SPO3181				9.33E+06	1.62E+07	6.66E+06
SPO3182	SPO3182				96071.4		
SPO3183	SPO3183				3.17E+06	3.89E+06	2.98E+06
SPO3184	SPO3184						
SPO3185	SPO3185						
SPO3186	SPO3186						
SPO3187	SPO3187						557707
SPO3188	SPO3188						
SPO3189	SPO3189						
SPO3190	SPO3190						
SPO3191	SPO3191						
SPO3192	SPO3192						
SPO3193	SPO3193					604049	
SPO3194	SPO3194				390827	324019	672788
SPO3195	SPO3195						452550
SPO3196	SPO3196						
SPO3197	SPO3197						
SPO3198	SPO3198					223704	1.15E+07
SPO3199	SPO3199				323933	190245	323395
SPO3200	SPO3200					1.05E+06	
SPO3201	SPO3201				2.24E+06	1.35E+06	2.45E+06
SPO3202	SPO3202						
SPO3203	SPO3203						
SPO3204	SPO3204				371217	128739	423967
SPO3205	SPO3205						
SPO3206	SPO3206				313555	137772	195293
SPO3207	SPO3207				1.07E+07		410749
SPO3208	SPO3208				198409		
SPO3209	SPO3209						
SPO3211	SPO3211					242084	
SPO3212	SPO3212						
SPO3213	SPO3213						
SPO3216	SPO3216				148654	740530	328959
SPO3217	SPO3217						
SPO3218	SPO3218						
SPO3219	SPO3219				2.31E+06	93466.4	
SPO3220	SPO3220				366959	490740	936940
SPO3221	SPO3221						
SPO3222	SPO3222						
SPO3223	SPO3223						
SPO3224	SPO3224					5.15E+06	
SPO3225	SPO3225						
SPO3226	SPO3226				3.96E+06	4.74E+06	4.64E+06
SPO3227	SPO3227						
SPO3228	SPO3228				5.26E+07		5.20E+06
SPO3229	SPO3229					102531	
SPO3230	SPO3230						
SPO3231	SPO3231						1.34E+06
SPO3232	SPO3232						
SPO3233	SPO3233				345869	201016	270086
SPO3234	SPO3234				161215	180509	371911
SPO3236	SPO3236						
SPO3237	SPO3237				234048		359697
SPO3238	SPO3238						
SPO3240	SPO3240					874416	
SPO3241	SPO3241				1.29E+06	1.11E+06	1.13E+06
SPO3242	SPO3242				122675	1.28E+07	303774
SPO3243	SPO3243					1.24E+07	
SPO3244	SPO3244						
SPO3245	SPO3245				6.94E+06	3.40E+06	4.62E+06
SPO3246	SPO3246				143892	73900.3	187728
SPO3247	SPO3247						
SPO3248	SPO3248						
SPO3249	SPO3249						
SPO3250	SPO3250				67784.6		
SPO3251	SPO3251						
SPO3252	SPO3252					460629	389680
SPO3253	SPO3253				4.63E+06	7.65E+06	4.85E+06
SPO3254	SPO3254						210674
SPO3255	SPO3255						
SPO3256	SPO3256				705286	422238	493880
SPO3257	SPO3257				6.75E+07	4.36E+07	6.13E+07
SPO3258	SPO3258				9.02E+06	1.02E+07	7.27E+06
SPO3259	SPO3259						
SPO3260	SPO3260						
SPO3261	SPO3261						
SPO3262	SPO3262						
SPO3270	SPO3270						
SPO3271	SPO3271						
SPO3272	SPO3272						
SPO3273	SPO3273						
SPO3274	SPO3274						
SPO3275	SPO3275						
SPO3276	SPO3276				1.93E+06	694501	1.24E+06
SPO3277	SPO3277						
SPO3278	SPO3278						3.37E+07
SPO3279	SPO3279						
