Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250206_Fadime_DSS3_ProMM_Sec_ML_1.raw	I:\Fadime\250206_Fadime_DSS3_ProMM_Sec_ML_2.raw	I:\Fadime\250206_Fadime_DSS3_ProMM_Sec_ML_3.raw
SPO0289	SPO0289				3.44E+06	3.79E+06	4.69E+06
SPO0290	SPO0290						
SPO0291	SPO0291				1.57E+06	2.20E+06	1.21E+06
SPO0292	SPO0292						
SPO0293	SPO0293						
SPO0294	SPO0294						
SPO0295	SPO0295					650628	690331
SPO0296	SPO0296						
SPO0297	SPO0297						
SPO0298	SPO0298				267090	269006	409952
SPO0299	SPO0299						
SPO0300	SPO0300						
SPO0301	SPO0301						
SPO0302	SPO0302						
SPO0303	SPO0303						
SPO0304	SPO0304				427403	591519	528956
SPO0305	SPO0305						
SPO0306	SPO0306					79701.4	631050
SPO0307	SPO0307						6359.15
SPO0308	SPO0308						
SPO0309	SPO0309					194531	254004
SPO0310	SPO0310						
SPO0311	SPO0311						
SPO0312	SPO0312				228201	91430.3	199023
SPO0313	SPO0313				1.69E+06	624719	1.11E+06
SPO0314	SPO0314						
SPO0315	SPO0315				1.08E+06	221132	202673
SPO0316	SPO0316				82221.3	120462	240755
SPO0317	SPO0317				963717	243499	1.18E+06
SPO0318	SPO0318				3.31E+07	7.08E+07	9.94E+07
SPO0319	SPO0319					137734	1.98E+06
SPO0320	SPO0320						
SPO0321	SPO0321						
SPO0322	SPO0322				2.01E+06	1.47E+06	3.54E+06
SPO0324	SPO0324				1.05E+07		
SPO0325	SPO0325				1.05E+06	1.31E+06	1.53E+06
SPO0326	SPO0326				1.74E+06	2.13E+06	3.72E+06
SPO0327	SPO0327						
SPO0328	SPO0328						
SPO0329	SPO0329					1.44E+07	1.34E+07
SPO0330	SPO0330						
SPO0331	SPO0331				770227	198967	420851
SPO0332	SPO0332				199621	698542	282558
SPO0334	SPO0334						410937
SPO0335	SPO0335				3.32E+06	3.88E+06	8.47E+06
SPO0336	SPO0336				2.00E+06	6.58E+06	2.06E+06
SPO0337	SPO0337						
SPO0338	SPO0338						
SPO0339	SPO0339						
SPO0340	SPO0340				2.10E+08	1.92E+08	2.49E+08
SPO0342	SPO0342						
SPO0343	SPO0343				176199	407310	242236
SPO0344	SPO0344				230588	168850	292863
SPO0344a	SPO0344a				348374	1.99E+06	1.25E+06
SPO0345	SPO0345						
SPO0346	SPO0346				6.18E+07	2.44E+07	5.45E+07
SPO0346a	SPO0346a				2.06E+06	1.99E+06	1.21E+06
SPO0347	SPO0347				9.69E+07	3.97E+07	9.51E+07
SPO0348	SPO0348				196241		
SPO0349	SPO0349				3.43E+07	5.71E+07	3.53E+07
SPO0352	SPO0352				2.92E+06	2.15E+06	3.31E+06
SPO0353	SPO0353						
SPO0354	SPO0354				1.30E+07	1.47E+07	1.31E+07
SPO0355	SPO0355				6.43E+06	9.61E+06	9.79E+06
SPO0356	SPO0356						
SPO0357	SPO0357				5.61E+06	5.84E+06	6.53E+06
SPO0358	SPO0358						
SPO0359	SPO0359						
SPO0360	SPO0360				265569	320442	306110
SPO0360a	SPO0360a				3.15E+07	4.48E+07	2.99E+07
SPO0361	SPO0361					119382	
SPO0362	SPO0362				540728	701058	2.29E+06
SPO0365	SPO0365						
SPO0366	SPO0366						
SPO0367	SPO0367				923152	1.19E+06	1.23E+06
SPO0368	SPO0368				274076		170086
SPO0369	SPO0369						
SPO0370	SPO0370				3.80E+07		1.40E+07
SPO0371	SPO0371						
SPO0372	SPO0372						
SPO0373	SPO0373						
SPO0374	SPO0374						
SPO0375	SPO0375						
SPO0376	SPO0376						
SPO0377	SPO0377						
SPO0378	SPO0378						
SPO0379	SPO0379				2.36E+08	2.35E+08	3.51E+08
SPO0380	SPO0380						
SPO0381	SPO0381						
SPO0382	SPO0382					110206	116211
SPO0383	SPO0383						
SPO0384	SPO0384						
SPO0385	SPO0385						
SPO0386	SPO0386						
SPO0387	SPO0387						
SPO0388	SPO0388				405434	170829	1.80E+06
SPO0389	SPO0389						
SPO0390	SPO0390						
SPO0391	SPO0391					1.47E+07	
SPO0392	SPO0392				1.25E+06	3.21E+06	2.20E+06
SPO0393	SPO0393						
SPO0395	SPO0395						2.02E+06
SPO0396	SPO0396						
SPO0397	SPO0397					1.76E+07	
SPO0398	SPO0398				1.58E+07	1.85E+07	1.45E+07
SPO0399	SPO0399						
SPO0400	SPO0400						
SPO0401	SPO0401				505394	908947	593887
SPO0402	SPO0402					2.25E+06	
SPO0403	SPO0403						
SPO0404	SPO0404						
SPO0405	SPO0405						
SPO0406	SPO0406						
SPO0407	SPO0407						
SPO0408	SPO0408						
SPO0409	SPO0409				7.03E+06	1.56E+06	4.97E+06
SPO0410	SPO0410						
SPO0411	SPO0411						
SPO0412	SPO0412						
SPO0413	SPO0413				277101		
SPO0414	SPO0414				3.68E+06	2.51E+06	3.44E+06
SPO0415	SPO0415						
SPO0416	SPO0416						
SPO0417	SPO0417						
SPO0418	SPO0418						
SPO0419	SPO0419						
SPO0420	SPO0420				21633	267385	540749
SPO0421	SPO0421						
SPO0422	SPO0422				9.75E+06	6.70E+06	4.28E+06
SPO0423	SPO0423						
SPO0424	SPO0424						
SPO0425	SPO0425				2.23E+06	2.17E+06	500225
SPO0426	SPO0426				7.99E+06	9.40E+06	6.45E+06
SPO0428	SPO0428						
SPO0429	SPO0429				1.38E+06	945238	754136
SPO0430	SPO0430				109115	309808	172845
SPO0431	SPO0431						
SPO0432	SPO0432						
SPO0433	SPO0433						
SPO0434	SPO0434						
SPO0435	SPO0435						
SPO0436	SPO0436						
SPO0437	SPO0437				1.31E+06	1.86E+06	2.68E+06
SPO0438	SPO0438				880558	1.25E+06	1.23E+06
SPO0440	SPO0440				1.20E+07	1.02E+07	9.65E+06
SPO0442	SPO0442						43543.6
SPO0445	SPO0445				547704	312937	
SPO0446	SPO0446				1.20E+06	557118	974293
SPO0447	SPO0447				5.27E+06	6.55E+06	7.18E+06
SPO0448	SPO0448						
SPO0449	SPO0449				3.25E+06		
SPO0450	SPO0450						
SPO0451	SPO0451						241660
SPO0452	SPO0452						
SPO0454	SPO0454						
SPO0455	SPO0455				1.45E+07	1.70E+07	1.67E+07
SPO0456	SPO0456				7.91E+06		
SPO0457	SPO0457						
SPO0459	SPO0459				1.51E+07	1.56E+07	1.91E+07
SPO0460	SPO0460						
SPO0461	SPO0461					45834.7	73468.1
SPO0462	SPO0462				4.52E+06	5.91E+06	2.74E+06
SPO0463	SPO0463						
SPO0464	SPO0464						
SPO0465	SPO0465						
SPO0466	SPO0466						
SPO0467	SPO0467						
SPO0468	SPO0468						
SPO0469	SPO0469						
SPO0470	SPO0470						
SPO0471	SPO0471						
SPO0472	SPO0472						
SPO0473	SPO0473						
SPO0474	SPO0474						
SPO0475	SPO0475						
SPO0476	SPO0476						
SPO0477	SPO0477						
SPO0478	SPO0478				1.28E+07	1.79E+07	1.11E+07
SPO0479	SPO0479						
SPO0481	SPO0481						
SPO0482	SPO0482				162598	101534	157299
SPO0483	SPO0483				1.40E+06	1.99E+06	3.23E+06
SPO0484	SPO0484				2.11E+08	1.93E+08	1.73E+08
SPO0485	SPO0485				1.29E+08	1.54E+08	1.35E+08
SPO0486	SPO0486				1.36E+08	9.75E+07	7.44E+07
SPO0487	SPO0487				1.80E+06	2.36E+06	3.33E+06
SPO0488	SPO0488				843246	881700	2.22E+06
SPO0490	SPO0490						
SPO0491	SPO0491				199041	684686	
SPO0491a	SPO0491a						
SPO0492	SPO0492						
SPO0493	SPO0493				1.88E+08	1.89E+08	1.67E+08
SPO0494	SPO0494				1.08E+06	1.58E+06	942935
SPO0495	SPO0495				9.54E+07	9.61E+07	6.66E+07
SPO0496	SPO0496				1.40E+07	9.96E+06	9.27E+06
SPO0497	SPO0497				2.37E+07	2.02E+07	1.40E+07
