Accession Number	Annotation	1	2	3
SPO0136	Glutamine amidotransferase domain-containing protein	2.22E+06	2.28E+06	2.36E+06
SPO0137	N-terminal double-transmembrane domain protein	1.53E+06	1.54E+06	1.55E+06
SPO0138	DUF58 domain-containing protein	1.95E+06	2.00E+06	2.00E+06
SPO0139	"ATPase, MoxR family"	8.26E+06	8.33E+06	8.41E+06
SPO0140	Proteophosphoglycan	1.22E+06	1.22E+06	1.12E+06
SPO0141	"DNA binding protein, putative"	1.84E+06	1.80E+06	1.80E+06
SPO0142	Beta-ketothiolase	1.08E+07	1.12E+07	1.03E+07
SPO0143	Iron-sulfur cluster-binding protein	133392	121083	117711
SPO0144	2-polyprenylphenol 6-hydroxylase (EC 1.14.13.-)	4.49E+06	4.02E+06	3.88E+06
SPO0145	"Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE (EC 2.1.1.163) (EC 2.1.1.201) (2-methoxy-6-polyprenyl-1,4-benzoquinol methylase) (Demethylmenaquinone methyltransferase)"	4.62E+06	4.59E+06	4.23E+06
SPO0146	Formamidopyrimidine-DNA glycosylase (Fapy-DNA glycosylase) (EC 3.2.2.23) (DNA-(apurinic or apyrimidinic site) lyase MutM) (AP lyase MutM) (EC 4.2.99.18)	2.16E+06	2.19E+06	2.15E+06
SPO0147	Enoyl-CoA hydratase (EC 4.2.1.17)	3.87E+07	4.02E+07	3.97E+07
SPO0148	Small ribosomal subunit protein bS20 (30S ribosomal protein S20)	3.64E+07	3.65E+07	4.15E+07
SPO0149	Chromosomal replication initiator protein DnaA	3.03E+06	3.13E+06	3.09E+06
SPO0150	Beta sliding clamp	2.43E+07	2.48E+07	2.57E+07
SPO0151	DNA replication and repair protein RecF	615429	567290	527480
SPO0153	"Transcriptional regulator, TetR family"	225697	216203	223131
SPO0154	"NAD(P)H dehydrogenase, quinone family"	3.01E+06	3.11E+06	3.03E+06
SPO0155	DNA gyrase subunit B (EC 5.6.2.2)	1.24E+07	1.26E+07	1.31E+07
SPO0156	Transcriptional regulator RtcR	542958	505927	518638
SPO0157	TROVE domain protein	610728	612503	592976
SPO0160	3'-phosphate/5'-hydroxy nucleic acid ligase (EC 6.5.1.8)	840877	737240	793411
SPO0161	"DNA-binding response regulator, LuxR family"	1.86E+06	2.03E+06	1.93E+06
SPO0162	Oxidoreductase molybdopterin-binding domain-containing protein	1.34E+06	1.41E+06	1.46E+06
