Accession Number	Annotation	1	2	3
SPO1982	DUF3553 domain-containing protein	471725	559789	687573
SPO1983	Histidine phosphotransferase ChpT C-terminal domain-containing protein	3.80E+06	3.89E+06	3.87E+06
SPO1984	Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase) (GSA dehydrogenase)	1.02E+07	9.91E+06	9.89E+06
SPO1985	Glutamate 5-kinase (EC 2.7.2.11) (Gamma-glutamyl kinase) (GK)	2.25E+06	2.21E+06	2.38E+06
SPO1986	GTPase Obg (EC 3.6.5.-) (GTP-binding protein Obg)	4.53E+06	4.62E+06	4.99E+06
SPO1987	"Acetyltransferase, GNAT family"	4.97E+06	5.37E+06	5.29E+06
SPO1988	Cysteine/O-acetylserine efflux protein	320415	340764	284821
SPO1989	Large ribosomal subunit protein bL27 (50S ribosomal protein L27)	7.89E+07	9.04E+07	8.51E+07
SPO1990	Large ribosomal subunit protein bL21 (50S ribosomal protein L21)	8.61E+07	9.38E+07	9.28E+07
SPO1991	DUF2059 domain-containing protein	604337	596799	600510
SPO1992	DUF2059 domain-containing protein	1.83E+06	1.90E+06	2.03E+06
SPO1994	Membrane fusion protein (MFP) family protein	1.18E+06	1.14E+06	1.27E+06
SPO1995	"ABC transporter, ATP-binding/permease protein"	639679	718528	728481
SPO1996	Uncharacterized protein	1.18E+07	1.16E+07	1.17E+07
SPO1997	Lipoprotein	403658	390127	419512
SPO1998	Uncharacterized protein	445160	386766	418651
SPO2000	Endoribonuclease L-PSP family protein	4.51E+06	4.49E+06	4.19E+06
SPO2001	"Oxidoreductase, FAD-binding protein"	158198	155380	184688
SPO2002	Acetylpolyamine aminohydrolase	277909	249913	245914
SPO2003	"Acetyltransferase, GNAT family"	143365	168800	165079
SPO2004	3-keto-5-aminohexanoate cleavage protein	159397	144442	140580
SPO2005	"Aminotransferase, class III"	231938	227029	217674
SPO2006	Spermidine/putrescine import ATP-binding protein PotA (EC 7.6.2.11)	70013.3	104076	125627
SPO2007	"Spermidine/putrescine ABC transporter, periplasmic substrate-binding protein"	1.48E+06	1.55E+06	1.44E+06
SPO2009	"Spermidine/putrescine ABC transporter, permease protein"
SPO2010	"Transcriptional regulator, LysR family"	634524	613033	601920
SPO2013	"Membrane protein, putative"	197580	172044	150362
SPO2014	Cysteine desulfurase (EC 2.8.1.7)	5.50E+06	5.24E+06	5.45E+06
SPO2015	Yip1 domain-containing protein	1.98E+06	2.13E+06	2.33E+06
SPO2016	Yip1 domain-containing protein	2.30E+06	2.57E+06	2.65E+06
SPO2017	FeS assembly protein SufD	1.51E+07	1.54E+07	1.53E+07
SPO2018	FeS assembly ATPase SufC	1.53E+07	1.55E+07	1.57E+07
SPO2019	ExoV domain protein	2.02E+06	2.07E+06	2.09E+06
SPO2020	"Methyltransferase, FkbM family"	3.59E+06	3.63E+06	3.42E+06
SPO2021	UPF0145 protein SPO2021	6.28E+06	6.79E+06	6.99E+06
SPO2022	Class I SAM-dependent methyltransferase	1.26E+06	1.27E+06	1.28E+06
SPO2023	FeS assembly protein SufB	9.56E+06	9.46E+06	1.04E+07
SPO2024	Cysteine desulfurase	3.90E+06	3.85E+06	3.79E+06
SPO2025	"Iron-sulfur cluster assembly transcription factor IscR, putative"	2.59E+06	2.42E+06	2.33E+06
SPO2026	Xaa-Pro dipeptidyl-peptidase-like domain-containing protein	1.81E+07	1.86E+07	1.81E+07
SPO2027	Uncharacterized protein	1.27E+06	740222	843237
SPO2028	5'-deoxynucleotidase (EC 3.1.3.89)	1.03E+06	933024	968298
SPO2029	Glutamine amidotransferases class-II domain protein	8.56E+06	7.95E+06	8.39E+06
SPO2031	Large ribosomal subunit assembly factor BipA (EC 3.6.5.-) (GTP-binding protein BipA)	5.86E+06	5.62E+06	5.51E+06
SPO2032	DUF1330 domain-containing protein	1.42E+07	1.40E+07	1.27E+07
SPO2033	Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)	1.38E+07	1.39E+07	1.42E+07
SPO2034	Protein RecA (Recombinase A)	1.22E+07	1.24E+07	1.24E+07
SPO2035	Gamma-glutamyl kinase	2.91E+06	2.86E+06	2.75E+06
SPO2036	histidine kinase (EC 2.7.13.3)	725460	714955	727665
SPO2037	NOL1/NOP2/sun family protein	2.08E+06	2.03E+06	2.01E+06
SPO2038	Metallo-beta-lactamase family protein	3.32E+06	3.26E+06	3.28E+06
SPO2039	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	1.55E+07	1.58E+07	1.61E+07
SPO2040	CaiB/BaiF family protein	1.98E+06	1.70E+06	1.44E+06
SPO2041	Iron-sulfur cluster-binding protein	3.36E+06	3.30E+06	3.41E+06
SPO2042	"Methyltransferase, UbiE/COQ5 family"	609066	705924	747939
SPO2044	"Lipoprotein, putative"	2.35E+06	2.67E+06	2.67E+06
SPO2045	3-methylmercaptopropionyl-CoA ligase (MMPA-CoA ligase) (EC 6.2.1.44) (Acyl-CoA ligase)	8.43E+06	8.19E+06	8.23E+06
SPO2046	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)	1.02E+07	1.01E+07	1.01E+07
SPO2047	6-phosphogluconolactonase (6PGL) (EC 3.1.1.31)	8.91E+06	9.40E+06	8.46E+06
SPO2048	Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49)	7.77E+06	7.65E+06	7.84E+06
SPO2049	Radical SAM domain protein	615406	509538	498259
SPO2050	"Usg, putative"	93341.8	83588.3	90130.4
SPO2051	DNA gyrase subunit A (EC 5.6.2.2)	1.05E+07	1.04E+07	1.07E+07
SPO2052	Uncharacterized protein	95633.6		244143
SPO2053	Metal-dependent carboxypeptidase (EC 3.4.17.19)	5.43E+06	5.60E+06	5.87E+06
SPO2054	Heme A synthase (HAS) (EC 1.17.99.9) (Cytochrome aa3-controlling protein)	7.26E+06	6.74E+06	7.48E+06
SPO2055	tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ (EC 2.1.1.200) (tRNA (cytidine(32)/uridine(32)-2'-O)-methyltransferase) (tRNA Cm32/Um32 methyltransferase)	3.33E+06	3.11E+06	3.27E+06
SPO2056	"Thiamine-phosphate pyrophosphorylase, putative"	9.80E+06	1.02E+07	1.08E+07
SPO2057	"Membrane protein, putative"	1.54E+06	1.50E+06	1.39E+06
SPO2058	Nickel uptake substrate-specific transmembrane region	796993	755951	687743
SPO2059	Glutathione S-transferase family protein	4.11E+06	3.88E+06	3.96E+06
SPO2060	"Kinase, pfkB family"	3.99E+06	4.05E+06	4.08E+06
SPO2061	Pseudouridine-5'-phosphate glycosidase (PsiMP glycosidase) (EC 4.2.1.70)	3.70E+06	3.81E+06	3.61E+06
SPO2062	DUF502 domain-containing protein	1.99E+06	1.69E+06	1.62E+06
SPO2063	"Acetyltransferase, GNAT family"	661165	646071	637632
SPO2064	"Phospholipase, patatin-like family"	3.82E+06	3.79E+06	3.93E+06
SPO2065	D-beta-hydroxybutyrate dehydrogenase (EC 1.1.1.30)	4.38E+07	4.63E+07	4.44E+07
SPO2066	"ABC transporter, periplasmic substrate-binding protein"	1.94E+06	1.81E+06	1.89E+06
SPO2067	Uncharacterized protein		46207.6	37607.4
SPO2068	"DNA-binding protein, putative"	1.87E+06	1.94E+06	1.89E+06
SPO2069	"Benzoate-coenzyme A ligase, putative"	2.46E+06	2.30E+06	2.42E+06
SPO2070	DSBA-like thioredoxin family protein	3.72E+06	3.67E+06	3.92E+06
SPO2071	"Drug resistance transporter, Bcr/CflA subfamily"	1.00E+06	1.03E+06	1.03E+06
SPO2072	TPR domain protein	2.58E+06	2.48E+06	2.45E+06
SPO2073	SH3b domain-containing protein	1.38E+06	1.43E+06	1.55E+06
SPO2074	Transcription-repair-coupling factor (TRCF) (EC 3.6.4.-)	4.23E+06	4.17E+06	4.29E+06
SPO2075	Component of SufBCD complex	1.69E+06	1.49E+06	1.62E+06
SPO2076	Delta-aminolevulinic acid dehydratase (EC 4.2.1.24)	5.55E+06	5.40E+06	5.44E+06
SPO2077	"Twin-arginine translocation pathway signal sequence domain protein, putative"	9.28E+07	9.25E+07	8.95E+07
SPO2078	Penicillin amidase family protein	3.68E+06	3.68E+06	3.73E+06
SPO2079	Na(+)/H(+) antiporter-like protein	60846.6	60693.8	55639.9
SPO2080	GTPase HflX (GTP-binding protein HflX)	3.57E+06	3.29E+06	3.30E+06
SPO2081	RNA-binding protein Hfq	1.47E+07	1.26E+07	1.29E+07
SPO2082	Trk system potassium uptake protein TrkH	893471	792267	831402
SPO2083	Trk system potassium uptake protein TrkA	2.66E+06	2.82E+06	2.90E+06
SPO2084	Lipoprotein	1.48E+06	1.64E+06	1.51E+06
SPO2085	Nitrogen assimilation regulatory protein NtrX	6.47E+06	6.60E+06	6.87E+06
SPO2086	histidine kinase (EC 2.7.13.3)	1.00E+06	1.02E+06	1.07E+06
SPO2087	DNA-binding transcriptional regulator NtrC (Nitrogen regulation protein NR(I)) (Nitrogen regulator I)	1.67E+06	1.82E+06	1.70E+06
SPO2088	Sensory histidine kinase/phosphatase NtrB (EC 2.7.13.3) (Nitrogen regulation protein NR(II)) (Nitrogen regulator II)	449702	407635	413345
SPO2089	tRNA-dihydrouridine synthase (EC 1.3.1.-)	623935	606287	594403
SPO2090	"Bifunctional enzyme IspD/IspF [Includes: 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60) (4-diphosphocytidyl-2C-methyl-D-erythritol synthase) (MEP cytidylyltransferase) (MCT); 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (MECDP-synthase) (MECPP-synthase) (MECPS) (EC 4.6.1.12)]"	4.54E+06	4.56E+06	4.47E+06
SPO2091	Phosphatidylglycerophosphatase A (EC 3.1.3.27) (Phosphatidylglycerolphosphate phosphatase A)	370991	368308	294619
SPO2092	Nicotinamide-nucleotide amidohydrolase PncC	2.80E+06	3.09E+06	3.04E+06
SPO2093	Ammonium transporter	36307.6
SPO2094	ActC domain protein	1.23E+06	1.26E+06	1.25E+06
SPO2095	MmgE/PrpD family protein	5.17E+06	5.25E+06	5.17E+06
SPO2096	Aromatic-rich family protein	1.78E+06	1.66E+06	1.79E+06
SPO2097	Hypoxanthine phosphoribosyltransferase (EC 2.4.2.8)	4.32E+06	3.90E+06	4.23E+06
SPO2098	"Transcriptional regulator, LysR family"	566029	573074	559686
SPO2099	Cytochrome c-554	684244	730809	787051
SPO2100	Diheme cytochrome c-type	1.36E+06	1.16E+06	1.29E+06
SPO2101	Amidohydrolase family protein	3.42E+06	3.63E+06	3.61E+06
SPO2102	Lipoyl synthase (EC 2.8.1.8) (Lip-syn) (LS) (Lipoate synthase) (Lipoic acid synthase) (Sulfur insertion protein LipA)	1.09E+07	1.08E+07	1.09E+07
SPO2103	Glutathione-dependent peroxiredoxin (EC 1.11.1.27)	5.97E+06	6.00E+06	6.44E+06
SPO2104	Cupin type-2 domain-containing protein	421846	406142	302118
SPO2105	"Transcriptional regulator, LysR family"	783026	780238	824417
SPO2106	DUF6456 domain-containing protein	43767.9	40699.4	32475.3
SPO2107	DNA-directed DNA polymerase			7508.39
SPO2108	Methyltransferase (EC 2.1.1.-)	813540	749488	792419
SPO2109	GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (Glutamine amidotransferase)	8.04E+06	7.57E+06	8.23E+06
SPO2110	"Membrane protein, putative"	318711	319092	227653
SPO2111	"Outer membrane transporter, OMPP1/FadL/TodX family"			3909.17
SPO2113	ATPase	2.41E+06	2.17E+06	2.09E+06
SPO2116	DedA family protein	2.20E+06	2.05E+06	2.29E+06
SPO2117	"Disulfide bond formation protein, DsbB family"	7.57E+06	7.99E+06	7.97E+06
SPO2118	"Transcriptional regulator, AsnC family"	656747	764818	752647
SPO2119	Arginase (EC 3.5.3.1)	345874	395288	340838
SPO2120	Amidinotransferase family protein	138090	113416	116259
SPO2121	Ornithine cyclodeaminase (EC 4.3.1.12)	1.03E+06	978323	1.02E+06
SPO2122	Alkylphosphonate utilization operon protein PhnA	593777	490503	634979
SPO2123	HNH endonuclease family protein	241494	225997	206151
SPO2124	Pseudouridine synthase (EC 5.4.99.-)	1.38E+06	1.29E+06	1.32E+06
SPO2125	"Acetyltransferase, GNAT family"	739877	668328	706534
SPO2126	Phospholipase/carboxylesterase family protein	5.10E+06	4.91E+06	5.35E+06
SPO2127	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	413122	424990	374972
SPO2128	"Transporter, putative"	247832	224682	223052
SPO2129	Phytoene synthase	1.18E+06	1.21E+06	1.19E+06
SPO2130	citramalate synthase (EC 2.3.3.21)	3.07E+06	2.95E+06	3.09E+06
SPO2131	Cysteine--tRNA ligase (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS)	3.63E+06	3.54E+06	3.61E+06
SPO2132	aspartate transaminase (EC 2.6.1.1)	603318	560570	528344
SPO2133	"Outer membrane protein, putative"	9.46E+07	1.02E+08	1.07E+08
SPO2134	Methyltransferase (EC 2.1.1.-)	375319	313283	384130
SPO2135	EF-hand domain-containing protein	51883.1	92178.1	114086
SPO2136	Vitamin B12-dependent ribonucleotide reductase (EC 1.17.4.1)	1.94E+06	1.90E+06	2.03E+06
SPO2137	"Lipoprotein, putative"	851819	781720	900803
SPO2139	DUF192 domain-containing protein	1.09E+06	1.16E+06	1.10E+06
SPO2140	Cold shock DNA-binding domain protein	4.96E+06	5.50E+06	5.57E+06
SPO2141	Pyridoxine/pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5) (PNP/PMP oxidase) (PNPOx) (Pyridoxal 5'-phosphate synthase)	2.31E+06	2.43E+06	2.38E+06
SPO2142	Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)	2.69E+07	2.77E+07	2.84E+07
SPO2143	Xanthine-guanine phosphoribosyltransferase (XGPRT) (EC 2.4.2.-) (EC 2.4.2.22) (Xanthine phosphoribosyltransferase)	1.79E+07	1.86E+07	1.80E+07
SPO2144	aspartate transaminase (EC 2.6.1.1)	5.68E+06	5.11E+06	5.46E+06
SPO2145	PpiC domain-containing protein	9.21E+06	9.30E+06	1.01E+07
SPO2146	Anthranilate synthase component 1 (EC 4.1.3.27)	5.30E+06	5.58E+06	5.46E+06
SPO2147	HutD family protein	472449	576704	589352
SPO2148	YibQ protein	9.64E+06	1.09E+07	1.11E+07
SPO2149	Anthranilate synthase component II (EC 4.1.3.27)	4.55E+06	4.39E+06	4.59E+06
SPO2150	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	5.90E+06	6.44E+06	6.49E+06
SPO2151	Indole-3-glycerol phosphate synthase (IGPS) (EC 4.1.1.48)	1.78E+07	1.85E+07	1.92E+07
SPO2152	Cyclic pyranopterin monophosphate synthase (EC 4.6.1.17) (Molybdenum cofactor biosynthesis protein C)	7.10E+06	6.81E+06	7.13E+06
SPO2153	Molybdopterin molybdenumtransferase (EC 2.10.1.1)	3.66E+06	3.64E+06	3.80E+06
SPO2154	LexA repressor (EC 3.4.21.88)	3.77E+06	3.92E+06	3.75E+06
SPO2155	Competence protein	105338	102162	80024.7
SPO2156	Glutamate--tRNA ligase 2 (EC 6.1.1.17) (Glutamyl-tRNA synthetase 2) (GluRS 2)	8.86E+06	8.10E+06	8.51E+06
SPO2157	Citrate synthase	9.91E+07	9.45E+07	9.55E+07
SPO2158	Uncharacterized protein	24090.5	23657.5	19422.8
SPO2159	Radical SAM domain protein	347109	246060	318373
SPO2160	"Corrinoid methyltransferase protein, putative"	5.94E+06	6.09E+06	6.44E+06
SPO2161	Hedgehog/Intein (Hint) domain-containing protein	3.12E+06	3.02E+06	3.00E+06
SPO2162	DUF1638 domain-containing protein	1.67E+06	1.48E+06	1.47E+06
SPO2163	Glutathione S-transferase	139920	98885.2	116832
SPO2164	Transcriptional regulator	129698	133331	131434
SPO2165	Fe-S metabolism associated family protein	3.61E+06	3.54E+06	3.70E+06
SPO2166	"Lipoprotein, putative"	5.97E+06	6.09E+06	5.57E+06
SPO2167	Ribonuclease D (RNase D) (EC 3.1.13.5)	6.09E+06	6.43E+06	6.59E+06
SPO2168	Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2) (5'-phosphoribosylglycinamide transformylase) (GAR transformylase) (GART)	4.78E+06	4.85E+06	4.70E+06
SPO2169	Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase)	6.94E+06	7.26E+06	7.37E+06
SPO2170	Metallo-beta-lactamase family protein	463135	405890	395353
SPO2171	"Transcriptional regulator, LysR family"	735657	717033	782450
SPO2173	Signal transduction histidine-protein kinase/phosphatase MprB (EC 2.7.13.3) (Mycobacterial persistence regulator B)	1.33E+06	1.25E+06	1.25E+06
SPO2174	Metallo-beta-lactamase family protein	2.24E+06	2.30E+06	2.20E+06
SPO2176	"Membrane protein, putative"	230425	242396	214648
SPO2177	Acetoin utilization protein AcuC	565032	555638	545004
SPO2178	cardiolipin synthase (EC 2.7.8.-)	535655	442214	405162
SPO2180	Uncharacterized protein	1.06E+06	1.12E+06	1.03E+06
SPO2181	"ABC transporter, ATP-binding protein"	694242	625858	594670
SPO2182	"Permease, putative"	142792	147797	130369
SPO2183	AttH domain-containing protein	481696	435118	372125
SPO2184	Catalase	2.37E+06	2.24E+06	2.34E+06
SPO2185	Universal stress protein family protein	8.21E+06	7.97E+06	7.61E+06
SPO2186	"TRAP transporter, 4TM/12TM fusion protein"	1.74E+06	1.79E+06	2.05E+06
SPO2187	"TRAP transporter solute receptor, TAXI family"	8.28E+07	8.42E+07	9.30E+07
SPO2188	"Acetyltransferase, GNAT family"	134404	126989	94584.7
SPO2189	"Transcriptional regulator, AsnC family"	721033	635660	676556
SPO2190	Histidine utilization repressor	773313	685466	677222
SPO2191	Imidazolonepropionase (EC 3.5.2.7) (Imidazolone-5-propionate hydrolase)	523266	550967	552898
SPO2192	Histidine ammonia-lyase (Histidase) (EC 4.3.1.3)	1.00E+06	971317	1.08E+06
SPO2192a	Unknown	422554	398457	421004
SPO2193	Urocanate hydratase (Urocanase) (EC 4.2.1.49) (Imidazolonepropionate hydrolase)	2.05E+06	1.89E+06	1.99E+06
SPO2194	Formiminoglutamate deiminase (EC 3.5.3.13)	834228	848069	831106
SPO2195	Amidohydrolase family protein	1.17E+06	1.16E+06	1.09E+06
SPO2196	Diaminopropionate ammonia-lyase	4.71E+06	4.56E+06	4.51E+06
SPO2197	Tetracycline resistance protein	4.21E+06	3.85E+06	4.10E+06
SPO2198	"Glyceraldehyde-3-phosphate dehydrogenase, type I (EC 1.2.1.-)"	1.54E+06	1.59E+06	1.65E+06
SPO2200	Phosphopantetheine adenylyltransferase (EC 2.7.7.3) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase) (PPAT)	4.21E+06	3.62E+06	3.65E+06
SPO2201	CBS domain protein	1.81E+07	1.87E+07	1.87E+07
SPO2202	"Transcriptional regulator, LysR family"	2.12E+06	2.11E+06	2.07E+06
SPO2203	methylmalonate-semialdehyde dehydrogenase (CoA acylating) (EC 1.2.1.27)	6.68E+06	6.69E+06	6.94E+06
SPO2205	ErfK/YbiS/YcfS/YnhG family protein	2.99E+06	3.02E+06	3.15E+06
SPO2206	Porin	675851	601752	656474
SPO2208	Methyltransferase domain-containing protein	2.70E+06	3.04E+06	2.81E+06
SPO2209	Putative glutamate--cysteine ligase 2 (EC 6.3.2.2) (Gamma-glutamylcysteine synthetase 2) (GCS 2) (Gamma-GCS 2)	3.25E+06	3.14E+06	3.11E+06
SPO2210	BNR/Asp-box repeat domain protein	1.01E+07	9.87E+06	1.04E+07
SPO2211	Acyl-CoA dehydrogenase (EC 1.3.99.-)	656060	733483	732794
SPO2212	3-hydroxyisobutyryl-CoA hydrolase (EC 3.1.2.4)	393353	380797	386057
SPO2213	3-hydroxyisobutyrate dehydrogenase (HIBADH) (EC 1.1.1.31)	4.94E+06	5.33E+06	5.67E+06
SPO2213a	Unknown	7.26E+06	7.00E+06	6.65E+06
SPO2214	Choline sulfatase (EC 3.1.6.6)	701750	668561	678081
SPO2215	Glyoxalase family protein	186995	142026	113873
SPO2216	"DNA-binding protein, putative"	239985	158630	231913
SPO2218	UvrABC system protein A (UvrA protein) (Excinuclease ABC subunit A)	5.93E+06	5.82E+06	5.92E+06
SPO2219	Rhodanese-like domain protein	174324	158810	183259
SPO2220	Methyltransferase type 11 domain-containing protein	234081	230005	226647
SPO2221	von Willebrand factor type A domain protein	8.58E+06	8.42E+06	9.39E+06
SPO2222	Dihydrolipoyl dehydrogenase (EC 1.8.1.4)	1.89E+07	1.89E+07	1.97E+07
SPO2223	Uncharacterized protein	3.64E+06	3.48E+06	3.52E+06
SPO2224	DUF924 domain-containing protein	1.16E+07	1.17E+07	1.21E+07
SPO2226	S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 2.4.99.17) (Queuosine biosynthesis protein QueA)	2.55E+06	2.47E+06	2.50E+06
SPO2227	AsmA-like C-terminal domain-containing protein	1.10E+06	1.09E+06	1.13E+06
SPO2228	thioredoxin-dependent peroxiredoxin (EC 1.11.1.24) (Bacterioferritin comigratory protein) (Thioredoxin peroxidase) (Thioredoxin-dependent peroxiredoxin Bcp)	1.11E+07	1.20E+07	1.21E+07
SPO2229	Ferritin-like domain-containing protein	2.04E+06	1.99E+06	2.01E+06
SPO2230	"Peptidase, M23/M37 family"	3.59E+06	3.47E+06	3.37E+06
SPO2231	Uncharacterized protein	4.03E+07	3.69E+07	4.17E+07
SPO2232	DUF3179 domain-containing protein	309937	324551	322958
SPO2233	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8)	1.92E+07	2.05E+07	2.12E+07
SPO2234	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8)	4.11E+07	4.74E+07	4.68E+07
SPO2235	Phosphoglycerate kinase (EC 2.7.2.3)	9.87E+06	9.51E+06	9.48E+06
SPO2237	Uncharacterized protein	87378.2	33199.5	26258.2
SPO2238	"Transcriptional regulator, LysR family"	836000	870870	893750
SPO2239	Septum formation initiator	981285	901064	958032
SPO2240	Pyruvate dehydrogenase E1 component subunit alpha (EC 1.2.4.1)	1.88E+07	1.84E+07	1.87E+07
SPO2241	Pyruvate dehydrogenase E1 component subunit beta (EC 1.2.4.1)	2.69E+07	2.89E+07	3.10E+07
SPO2242	Acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)	3.91E+07	4.11E+07	4.26E+07
SPO2243	Uncharacterized protein	2.08E+06	1.79E+06	2.01E+06
SPO2245	Methyltransferase type 11 domain-containing protein	309893	340212	340281
SPO2246	Cysteine synthase A (EC 2.5.1.47)	3.64E+07	3.80E+07	3.67E+07
SPO2247	Serine acetyltransferase (EC 2.3.1.30)	6.34E+06	5.61E+06	5.50E+06
SPO2248	"DnaK suppressor protein, putative"	98424.9	81027.5	89572.6
SPO2250	Host specificity protein	118019	109939	101575
SPO2252	Uncharacterized protein		33463.9	39304.4
SPO2253	TIGR02217 family protein	255560	255683	247106
SPO2257	"Major tail protein, TP901-1 family"	167141	160276	205714
SPO2258	Gene transfer agent protein		20758.5
SPO2259	"Head-tail adaptor, putative"	32800.3	30144.9	43646.1
SPO2260	Gene transfer agent protein	45250.1		35697.8
SPO2261	"Major capsid protein, HK97 family"	140070	150027	184326
SPO2262	"Phage prohead protease, HK97 family"	49073.2	86541.7	23956.9
SPO2263	Gene transfer agent protein		22011.9
SPO2264	"Portal protein, HK97 family"	68099.8	66753.3	59611.5
SPO2266	"Terminase, large subunit, putative"	74854.8	76726.2	45396.5
SPO2267	Uncharacterized protein
SPO2268	Neutral zinc metallopeptidase	390328	412835	406057
SPO2269	Uncharacterized protein	41531.4	40692.7	46196.5
SPO2270	Endolytic murein transglycosylase (EC 4.2.2.-) (Peptidoglycan polymerization terminase)	5.39E+06	5.52E+06	5.72E+06
SPO2271	3-oxoacyl-[acyl-carrier-protein] synthase 2 (EC 2.3.1.179)	2.27E+07	2.34E+07	2.40E+07
SPO2272	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase 2 (EC 5.3.1.16) (Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase 2)	3.23E+06	3.35E+06	3.43E+06
SPO2273	"Acetyltransferase, GNAT family"	5.75E+06	5.98E+06	5.78E+06
SPO2274	Acyl carrier protein (ACP)	5.77E+06	4.95E+06	5.57E+06
SPO2275	3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100)	2.87E+07	3.03E+07	3.15E+07
SPO2276	Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	2.23E+07	2.23E+07	2.37E+07
SPO2277	"Cytochrome, putative"	725023	675645	708020
SPO2278	ORC1/DEAH AAA+ ATPase domain-containing protein	2.77E+06	2.62E+06	2.74E+06
SPO2279	Lipid/polyisoprenoid-binding YceI-like domain-containing protein	6.38E+06	6.79E+06	8.29E+06
SPO2280	YcxB-like protein domain-containing protein	1.69E+06	1.72E+06	2.01E+06
SPO2281	Small ribosomal subunit protein bS6 (30S ribosomal protein S6)	6.43E+07	6.67E+07	6.46E+07
SPO2282	Small ribosomal subunit protein bS18 (30S ribosomal protein S18)	6.11E+07	6.65E+07	6.33E+07
SPO2283	Large ribosomal subunit protein bL9 (50S ribosomal protein L9)	7.28E+07	7.91E+07	7.93E+07
SPO2284	Transglycosylase SLT domain protein	1.54E+07	1.49E+07	1.48E+07
SPO2285	"DNA-binding protein, putative"	136014	130683	115592
SPO2286	Autoinducer-binding transcriptional regulator LuxR	1.74E+06	1.66E+06	1.60E+06
SPO2287	Acyl-homoserine-lactone synthase (EC 2.3.1.184) (Autoinducer synthesis protein)	1.11E+06	1.00E+06	1.05E+06
SPO2288	Trigger factor (TF) (EC 5.2.1.8) (PPIase)	2.65E+07	2.63E+07	3.01E+07
SPO2289	Porin domain-containing protein	1.03E+07	9.80E+06	1.07E+07
SPO2290	Porin domain-containing protein	1.48E+07	1.44E+07	1.53E+07
SPO2293	Bifunctional NAD(P)H-hydrate repair enzyme (Nicotinamide nucleotide repair protein) [Includes: ADP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.136) (ADP-dependent NAD(P)HX dehydratase); NAD(P)H-hydrate epimerase (EC 5.1.99.6)]	2.10E+06	2.21E+06	2.25E+06
SPO2294	Nitrogen regulatory protein P-II	1.77E+07	2.06E+07	1.92E+07
SPO2295	Glutamine synthetase (EC 6.3.1.2)	4.37E+07	4.16E+07	4.53E+07
SPO2296	Transglycosylase SLT domain-containing protein	5.03E+06	4.93E+06	5.11E+06
SPO2297	Uncharacterized protein	356362	362239	415819
SPO2298	DUF3445 domain-containing protein	1.70E+06	1.64E+06	1.51E+06
SPO2299	DMSP lyase	64962.7	54611.7	53205.1
SPO2301	OsmC-like family protein	846204	819515	838630
SPO2302	Biotin transporter	1.16E+06	1.11E+06	949468
SPO2303	DUF6314 domain-containing protein	385896	342750	331845
SPO2304	Uncharacterized protein	689989	913902	895067
SPO2305	Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase)	1.87E+07	1.79E+07	1.79E+07
SPO2307	Uncharacterized protein	238134	238272	249714
SPO2308	Flagellar motor switch protein FliG		23617.7
SPO2309	"Membrane protein, putative"	77229.2	74201.5	62581.7
SPO2310	"Lipid A biosynthesis lauroyl acyltransferase, putative"	2.95E+06	2.87E+06	2.78E+06
SPO2311	DUF1223 domain-containing protein	239281	214962	239176
